#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473202.1         -            157 13591at5820          -            132     2e-71  237.0   0.7   1   1   5.4e-74   2.7e-71  236.5   0.7     2   132    13   157    12   157 0.92 | transcript=PVW1_120024300_t1 | gene=PVW1_120024300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0U1] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0U1] | location=CAJZCX010000004:866676-867768(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472023.1         -            550 13591at5820          -            132   3.1e-06   26.1   1.5   2   2       2.4   1.2e+03   -1.7   0.0    22    45   295   318   278   320 0.76 | transcript=PVW1_140025800_t1 | gene=PVW1_140025800 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4I5] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4I5] | location=CAJZCX010000003:906293-907945(+) | protein_length=550 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480627.1         -            133 13591at5820          -            132   6.4e-06   25.0   0.0   1   1   1.9e-08   9.7e-06   24.5   0.0    45   114    41   109    18   121 0.86 | transcript=PVW1_070030400_t1 | gene=PVW1_070030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | location=CAJZCX010000011:1111647-1112752(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479339.1         -            179 13591at5820          -            132     6e-05   21.9   6.5   1   1   6.3e-05     0.032   13.1   6.5    26   114    29   138    13   160 0.64 | transcript=PVW1_080042300_t1 | gene=PVW1_080042300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin-like_fold domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q962L4] | transcript_product=Thioredoxin-like_fold domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q962L4] | location=CAJZCX010000009:1594800-1595339(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473677.1         -            121 13591at5820          -            132    0.0005   18.9   1.5   1   1   1.1e-06   0.00056   18.7   1.5    24   116     7   100     2   115 0.71 | transcript=PVW1_120059600_t1 | gene=PVW1_120059600 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1U7] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1U7] | location=CAJZCX010000004:2319767-2320132(+) | protein_length=121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476547.1         -            430 13591at5820          -            132    0.0035   16.2   0.4   1   3       1.5   7.4e+02   -1.1   0.1    29    62    43    76    29   110 0.57 | transcript=PVW1_090010300_t1 | gene=PVW1_090010300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | location=CAJZCX010000007:322205-323628(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476547.1         -            430 13591at5820          -            132    0.0035   16.2   0.4   2   3   6.8e-06    0.0035   16.2   0.4    67   112   193   237   186   255 0.82 | transcript=PVW1_090010300_t1 | gene=PVW1_090010300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | location=CAJZCX010000007:322205-323628(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476547.1         -            430 13591at5820          -            132    0.0035   16.2   0.4   3   3      0.58   2.9e+02    0.2   0.0    80   107   342   369   327   396 0.78 | transcript=PVW1_090010300_t1 | gene=PVW1_090010300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | location=CAJZCX010000007:322205-323628(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13591at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13591at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13591at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:46 2026
# [ok]
