#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473708.1         -            787 4750at5820           -            475  1.5e-286  948.7  33.5   1   3   2.9e-14   5.5e-12   43.3   0.3     1    44    96   142    96   159 0.77 | transcript=PVW1_120062700_t1 | gene=PVW1_120062700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | transcript_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | location=CAJZCX010000004:2414428-2416791(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474908.1         -           1009 4750at5820           -            475   1.6e-36  124.2   0.0   2   2   1.6e-17     3e-15   54.1   0.0   338   454   866   971   789   983 0.84 | transcript=PVW1_100039500_t1 | gene=PVW1_100039500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1606696-1609725(+) | protein_length=1009 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473936.1         -            528 4750at5820           -            475     1e-33  115.0   0.1   1   2   9.3e-22   1.8e-19   68.1   0.0    87   319   128   373   114   381 0.78 | transcript=PVW1_120076000_t1 | gene=PVW1_120076000 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | transcript_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | location=CAJZCX010000004:2982516-2985951(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473936.1         -            528 4750at5820           -            475     1e-33  115.0   0.1   2   2   1.4e-14   2.7e-12   44.4   0.1   363   444   399   468   387   480 0.88 | transcript=PVW1_120076000_t1 | gene=PVW1_120076000 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | transcript_product=ATP-dependent RNA helicase DDX5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2H6] | location=CAJZCX010000004:2982516-2985951(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474786.1         -            667 4750at5820           -            475   2.1e-33  114.0   0.1   1   2   3.2e-21   6.1e-19   66.3   0.0    75   333   221   496   216   503 0.78 | transcript=PVW1_100029800_t1 | gene=PVW1_100029800 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | transcript_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | location=CAJZCX010000005:1177217-1179220(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474786.1         -            667 4750at5820           -            475   2.1e-33  114.0   0.1   2   2   9.4e-15   1.8e-12   45.0   0.1   363   447   508   580   497   586 0.91 | transcript=PVW1_100029800_t1 | gene=PVW1_100029800 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | transcript_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | location=CAJZCX010000005:1177217-1179220(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473378.1         -            489 4750at5820           -            475   1.1e-32  111.5   0.6   1   1   1.2e-33   2.2e-31  107.3   0.6    73   453    59   434    55   443 0.80 | transcript=PVW1_120036400_t1 | gene=PVW1_120036400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | transcript_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | location=CAJZCX010000004:1337088-1338557(+) | protein_length=489 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477739.1         -            599 4750at5820           -            475   3.2e-32  110.1   6.6   1   2   1.1e-24     2e-22   77.7   4.0    68   318   142   401   134   413 0.78 | transcript=PVW1_110024100_t1 | gene=PVW1_110024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:811483-813633(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477739.1         -            599 4750at5820           -            475   3.2e-32  110.1   6.6   2   2     8e-11   1.5e-08   32.0   0.0   365   470   430   523   414   528 0.86 | transcript=PVW1_110024100_t1 | gene=PVW1_110024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:811483-813633(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472607.1         -            731 4750at5820           -            475   2.8e-30  103.7   6.6   1   1   8.9e-32   1.7e-29  101.1   6.6    68   452    99   495    55   506 0.73 | transcript=PVW1_140075100_t1 | gene=PVW1_140075100 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DRS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLB8] | transcript_product=ATP-dependent RNA helicase DRS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLB8] | location=CAJZCX010000003:2980436-2982631(+) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482364.1         -            542 4750at5820           -            475   2.1e-29  100.8  10.5   1   1   1.2e-29   2.2e-27   94.1  10.5    73   460   136   497   129   511 0.83 | transcript=PVW1_040012700_t1 | gene=PVW1_040012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:371067-372695(+) | protein_length=542 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475031.1         -           1444 4750at5820           -            475   7.9e-29   98.9   1.5   1   2   1.4e-19   2.7e-17   60.8   0.1    83   323   686   939   640   953 0.83 | transcript=PVW1_100049300_t1 | gene=PVW1_100049300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2015636-2019970(-) | protein_length=1444 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475031.1         -           1444 4750at5820           -            475   7.9e-29   98.9   1.5   2   2   3.1e-12   5.9e-10   36.6   0.1   358   454   956  1040   947  1054 0.87 | transcript=PVW1_100049300_t1 | gene=PVW1_100049300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2015636-2019970(-) | protein_length=1444 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481721.1         -           1007 4750at5820           -            475   5.3e-28   96.2   6.3   1   1   1.5e-27   2.9e-25   87.1   6.3    94   451   639   988   587   997 0.79 | transcript=PVW1_060023100_t1 | gene=PVW1_060023100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:751286-755355(+) | protein_length=1007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475139.1         -            720 4750at5820           -            475   6.1e-28   95.9   3.8   1   2   0.00044     0.084    9.8   0.0    82   138   136   191   122   194 0.80 | transcript=PVW1_100053700_t1 | gene=PVW1_100053700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | location=CAJZCX010000005:2192682-2194844(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475139.1         -            720 4750at5820           -            475   6.1e-28   95.9   3.8   2   2   1.1e-24     2e-22   77.7   2.4   142   455   229   518   224   539 0.77 | transcript=PVW1_100053700_t1 | gene=PVW1_100053700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | location=CAJZCX010000005:2192682-2194844(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472179.1         -            918 4750at5820           -            475   1.9e-25   87.7  13.0   1   2   8.5e-05     0.016   12.1   0.1    88   132   351   394   296   400 0.79 | transcript=PVW1_140035900_t1 | gene=PVW1_140035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1337528-1340284(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472179.1         -            918 4750at5820           -            475   1.9e-25   87.7  13.0   2   2   1.4e-21   2.7e-19   67.5   9.0   141   444   428   726   418   741 0.67 | transcript=PVW1_140035900_t1 | gene=PVW1_140035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1337528-1340284(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475997.1         -            877 4750at5820           -            475     3e-23   80.5  21.6   1   1   1.6e-23     3e-21   73.9  21.6    72   441   134   490   109   499 0.74 | transcript=PVW1_130036500_t1 | gene=PVW1_130036500 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX9] | transcript_product=ATP-dependent RNA helicase DBP4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX9] | location=CAJZCX010000006:1356066-1358861(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479034.1         -            761 4750at5820           -            475   3.7e-23   80.2  21.5   1   2   1.2e-07   2.3e-05   21.5   0.8    29   136   206   317   182   332 0.74 | transcript=PVW1_080023900_t1 | gene=PVW1_080023900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | transcript_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | location=CAJZCX010000009:869163-871691(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479034.1         -            761 4750at5820           -            475   3.7e-23   80.2  21.5   2   2   4.2e-19     8e-17   59.3  13.6   139   442   379   655   373   680 0.81 | transcript=PVW1_080023900_t1 | gene=PVW1_080023900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | transcript_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | location=CAJZCX010000009:869163-871691(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 4750at5820           -            475   6.9e-23   79.3  10.4   1   4   7.9e-09   1.5e-06   25.4   0.0    73   136    49   111    45   122 0.87 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 4750at5820           -            475   6.9e-23   79.3  10.4   2   4   0.00024     0.046   10.6   0.0   137   165   240   268   232   285 0.82 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 4750at5820           -            475   6.9e-23   79.3  10.4   3   4   6.1e-06    0.0012   15.9   0.2   178   253   311   387   294   402 0.72 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 4750at5820           -            475   6.9e-23   79.3  10.4   4   4   1.9e-10   3.6e-08   30.7   1.0   373   459   582   654   487   674 0.82 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481375.1         -            643 4750at5820           -            475   1.2e-21   75.1   6.1   1   2   5.6e-06    0.0011   16.0   0.1    89   135   149   194   138   198 0.86 | transcript=PVW1_060013000_t1 | gene=PVW1_060013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:332780-334711(-) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481375.1         -            643 4750at5820           -            475   1.2e-21   75.1   6.1   2   2   8.8e-18   1.7e-15   54.9   2.9   139   458   271   568   265   575 0.82 | transcript=PVW1_060013000_t1 | gene=PVW1_060013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:332780-334711(-) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 4750at5820           -            475   6.5e-19   66.2  20.6   1   3   2.9e-05    0.0056   13.6   0.0    73   136     3    65     1    71 0.91 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 4750at5820           -            475   6.5e-19   66.2  20.6   2   3   4.9e-12   9.2e-10   36.0   9.7   137   269   329   469   304   539 0.79 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 4750at5820           -            475   6.5e-19   66.2  20.6   3   3   3.1e-07   5.9e-05   20.2   2.0   310   438   569   683   549   693 0.71 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 4750at5820           -            475   6.1e-18   63.0   0.7   1   3   3.9e-07   7.4e-05   19.8   0.0    70   135    25    89    19    95 0.92 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 4750at5820           -            475   6.1e-18   63.0   0.7   2   3     0.086        16    2.2   0.2   208   252   287   330   276   346 0.74 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 4750at5820           -            475   6.1e-18   63.0   0.7   3   3   2.6e-12     5e-10   36.9   0.1   361   449   639   715   630   730 0.86 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 4750at5820           -            475   9.3e-18   62.4   9.2   1   3   1.8e-14   3.5e-12   44.0   0.6    74   254    93   291    78   303 0.69 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 4750at5820           -            475   9.3e-18   62.4   9.2   2   3     0.064        12    2.6   0.7   281   327   370   417   366   428 0.87 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 4750at5820           -            475   9.3e-18   62.4   9.2   3   3   6.1e-07   0.00011   19.2   0.0   383   452   511   568   508   588 0.75 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471860.1         -            626 4750at5820           -            475   1.9e-17   61.3  14.5   1   1   2.7e-19   5.2e-17   59.9  14.5    81   454   159   521   145   535 0.77 | transcript=PVW1_140014400_t1 | gene=PVW1_140014400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP6, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A1K6] | transcript_product=ATP-dependent RNA helicase DBP6, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A1K6] | location=CAJZCX010000003:443768-445648(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 4750at5820           -            475   5.3e-17   59.9   0.8   1   3     4e-12   7.6e-10   36.3   0.4    81   222   145   304   137   321 0.78 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 4750at5820           -            475   5.3e-17   59.9   0.8   2   3       1.1   2.1e+02   -1.5   0.0   237   261   365   389   364   402 0.81 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 4750at5820           -            475   5.3e-17   59.9   0.8   3   3   4.2e-07   8.1e-05   19.7   0.0   369   445   629   693   614   707 0.83 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
