#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480482.1         -            484 7103at5820           -            414    1e-223  741.4  46.4   1   1  3.4e-225  3.4e-222  736.4  46.4     1   414     7   480     7   480 0.93 | transcript=PVW1_070019600_t1 | gene=PVW1_070019600 | organism=Plasmodium_vivax_PvW1 | gene_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV91] | transcript_product=Transporter, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV91] | location=CAJZCX010000011:700743-702197(+) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479222.1         -            547 7103at5820           -            414      0.71    7.4  43.0   3   4     0.024        24    2.4   0.1   163   205   233   277   210   303 0.66 | transcript=PVW1_080033300_t1 | gene=PVW1_080033300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1255723-1257366(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479222.1         -            547 7103at5820           -            414      0.71    7.4  43.0   4   4   1.7e-05     0.017   12.7  29.5   230   376   335   494   327   525 0.72 | transcript=PVW1_080033300_t1 | gene=PVW1_080033300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1255723-1257366(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7103at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7103at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7103at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:57 2026
# [ok]
