#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474825.1         -            365 8151at5820           -            356  5.4e-244  807.1   8.5   1   1    1e-246  6.1e-244  806.9   8.5     1   356     1   365     1   365 0.99 | transcript=PVW1_100033600_t1 | gene=PVW1_100033600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ribosome-interacting GTPase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDY6] | transcript_product=Ribosome-interacting GTPase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDY6] | location=CAJZCX010000005:1333224-1334321(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479705.1         -            747 8151at5820           -            356   9.8e-05   20.0   0.0   1   1   2.8e-07   0.00017   19.2   0.0    65   150   408   494   404   507 0.93 | transcript=PVW1_050014900_t1 | gene=PVW1_050014900 | organism=Plasmodium_vivax_PvW1 | gene_product=Obg domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTB4] | transcript_product=Obg domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTB4] | location=CAJZCX010000010:472501-474744(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475881.1         -            518 8151at5820           -            356    0.0011   16.6   0.6   1   2      0.39   2.4e+02   -1.0   0.0   167   233   239   307   217   315 0.68 | transcript=PVW1_130032500_t1 | gene=PVW1_130032500 | organism=Plasmodium_vivax_PvW1 | gene_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | transcript_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | location=CAJZCX010000006:1216905-1218461(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475881.1         -            518 8151at5820           -            356    0.0011   16.6   0.6   2   2   5.7e-06    0.0035   14.9   0.1    60   120   318   376   310   389 0.77 | transcript=PVW1_130032500_t1 | gene=PVW1_130032500 | organism=Plasmodium_vivax_PvW1 | gene_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | transcript_product=Nucleolar GTP-binding protein 2 [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT8] | location=CAJZCX010000006:1216905-1218461(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476693.1         -            709 8151at5820           -            356     0.014   12.9   9.8   1   3      0.98     6e+02   -2.3   0.6    45    58    84    97    82   102 0.86 | transcript=PVW1_090018800_t1 | gene=PVW1_090018800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:667317-669446(+) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476693.1         -            709 8151at5820           -            356     0.014   12.9   9.8   2   3   0.00061      0.37    8.2   0.2    59   168   457   570   425   574 0.77 | transcript=PVW1_090018800_t1 | gene=PVW1_090018800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:667317-669446(+) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476693.1         -            709 8151at5820           -            356     0.014   12.9   9.8   3   3   8.8e-05     0.054   11.0   0.6   234   285   572   630   558   656 0.80 | transcript=PVW1_090018800_t1 | gene=PVW1_090018800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:667317-669446(+) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8151at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8151at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8151at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:12 2026
# [ok]
