#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480389.1         -           1383 1394at5820           -           1113         0 2229.1  83.4   1   4   5.7e-36   6.9e-33  111.8   7.8     1   116     1   192     1   196 0.89 | transcript=PVW1_070014900_t1 | gene=PVW1_070014900 | organism=Plasmodium_vivax_PvW1 | gene_product=DEAD/DEAH box helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAF2] | transcript_product=DEAD/DEAH box helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAF2] | location=CAJZCX010000011:512684-516835(+) | protein_length=1383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479987.1         -           2667 1394at5820           -           1113   1.5e-20   71.0  13.6   1   6         5   6.1e+03  -15.7  14.5    18    42   258   279   240   292 0.42 | transcript=PVW1_050036200_t1 | gene=PVW1_050036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1346657-1354660(+) | protein_length=2667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479987.1         -           2667 1394at5820           -           1113   1.5e-20   71.0  13.6   2   6   2.7e-09   3.3e-06   23.5   0.9   169   289   719   859   699   867 0.68 | transcript=PVW1_050036200_t1 | gene=PVW1_050036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1346657-1354660(+) | protein_length=2667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479987.1         -           2667 1394at5820           -           1113   1.5e-20   71.0  13.6   3   6   7.7e-18   9.4e-15   51.8   0.7   402   567   992  1157   928  1198 0.86 | transcript=PVW1_050036200_t1 | gene=PVW1_050036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1346657-1354660(+) | protein_length=2667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479987.1         -           2667 1394at5820           -           1113   1.5e-20   71.0  13.6   4   6      0.16     2e+02   -2.3   0.4   197   282  1744  1838  1723  1846 0.69 | transcript=PVW1_050036200_t1 | gene=PVW1_050036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1346657-1354660(+) | protein_length=2667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479987.1         -           2667 1394at5820           -           1113   1.5e-20   71.0  13.6   5   6     0.027        33    0.3   0.1   292   366  1929  1997  1922  2013 0.77 | transcript=PVW1_050036200_t1 | gene=PVW1_050036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1346657-1354660(+) | protein_length=2667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479987.1         -           2667 1394at5820           -           1113   1.5e-20   71.0  13.6   6   6   1.6e-09     2e-06   24.2   0.4   465   566  2045  2147  2037  2155 0.90 | transcript=PVW1_050036200_t1 | gene=PVW1_050036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1346657-1354660(+) | protein_length=2667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477868.1         -            925 1394at5820           -           1113   1.6e-08   31.2   1.4   1   2   0.00061      0.74    5.8   0.5   169   287   214   320    54   343 0.66 | transcript=PVW1_110031400_t1 | gene=PVW1_110031400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1157903-1160680(+) | protein_length=925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477868.1         -            925 1394at5820           -           1113   1.6e-08   31.2   1.4   2   2     2e-09   2.4e-06   24.0   0.0   504   554   449   499   444   518 0.88 | transcript=PVW1_110031400_t1 | gene=PVW1_110031400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1157903-1160680(+) | protein_length=925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1394at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1394at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1394at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:58 2026
# [ok]
