#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9482620.1         -           2215 252at5820            -           1874         0 3096.0  74.0   1   1         0         0 3092.1  74.0     8  1874     7  2207     1  2207 0.93 | transcript=PVW1_040022300_t1 | gene=PVW1_040022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | transcript_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | location=CAJZCX010000013:738122-744769(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475046.1         -            355 252at5820            -           1874     1e-08   31.2   6.0   1   2    0.0084        10    1.3   0.4  1784  1841    81   140    67   153 0.67 | transcript=PVW1_100050100_t1 | gene=PVW1_100050100 | organism=Plasmodium_vivax_PvW1 | gene_product=Pv38 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L1K3] | transcript_product=Pv38 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L1K3] | location=CAJZCX010000005:2047160-2048227(+) | protein_length=355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475046.1         -            355 252at5820            -           1874     1e-08   31.2   6.0   2   2   8.2e-12     1e-08   31.2   6.0  1015  1156   145   304   138   310 0.72 | transcript=PVW1_100050100_t1 | gene=PVW1_100050100 | organism=Plasmodium_vivax_PvW1 | gene_product=Pv38 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L1K3] | transcript_product=Pv38 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L1K3] | location=CAJZCX010000005:2047160-2048227(+) | protein_length=355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478046.1         -            362 252at5820            -           1874   1.9e-08   30.3  13.2   1   2   0.00019      0.23    6.8   2.2  1032  1115    28   110    22   129 0.47 | transcript=PVW1_110042200_t1 | gene=PVW1_110042200 | organism=Plasmodium_vivax_PvW1 | gene_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFM7] | transcript_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFM7] | location=CAJZCX010000008:1586105-1587193(+) | protein_length=362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478046.1         -            362 252at5820            -           1874   1.9e-08   30.3  13.2   2   2     1e-10   1.3e-07   27.5   3.1  1340  1468   179   302   159   324 0.72 | transcript=PVW1_110042200_t1 | gene=PVW1_110042200 | organism=Plasmodium_vivax_PvW1 | gene_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFM7] | transcript_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFM7] | location=CAJZCX010000008:1586105-1587193(+) | protein_length=362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/252at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/252at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/252at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:36 2026
# [ok]
