#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473378.1         -            489 6477at5820           -            409  6.1e-230  761.5   1.7   1   1  1.8e-231  2.8e-229  759.3   1.7    12   409    58   477    54   477 0.96 | transcript=PVW1_120036400_t1 | gene=PVW1_120036400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | transcript_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | location=CAJZCX010000004:1337088-1338557(+) | protein_length=489 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472179.1         -            918 6477at5820           -            409   4.2e-51  172.5   9.5   2   2   9.6e-34   1.5e-31  108.1   4.1   179   372   545   738   537   758 0.87 | transcript=PVW1_140035900_t1 | gene=PVW1_140035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1337528-1340284(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474908.1         -           1009 6477at5820           -            409   7.7e-50  168.3   0.0   1   2   9.4e-25   1.5e-22   78.4   0.0    14   187   586   764   579   770 0.89 | transcript=PVW1_100039500_t1 | gene=PVW1_100039500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1606696-1609725(+) | protein_length=1009 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474908.1         -           1009 6477at5820           -            409   7.7e-50  168.3   0.0   2   2   1.9e-27     3e-25   87.3   0.2   255   371   857   972   840   985 0.87 | transcript=PVW1_100039500_t1 | gene=PVW1_100039500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1606696-1609725(+) | protein_length=1009 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472607.1         -            731 6477at5820           -            409   3.2e-46  156.4  17.6   1   1   1.6e-46   2.5e-44  150.2  17.6    15   396   107   526    99   543 0.73 | transcript=PVW1_140075100_t1 | gene=PVW1_140075100 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DRS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLB8] | transcript_product=ATP-dependent RNA helicase DRS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLB8] | location=CAJZCX010000003:2980436-2982631(+) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481721.1         -           1007 6477at5820           -            409   1.1e-45  154.7   3.1   1   1   9.5e-48   1.5e-45  154.2   3.1    34   371   639   992   629  1005 0.84 | transcript=PVW1_060023100_t1 | gene=PVW1_060023100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:751286-755355(+) | protein_length=1007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479674.1         -           1187 6477at5820           -            409     3e-45  153.2  10.4   1   1   3.3e-47   5.3e-45  152.4  10.4    12   380   166   543   162   563 0.84 | transcript=PVW1_050012300_t1 | gene=PVW1_050012300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:354186-357749(+) | protein_length=1187 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482597.1         -            473 6477at5820           -            409   3.1e-45  153.2   3.4   1   2     4e-07   6.3e-05   20.4   0.0    26    77    74   124    52   127 0.83 | transcript=PVW1_040021300_t1 | gene=PVW1_040021300 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | transcript_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | location=CAJZCX010000013:701999-703558(+) | protein_length=473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482597.1         -            473 6477at5820           -            409   3.1e-45  153.2   3.4   2   2   1.5e-40   2.4e-38  130.4   3.8    81   370   160   453   152   466 0.84 | transcript=PVW1_040021300_t1 | gene=PVW1_040021300 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | transcript_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | location=CAJZCX010000013:701999-703558(+) | protein_length=473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475139.1         -            720 6477at5820           -            409   3.3e-44  149.8   5.3   1   3   6.1e-08   9.8e-06   23.1   0.0    24    77   138   191   125   197 0.88 | transcript=PVW1_100053700_t1 | gene=PVW1_100053700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | location=CAJZCX010000005:2192682-2194844(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475139.1         -            720 6477at5820           -            409   3.3e-44  149.8   5.3   2   3   1.9e-39     3e-37  126.8   2.4    84   363   228   513   224   534 0.80 | transcript=PVW1_100053700_t1 | gene=PVW1_100053700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | location=CAJZCX010000005:2192682-2194844(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475139.1         -            720 6477at5820           -            409   3.3e-44  149.8   5.3   3   3       8.6   1.4e+03   -3.8   0.1    15    41   617   643   598   649 0.64 | transcript=PVW1_100053700_t1 | gene=PVW1_100053700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | location=CAJZCX010000005:2192682-2194844(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473708.1         -            787 6477at5820           -            409   3.4e-44  149.8  10.9   1   1   3.6e-45   5.8e-43  145.7  10.9     8   370   368   765   363   773 0.80 | transcript=PVW1_120062700_t1 | gene=PVW1_120062700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | transcript_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | location=CAJZCX010000004:2414428-2416791(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471860.1         -            626 6477at5820           -            409   1.8e-43  147.3  13.5   1   1   1.6e-45   2.6e-43  146.8  13.5    33   373   168   524   158   538 0.82 | transcript=PVW1_140014400_t1 | gene=PVW1_140014400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP6, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A1K6] | transcript_product=ATP-dependent RNA helicase DBP6, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A1K6] | location=CAJZCX010000003:443768-445648(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479052.1         -            430 6477at5820           -            409   2.1e-43  147.1   0.4   1   1   1.8e-45   2.8e-43  146.7   0.4    83   381   128   423   123   429 0.86 | transcript=PVW1_080024700_t1 | gene=PVW1_080024700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:901653-902945(-) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475997.1         -            877 6477at5820           -            409   1.4e-42  144.4  21.4   1   1   1.4e-44   2.2e-42  143.7  21.4    14   389   136   523   125   604 0.83 | transcript=PVW1_130036500_t1 | gene=PVW1_130036500 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX9] | transcript_product=ATP-dependent RNA helicase DBP4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX9] | location=CAJZCX010000006:1356066-1358861(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473950.1         -            791 6477at5820           -            409   2.1e-40  137.3  15.3   1   2   5.3e-26   8.5e-24   82.6   5.5    29   226   257   478   238   486 0.80 | transcript=PVW1_120076700_t1 | gene=PVW1_120076700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase MAK5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2B6] | transcript_product=ATP-dependent RNA helicase MAK5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2B6] | location=CAJZCX010000004:3016455-3019247(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473950.1         -            791 6477at5820           -            409   2.1e-40  137.3  15.3   2   2   3.5e-19   5.5e-17   60.1   2.1   228   369   553   690   535   733 0.83 | transcript=PVW1_120076700_t1 | gene=PVW1_120076700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase MAK5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2B6] | transcript_product=ATP-dependent RNA helicase MAK5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2B6] | location=CAJZCX010000004:3016455-3019247(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479034.1         -            761 6477at5820           -            409     6e-37  125.9  16.3   1   2   2.4e-06   0.00039   17.8   0.0    29    74   273   316   253   321 0.85 | transcript=PVW1_080023900_t1 | gene=PVW1_080023900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | transcript_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | location=CAJZCX010000009:869163-871691(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479034.1         -            761 6477at5820           -            409     6e-37  125.9  16.3   2   2   7.2e-34   1.2e-31  108.5  13.7    80   360   377   657   370   713 0.79 | transcript=PVW1_080023900_t1 | gene=PVW1_080023900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | transcript_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | location=CAJZCX010000009:869163-871691(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 6477at5820           -            409   8.3e-32  108.9   1.4   1   3   1.8e-19   2.8e-17   61.1   0.3    28   187   152   319   136   323 0.84 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 6477at5820           -            409   8.3e-32  108.9   1.4   2   3       8.8   1.4e+03   -3.8   0.0   207   225   461   479   446   496 0.65 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 6477at5820           -            409   8.3e-32  108.9   1.4   3   3   6.2e-15   9.8e-13   46.1   0.0   274   377   603   708   598   721 0.84 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 6477at5820           -            409   3.3e-31  107.0  11.1   1   3   9.8e-19   1.6e-16   58.6   0.3    14   201    93   291    83   315 0.72 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 6477at5820           -            409   3.3e-31  107.0  11.1   2   3     0.009       1.4    6.0   0.5   228   269   373   417   357   428 0.78 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 6477at5820           -            409   3.3e-31  107.0  11.1   3   3   1.3e-15     2e-13   48.4   0.4   312   390   512   591   508   609 0.81 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 6477at5820           -            409   3.2e-29  100.4  18.1   1   4   2.1e-09   3.4e-07   27.9   0.0    32    80    68   116    46   120 0.81 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 6477at5820           -            409   3.2e-29  100.4  18.1   2   4      0.13        21    2.2   0.1    75    99   235   259   222   278 0.76 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 6477at5820           -            409   3.2e-29  100.4  18.1   3   4   8.5e-07   0.00014   19.3   0.1   120   196   306   383   296   397 0.79 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475993.1         -            995 6477at5820           -            409   3.2e-29  100.4  18.1   4   4   7.3e-18   1.2e-15   55.8   7.1   261   400   536   680   519   687 0.78 | transcript=PVW1_130036300_t1 | gene=PVW1_130036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1345108-1348095(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481375.1         -            643 6477at5820           -            409   3.2e-28   97.1   9.0   1   2   3.3e-09   5.2e-07   27.3   0.6    29    71   149   191   138   197 0.85 | transcript=PVW1_060013000_t1 | gene=PVW1_060013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:332780-334711(-) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481375.1         -            643 6477at5820           -            409   3.2e-28   97.1   9.0   2   2   5.3e-23   8.4e-21   72.7   2.2   133   373   318   567   261   572 0.73 | transcript=PVW1_060013000_t1 | gene=PVW1_060013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:332780-334711(-) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 6477at5820           -            409   1.2e-24   85.4  24.0   1   4   1.1e-11   1.8e-09   35.4   0.0    13    75     3    65     1    74 0.89 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 6477at5820           -            409   1.2e-24   85.4  24.0   2   4   4.4e-06    0.0007   17.0   9.6    77   299   326   551   321   563 0.65 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 6477at5820           -            409   1.2e-24   85.4  24.0   3   4   7.9e-13   1.3e-10   39.2   5.5   213   354   534   683   518   691 0.75 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 6477at5820           -            409   1.2e-24   85.4  24.0   4   4      0.98   1.6e+02   -0.7   0.1   213   249   728   762   699   787 0.78 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 6477at5820           -            409   4.1e-23   80.3  12.0   1   4   0.00012     0.019   12.3   0.0    10    70    25    85    21    93 0.91 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 6477at5820           -            409   4.1e-23   80.3  12.0   2   4      0.31        50    1.0   0.0    81    99   136   154   131   165 0.82 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 6477at5820           -            409   4.1e-23   80.3  12.0   3   4   3.5e-07   5.6e-05   20.6   0.8   112   200   221   331   213   345 0.68 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484990.1         -           1250 6477at5820           -            409   4.1e-23   80.3  12.0   4   4   1.4e-15   2.2e-13   48.3   0.9   257   361   608   711   565   723 0.81 | transcript=PVW1_010017700_t1 | gene=PVW1_010017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:571523-575275(+) | protein_length=1250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
