#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483181.1         -            762 4841at5820           -            504  6.9e-254  841.6  42.9   1   5   4.9e-82     3e-79  265.5   2.4     3   155     4   166     1   168 0.91 | transcript=PVW1_030011200_t1 | gene=PVW1_030011200 | organism=Plasmodium_vivax_PvW1 | gene_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | transcript_product=Dipeptidyl peptidase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H775] | location=CAJZCX010000014:327464-329880(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476722.1         -            487 4841at5820           -            504     1e-17   62.5  12.0   2   3   2.2e-10   1.4e-07   29.1   0.5   247   308   279   335   248   341 0.88 | transcript=PVW1_090020700_t1 | gene=PVW1_090020700 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-2 [Source:UniProtKB/TrEMBL;Acc:Q6J112] | transcript_product=Vivapain-2 [Source:UniProtKB/TrEMBL;Acc:Q6J112] | location=CAJZCX010000007:739061-740524(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476722.1         -            487 4841at5820           -            504     1e-17   62.5  12.0   3   3   2.1e-13   1.3e-10   39.1   1.4   347   487   347   471   341   477 0.89 | transcript=PVW1_090020700_t1 | gene=PVW1_090020700 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-2 [Source:UniProtKB/TrEMBL;Acc:Q6J112] | transcript_product=Vivapain-2 [Source:UniProtKB/TrEMBL;Acc:Q6J112] | location=CAJZCX010000007:739061-740524(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476721.1         -            495 4841at5820           -            504   1.2e-17   62.3  11.7   1   2     3e-10   1.8e-07   28.7   0.6   246   307   284   340   172   346 0.91 | transcript=PVW1_090020600_t1 | gene=PVW1_090020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | transcript_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | location=CAJZCX010000007:735299-736786(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476721.1         -            495 4841at5820           -            504   1.2e-17   62.3  11.7   2   2   2.6e-12   1.6e-09   35.5   4.8   348   485   354   475   343   483 0.86 | transcript=PVW1_090020600_t1 | gene=PVW1_090020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | transcript_product=Vivapain-3 [Source:UniProtKB/TrEMBL;Acc:A0A564ZVI3] | location=CAJZCX010000007:735299-736786(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473726.1         -            583 4841at5820           -            504   4.1e-12   44.0  19.7   1   2   3.7e-11   2.2e-08   31.7  10.9   125   317   236   420   225   441 0.85 | transcript=PVW1_120063700_t1 | gene=PVW1_120063700 | organism=Plasmodium_vivax_PvW1 | gene_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | transcript_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | location=CAJZCX010000004:2448322-2450073(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473726.1         -            583 4841at5820           -            504   4.1e-12   44.0  19.7   2   2   2.8e-06    0.0017   15.6   3.0   381   485   453   566   423   574 0.70 | transcript=PVW1_120063700_t1 | gene=PVW1_120063700 | organism=Plasmodium_vivax_PvW1 | gene_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | transcript_product=Cysteine proteinase [Source:UniProtKB/TrEMBL;Acc:Q6J153] | location=CAJZCX010000004:2448322-2450073(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476720.1         -            484 4841at5820           -            504   1.4e-08   32.4  17.1   1   2     3e-05     0.019   12.2   0.7   244   307   274   332   261   343 0.85 | transcript=PVW1_090020500_t1 | gene=PVW1_090020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-2 [Source:UniProtKB/TrEMBL;Acc:Q5IZD8] | transcript_product=Vivapain-2 [Source:UniProtKB/TrEMBL;Acc:Q5IZD8] | location=CAJZCX010000007:730964-732418(-) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476720.1         -            484 4841at5820           -            504   1.4e-08   32.4  17.1   2   2   3.5e-09   2.1e-06   25.2   6.2   360   484   358   466   338   479 0.81 | transcript=PVW1_090020500_t1 | gene=PVW1_090020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Vivapain-2 [Source:UniProtKB/TrEMBL;Acc:Q5IZD8] | transcript_product=Vivapain-2 [Source:UniProtKB/TrEMBL;Acc:Q5IZD8] | location=CAJZCX010000007:730964-732418(-) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482684.1         -            706 4841at5820           -            504   0.00019   18.8   0.4   1   2     0.036        22    2.1   2.8   129   267   150   282   124   291 0.74 | transcript=PVW1_040024500_t1 | gene=PVW1_040024500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:838360-841201(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482684.1         -            706 4841at5820           -            504   0.00019   18.8   0.4   2   2   3.1e-07   0.00019   18.8   0.4   421   480   433   489   421   492 0.79 | transcript=PVW1_040024500_t1 | gene=PVW1_040024500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:838360-841201(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482648.1         -           1014 4841at5820           -            504   0.00076   16.8   0.9   1   1   2.5e-06    0.0015   15.8   0.9   433   480   700   742   664   746 0.88 | transcript=PVW1_040023200_t1 | gene=PVW1_040023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Pept_C1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A0E4B1Y6] | transcript_product=Pept_C1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A0E4B1Y6] | location=CAJZCX010000013:777893-781391(+) | protein_length=1014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482650.1         -           1219 4841at5820           -            504     0.013   12.7   1.4   1   2       1.4   8.4e+02   -3.2   0.0    57    76   456   475   441   482 0.83 | transcript=PVW1_040023300_t1 | gene=PVW1_040023300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:782523-786545(+) | protein_length=1219 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482650.1         -           1219 4841at5820           -            504     0.013   12.7   1.4   2   2   2.8e-05     0.017   12.3   0.4   437   480   849   887   841   891 0.83 | transcript=PVW1_040023300_t1 | gene=PVW1_040023300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:782523-786545(+) | protein_length=1219 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4841at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4841at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4841at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:12 2026
# [ok]
