#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479880.1         -            636 5642at5820           -            463    2e-281  932.1  32.6   1   3       1.3   1.6e+03   -4.0   3.2   129   153    39    63    28    70 0.79 | transcript=PVW1_050026400_t1 | gene=PVW1_050026400 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN4] | location=CAJZCX010000010:896002-897912(+) | protein_length=636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5642at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5642at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5642at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:40 2026
# [ok]
