#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476723.1         -            240 11393at5820          -            175  4.9e-105  347.6   7.7   1   1  1.4e-107  6.3e-105  347.3   7.7    13   174    78   239    72   240 0.98 | transcript=PVW1_090020800_t1 | gene=PVW1_090020800 | organism=Plasmodium_vivax_PvW1 | gene_product=AP2/ERF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCL8] | transcript_product=AP2/ERF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCL8] | location=CAJZCX010000007:743118-744321(+) | protein_length=240 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474917.1         -           1427 11393at5820          -            175   0.00078   18.1  10.1   3   4       2.9   1.2e+03   -2.1   0.1    41    83   971  1015   958  1039 0.64 | transcript=PVW1_100040200_t1 | gene=PVW1_100040200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1628029-1632312(+) | protein_length=1427 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474917.1         -           1427 11393at5820          -            175   0.00078   18.1  10.1   4   4    0.0005      0.22   10.1   2.8    48    95  1056  1105  1045  1123 0.82 | transcript=PVW1_100040200_t1 | gene=PVW1_100040200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1628029-1632312(+) | protein_length=1427 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475762.1         -            823 11393at5820          -            175    0.0014   17.2   0.7   1   1   6.2e-06    0.0027   16.3   0.7    66   108    59   101    24   122 0.70 | transcript=PVW1_130027300_t1 | gene=PVW1_130027300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1002927-1005398(+) | protein_length=823 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471995.1         -           2558 11393at5820          -            175    0.0034   16.0   0.3   1   1   1.9e-05    0.0082   14.8   0.3    63   120  1279  1334  1275  1340 0.88 | transcript=PVW1_140024400_t1 | gene=PVW1_140024400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:859634-867310(+) | protein_length=2558 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477224.1         -           1937 11393at5820          -            175    0.0048   15.5   0.4   1   1   3.1e-05     0.013   14.1   0.4    90   168  1802  1887  1791  1895 0.68 | transcript=PVW1_090048300_t1 | gene=PVW1_090048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1936570-1942383(-) | protein_length=1937 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485114.1         -           2585 11393at5820          -            175      0.01   14.5   0.0   1   1   4.5e-05     0.019   13.5   0.0   124   168  2530  2574  2516  2585 0.71 | transcript=PVW1_010022500_t1 | gene=PVW1_010022500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:786129-794024(+) | protein_length=2585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477175.1         -           2824 11393at5820          -            175     0.078   11.6  17.5   1   4   0.00064      0.28    9.8   0.0   123   171   189   237   141   243 0.84 | transcript=PVW1_090044600_t1 | gene=PVW1_090044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1753372-1762193(-) | protein_length=2824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477175.1         -           2824 11393at5820          -            175     0.078   11.6  17.5   2   4   0.00039      0.17   10.5   0.3    64   111   286   333   276   353 0.72 | transcript=PVW1_090044600_t1 | gene=PVW1_090044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1753372-1762193(-) | protein_length=2824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477175.1         -           2824 11393at5820          -            175     0.078   11.6  17.5   3   4       4.3   1.9e+03   -2.7   0.1    85   129  1972  2016  1960  2023 0.79 | transcript=PVW1_090044600_t1 | gene=PVW1_090044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1753372-1762193(-) | protein_length=2824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477175.1         -           2824 11393at5820          -            175     0.078   11.6  17.5   4   4      0.16        69    2.0   0.2   112   174  2510  2568  2494  2569 0.83 | transcript=PVW1_090044600_t1 | gene=PVW1_090044600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1753372-1762193(-) | protein_length=2824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478214.1         -           1944 11393at5820          -            175     0.083   11.5   4.0   1   2    0.0014      0.61    8.7   0.5    72   112   104   144    91   177 0.84 | transcript=PVW1_110050700_t1 | gene=PVW1_110050700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1932082-1937916(+) | protein_length=1944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478214.1         -           1944 11393at5820          -            175     0.083   11.5   4.0   2   2     0.054        23    3.5   0.2    70   108   178   216   171   222 0.87 | transcript=PVW1_110050700_t1 | gene=PVW1_110050700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1932082-1937916(+) | protein_length=1944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478020.1         -           3997 11393at5820          -            175      0.19   10.3  11.4   1   4       8.7   3.8e+03   -3.7   0.3    31    67  2258  2295  2246  2296 0.78 | transcript=PVW1_110041100_t1 | gene=PVW1_110041100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1532353-1544346(-) | protein_length=3997 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478020.1         -           3997 11393at5820          -            175      0.19   10.3  11.4   2   4    0.0046         2    7.0   0.2   127   167  2808  2848  2785  2862 0.69 | transcript=PVW1_110041100_t1 | gene=PVW1_110041100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1532353-1544346(-) | protein_length=3997 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478020.1         -           3997 11393at5820          -            175      0.19   10.3  11.4   3   4    0.0011      0.49    9.0   1.1    64   118  3372  3430  3353  3445 0.79 | transcript=PVW1_110041100_t1 | gene=PVW1_110041100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1532353-1544346(-) | protein_length=3997 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478020.1         -           3997 11393at5820          -            175      0.19   10.3  11.4   4   4         2   8.9e+02   -1.6   0.0   123   169  3919  3966  3905  3971 0.68 | transcript=PVW1_110041100_t1 | gene=PVW1_110041100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1532353-1544346(-) | protein_length=3997 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11393at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11393at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11393at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:20 2026
# [ok]
