#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477241.1         -            359 8787at5820           -            280  4.8e-148  490.2  43.0   1   2   2.8e-98   3.5e-95  316.8  25.5     1   176     6   205     6   210 0.91 | transcript=PVW1_090049700_t1 | gene=PVW1_090049700 | organism=Plasmodium_vivax_PvW1 | gene_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDG0] | transcript_product=ThiF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDG0] | location=CAJZCX010000007:1985487-1986566(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 8787at5820           -            280   4.2e-05   21.3   0.4   2   2      0.02        24    2.4   0.0   181   240   189   252   183   273 0.70 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8787at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8787at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8787at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:34 2026
# [ok]
