#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473249.1         -            229 11171at5820          -            191  1.4e-125  414.8   1.7   1   1  4.9e-128  1.7e-125  414.5   1.7     1   185     1   185     1   208 0.97 | transcript=PVW1_120028600_t1 | gene=PVW1_120028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-11B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGD4] | transcript_product=Ras-related protein Rab-11B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGD4] | location=CAJZCX010000004:1069192-1070529(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482571.1         -            245 11171at5820          -            191   4.4e-26   90.3   3.5   2   2   2.7e-24   9.7e-22   76.1   1.8    58   185   101   220    94   226 0.91 | transcript=PVW1_040020100_t1 | gene=PVW1_040020100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-5A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSY8] | transcript_product=Ras-related protein Rab-5A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSY8] | location=CAJZCX010000013:649939-650676(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476751.1         -            214 11171at5820          -            191     1e-24   85.8   0.0   1   1   3.7e-27   1.3e-24   85.4   0.0     1   169     1   161     1   172 0.90 | transcript=PVW1_090022900_t1 | gene=PVW1_090022900 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding nuclear protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG3] | transcript_product=GTP-binding nuclear protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG3] | location=CAJZCX010000007:818802-819622(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481356.1         -            181 11171at5820          -            191   2.1e-07   29.3   0.0   1   1   7.7e-10   2.8e-07   29.0   0.0    11   158    19   160    11   180 0.82 | transcript=PVW1_060012400_t1 | gene=PVW1_060012400 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU81] | transcript_product=ADP-ribosylation factor [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU81] | location=CAJZCX010000012:309424-310885(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473169.1         -            224 11171at5820          -            191   1.2e-06   26.9   0.1   1   1     8e-09   2.8e-06   25.6   0.1    74   179   106   207    97   213 0.79 | transcript=PVW1_120021300_t1 | gene=PVW1_120021300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGF7] | transcript_product=GTPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGF7] | location=CAJZCX010000004:738882-741025(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481792.1         -            178 11171at5820          -            191   0.00026   19.3   0.1   1   1   9.2e-07   0.00033   18.9   0.1    11   129    19   132    12   177 0.78 | transcript=PVW1_060026300_t1 | gene=PVW1_060026300 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUN0] | transcript_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUN0] | location=CAJZCX010000012:869770-870306(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473987.1         -            185 11171at5820          -            191    0.0003   19.0   0.2   1   1   1.2e-06   0.00042   18.6   0.2     8   175    15   177     9   185 0.79 | transcript=PVW1_120079900_t1 | gene=PVW1_120079900 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2E7] | transcript_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2E7] | location=CAJZCX010000004:3172685-3173504(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477961.1         -            452 11171at5820          -            191   0.00052   18.3   0.1   1   2       2.9     1e+03   -2.3   0.0    11    26     5    20     3    24 0.85 | transcript=PVW1_110038200_t1 | gene=PVW1_110038200 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | transcript_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | location=CAJZCX010000008:1418799-1420157(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477961.1         -            452 11171at5820          -            191   0.00052   18.3   0.1   2   2   6.5e-06    0.0023   16.1   0.0    65   109   162   206   145   215 0.87 | transcript=PVW1_110038200_t1 | gene=PVW1_110038200 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | transcript_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | location=CAJZCX010000008:1418799-1420157(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11171at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11171at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11171at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:34 2026
# [ok]
