#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479732.1         -            198 11785at5820          -            171  1.7e-108  358.5  10.6   1   1  3.8e-111  1.9e-108  358.3  10.6     1   171    12   185    12   185 0.99 | transcript=PVW1_050016800_t1 | gene=PVW1_050016800 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein light chain 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF1] | transcript_product=Dynein light chain 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF1] | location=CAJZCX010000010:539634-541511(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 11785at5820          -            171   3.5e-15   54.7  45.9   7   8     0.015       7.7    4.8   0.4    51   118  1147  1213  1117  1220 0.76 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 11785at5820          -            171   3.5e-15   54.7  45.9   8   8   1.5e-09   7.6e-07   27.6   3.2    32   141  1251  1358  1231  1368 0.90 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 11785at5820          -            171   1.3e-12   46.3   8.2   1   3   7.1e-09   3.6e-06   25.4   0.3    83   125    56    98    37   104 0.89 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 11785at5820          -            171   1.3e-12   46.3   8.2   2   3     1e-08   5.1e-06   24.9   0.4    85   142   101   158    98   170 0.90 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 11785at5820          -            171   1.3e-12   46.3   8.2   3   3       1.5   7.8e+02   -1.7   0.1    84   133   276   284   252   320 0.53 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473609.1         -            250 11785at5820          -            171   5.3e-12   44.4   8.2   1   1   1.6e-14   7.9e-12   43.8   7.5    40   170    95   228    75   229 0.86 | transcript=PVW1_120053100_t1 | gene=PVW1_120053100 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH37] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH37] | location=CAJZCX010000004:1995819-1996914(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473819.1         -            361 11785at5820          -            171   3.9e-10   38.3  29.4   1   3   9.2e-08   4.7e-05   21.8  15.0     9   132     8   128     3   129 0.84 | transcript=PVW1_120069700_t1 | gene=PVW1_120069700 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHI5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHI5] | location=CAJZCX010000004:2709734-2710819(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473819.1         -            361 11785at5820          -            171   3.9e-10   38.3  29.4   2   3   2.5e-06    0.0013   17.1   0.5    84   120   124   160   121   166 0.92 | transcript=PVW1_120069700_t1 | gene=PVW1_120069700 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHI5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHI5] | location=CAJZCX010000004:2709734-2710819(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473819.1         -            361 11785at5820          -            171   3.9e-10   38.3  29.4   3   3   0.00017     0.088   11.1   1.6    39   110   169   240   162   270 0.84 | transcript=PVW1_120069700_t1 | gene=PVW1_120069700 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHI5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHI5] | location=CAJZCX010000004:2709734-2710819(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480699.1         -            635 11785at5820          -            171   1.7e-09   36.2  12.6   1   1   1.1e-11   5.4e-09   34.6  12.6    32   164    91   219    72   226 0.86 | transcript=PVW1_070035400_t1 | gene=PVW1_070035400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | location=CAJZCX010000011:1288133-1290772(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477264.1         -            340 11785at5820          -            171   9.3e-08   30.6  21.3   1   2   1.3e-05    0.0067   14.7   9.1    20   119   108   207    94   210 0.82 | transcript=PVW1_090051600_t1 | gene=PVW1_090051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYE1] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYE1] | location=CAJZCX010000007:2055600-2056622(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477264.1         -            340 11785at5820          -            171   9.3e-08   30.6  21.3   2   2     2e-07    0.0001   20.7   5.1    36   123   211   304   203   326 0.77 | transcript=PVW1_090051600_t1 | gene=PVW1_090051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYE1] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYE1] | location=CAJZCX010000007:2055600-2056622(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473172.1         -            250 11785at5820          -            171   3.1e-07   28.9  14.2   1   2   4.7e-09   2.4e-06   26.0   8.9    43   140    30   123    13   152 0.77 | transcript=PVW1_120021600_t1 | gene=PVW1_120021600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | location=CAJZCX010000004:753079-754820(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473172.1         -            250 11785at5820          -            171   3.1e-07   28.9  14.2   2   2    0.0065       3.3    6.0   1.0   100   155   135   188   130   203 0.55 | transcript=PVW1_120021600_t1 | gene=PVW1_120021600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | location=CAJZCX010000004:753079-754820(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472352.1         -            438 11785at5820          -            171   3.8e-07   28.6  13.7   1   3   7.9e-09     4e-06   25.2   4.9    59   129    19    89    14    92 0.91 | transcript=PVW1_140052600_t1 | gene=PVW1_140052600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5F3] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5F3] | location=CAJZCX010000003:2063592-2065155(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472352.1         -            438 11785at5820          -            171   3.8e-07   28.6  13.7   2   3   3.6e-05     0.018   13.3   1.3    90   168    72   150    70   153 0.77 | transcript=PVW1_140052600_t1 | gene=PVW1_140052600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5F3] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5F3] | location=CAJZCX010000003:2063592-2065155(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472352.1         -            438 11785at5820          -            171   3.8e-07   28.6  13.7   3   3         1   5.2e+02   -1.2   0.1   149   166   276   293   266   297 0.86 | transcript=PVW1_140052600_t1 | gene=PVW1_140052600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5F3] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5F3] | location=CAJZCX010000003:2063592-2065155(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475790.1         -            281 11785at5820          -            171   0.00026   19.4   0.9   1   1   1.1e-06   0.00057   18.2   0.9    56   166    53   163    27   167 0.77 | transcript=PVW1_130028500_t1 | gene=PVW1_130028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIZ4] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIZ4] | location=CAJZCX010000006:1047339-1048184(-) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477438.1         -            176 11785at5820          -            171   0.00027   19.3   7.6   1   1   8.9e-06    0.0045   15.3   5.4    78   144    36   101    18   120 0.68 | transcript=PVW1_110007700_t1 | gene=PVW1_110007700 | organism=Plasmodium_vivax_PvW1 | gene_product=U2 small nuclear ribonucleoprotein A', putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZWM9] | transcript_product=U2 small nuclear ribonucleoprotein A', putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZWM9] | location=CAJZCX010000008:123344-124687(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11785at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11785at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11785at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:38 2026
# [ok]
