#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477028.1         -            543 4696at5820           -            156  5.5e-103  339.8   3.0   1   1  1.7e-105    1e-102  339.0   3.0     1   156    21   177    21   177 0.99 | transcript=PVW1_090037500_t1 | gene=PVW1_090037500 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | transcript_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | location=CAJZCX010000007:1420990-1422882(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472391.1         -            710 4696at5820           -            156   1.2e-10   39.8   1.4   3   4      0.54   3.3e+02   -0.5   0.1    87   119   403   435   390   453 0.68 | transcript=PVW1_140056600_t1 | gene=PVW1_140056600 | organism=Plasmodium_vivax_PvW1 | gene_product=60 kDa chaperonin, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A4K6] | transcript_product=60 kDa chaperonin, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A4K6] | location=CAJZCX010000003:2258247-2260772(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472391.1         -            710 4696at5820           -            156   1.2e-10   39.8   1.4   4   4       3.2   1.9e+03   -3.0   0.2    98   125   584   611   555   636 0.60 | transcript=PVW1_140056600_t1 | gene=PVW1_140056600 | organism=Plasmodium_vivax_PvW1 | gene_product=60 kDa chaperonin, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A4K6] | transcript_product=60 kDa chaperonin, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A4K6] | location=CAJZCX010000003:2258247-2260772(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478967.1         -            580 4696at5820           -            156   1.2e-08   33.4   2.8   1   2   2.8e-10   1.7e-07   29.6   0.9     5   129    51   177    47   218 0.85 | transcript=PVW1_080021000_t1 | gene=PVW1_080021000 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | transcript_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | location=CAJZCX010000009:744901-746910(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478967.1         -            580 4696at5820           -            156   1.2e-08   33.4   2.8   2   2     0.051        31    2.8   0.0    87   131   315   358   309   365 0.80 | transcript=PVW1_080021000_t1 | gene=PVW1_080021000 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | transcript_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | location=CAJZCX010000009:744901-746910(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4696at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4696at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4696at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:38 2026
# [ok]
