#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475600.1         -            499 6051at5820           -            397  2.2e-241  799.1  30.1   1   2  5.1e-117  3.9e-114  380.1   0.5     1   197    24   236    24   249 0.95 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479205.1         -            770 6051at5820           -            397   0.00058   17.3   0.0   1   2    0.0013      0.99    6.7   0.0    66    88    12    34     8    73 0.89 | transcript=PVW1_080032400_t1 | gene=PVW1_080032400 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-like G protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVY7] | transcript_product=Ras-like G protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVY7] | location=CAJZCX010000009:1236596-1238908(-) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479205.1         -            770 6051at5820           -            397   0.00058   17.3   0.0   2   2   0.00043      0.33    8.3   0.0    57   131   472   550   464   602 0.73 | transcript=PVW1_080032400_t1 | gene=PVW1_080032400 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-like G protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVY7] | transcript_product=Ras-like G protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVY7] | location=CAJZCX010000009:1236596-1238908(-) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473987.1         -            185 6051at5820           -            397    0.0085   13.5   1.8   1   2   3.3e-05     0.025   11.9   0.2    60   100    11    51     1   101 0.87 | transcript=PVW1_120079900_t1 | gene=PVW1_120079900 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2E7] | transcript_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2E7] | location=CAJZCX010000004:3172685-3173504(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473987.1         -            185 6051at5820           -            397    0.0085   13.5   1.8   2   2      0.11        84    0.3   0.5   327   345   118   136    71   156 0.57 | transcript=PVW1_120079900_t1 | gene=PVW1_120079900 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2E7] | transcript_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2E7] | location=CAJZCX010000004:3172685-3173504(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478130.1         -            615 6051at5820           -            397    0.0094   13.4   0.0   1   2      0.64   4.8e+02   -2.2   0.0    78   119   394   429   384   433 0.64 | transcript=PVW1_110047100_t1 | gene=PVW1_110047100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1773645-1775607(+) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478130.1         -            615 6051at5820           -            397    0.0094   13.4   0.0   2   2   3.7e-05     0.028   11.8   0.0   229   282   548   604   523   613 0.71 | transcript=PVW1_110047100_t1 | gene=PVW1_110047100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1773645-1775607(+) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6051at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6051at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6051at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:49 2026
# [ok]
