#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476651.1         -           1353 2713at5820           -            991         0 1285.1   0.0   1   1         0         0 1283.4   0.0     1   991     1  1348     1  1348 0.84 | transcript=PVW1_090014900_t1 | gene=PVW1_090014900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:517903-522152(-) | protein_length=1353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481570.1         -           1785 2713at5820           -            991       2.9    4.0  11.7   1   1    0.0095       4.1    3.5  11.7   505   596  1200  1299  1146  1387 0.51 | transcript=PVW1_060018500_t1 | gene=PVW1_060018500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:592170-597527(-) | protein_length=1785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472562.1         -            400 2713at5820           -            991         4    3.6  30.9   1   2    0.0017      0.74    6.0   6.4   577   677    74   180     9   188 0.55 | transcript=PVW1_140072700_t1 | gene=PVW1_140072700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2885109-2886834(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472562.1         -            400 2713at5820           -            991         4    3.6  30.9   2   2    0.0083       3.6    3.7  16.4   559   638   238   312   212   360 0.35 | transcript=PVW1_140072700_t1 | gene=PVW1_140072700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2885109-2886834(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475175.1         -            944 2713at5820           -            991       5.8    3.0  75.1   1   3       0.5   2.2e+02   -2.2  11.9   532   633    51   171    12   197 0.39 | transcript=PVW1_100057300_t1 | gene=PVW1_100057300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2321080-2323914(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475175.1         -            944 2713at5820           -            991       5.8    3.0  75.1   2   3    0.0023      0.99    5.6  20.5   481   639   341   535   320   556 0.51 | transcript=PVW1_100057300_t1 | gene=PVW1_100057300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2321080-2323914(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475175.1         -            944 2713at5820           -            991       5.8    3.0  75.1   3   3   2.9e-05     0.013   11.8  26.6   488   668   637   822   574   825 0.63 | transcript=PVW1_100057300_t1 | gene=PVW1_100057300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2321080-2323914(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2713at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2713at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2713at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:30 2026
# [ok]
