#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472607.1         -            731 6358at5820           -            578         0 1086.9  33.0   1   1         0         0 1086.9  33.0     6   575    91   693    82   697 0.95 | transcript=PVW1_140075100_t1 | gene=PVW1_140075100 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DRS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLB8] | transcript_product=ATP-dependent RNA helicase DRS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLB8] | location=CAJZCX010000003:2980436-2982631(+) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475031.1         -           1444 6358at5820           -            578   3.8e-53  179.3   2.6   2   2       7.4   1.2e+03   -4.0  14.5   445   558  1211  1330  1204  1341 0.61 | transcript=PVW1_100049300_t1 | gene=PVW1_100049300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2015636-2019970(-) | protein_length=1444 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482597.1         -            473 6358at5820           -            578   7.6e-53  178.3   7.1   1   1   2.9e-54   4.7e-52  175.7   7.1    22   390    62   443    44   451 0.86 | transcript=PVW1_040021300_t1 | gene=PVW1_040021300 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | transcript_product=ATP-dependent RNA helicase UAP56, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSV3] | location=CAJZCX010000013:701999-703558(+) | protein_length=473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474908.1         -           1009 6358at5820           -            578   1.3e-51  174.2   0.0   1   4      0.16        25    1.5   0.8   470   537   235   300   226   311 0.60 | transcript=PVW1_100039500_t1 | gene=PVW1_100039500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1606696-1609725(+) | protein_length=1009 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474908.1         -           1009 6358at5820           -            578   1.3e-51  174.2   0.0   2   4       4.5   7.3e+02   -3.3   1.2   429   462   358   393   337   416 0.65 | transcript=PVW1_100039500_t1 | gene=PVW1_100039500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1606696-1609725(+) | protein_length=1009 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474908.1         -           1009 6358at5820           -            578   1.3e-51  174.2   0.0   3   4   1.7e-33   2.7e-31  107.1   0.0    21   200   586   760   582   765 0.94 | transcript=PVW1_100039500_t1 | gene=PVW1_100039500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1606696-1609725(+) | protein_length=1009 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474908.1         -           1009 6358at5820           -            578   1.3e-51  174.2   0.0   4   4   1.7e-23   2.7e-21   74.1   0.0   211   389   795   961   787   977 0.79 | transcript=PVW1_100039500_t1 | gene=PVW1_100039500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1606696-1609725(+) | protein_length=1009 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475139.1         -            720 6358at5820           -            578   7.5e-50  168.4   8.5   1   1   3.8e-51     6e-49  165.4   7.1    30   400   137   520   125   598 0.82 | transcript=PVW1_100053700_t1 | gene=PVW1_100053700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ32] | location=CAJZCX010000005:2192682-2194844(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475997.1         -            877 6358at5820           -            578   1.1e-49  167.9  33.1   1   1   6.6e-52   1.1e-49  167.9  33.1     3   427   114   529   108   543 0.86 | transcript=PVW1_130036500_t1 | gene=PVW1_130036500 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX9] | transcript_product=ATP-dependent RNA helicase DBP4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIX9] | location=CAJZCX010000006:1356066-1358861(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473603.1         -            398 6358at5820           -            578   5.6e-49  165.5   1.7   1   1   8.9e-51   1.4e-48  164.2   1.7     5   396    12   379     5   385 0.90 | transcript=PVW1_120052700_t1 | gene=PVW1_120052700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH16] | location=CAJZCX010000004:1971328-1972870(-) | protein_length=398 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479989.1         -            388 6358at5820           -            578   7.8e-49  165.0   3.5   1   1     1e-50   1.6e-48  164.0   3.5    19   391    15   363     2   380 0.91 | transcript=PVW1_050036400_t1 | gene=PVW1_050036400 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic initiation factor 4A-III, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H998] | transcript_product=Eukaryotic initiation factor 4A-III, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H998] | location=CAJZCX010000010:1356986-1358152(+) | protein_length=388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 6358at5820           -            578   7.3e-46  155.2  15.9   1   4      0.57        91   -0.3   4.6   501   529    57    82    23   100 0.53 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 6358at5820           -            578   7.3e-46  155.2  15.9   2   4   2.2e-30   3.6e-28   96.8   1.2    20   203   135   318   132   321 0.91 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 6358at5820           -            578   7.3e-46  155.2  15.9   3   4    0.0016      0.26    8.1   0.0   207   239   370   422   367   525 0.68 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 6358at5820           -            578   7.3e-46  155.2  15.9   4   4     9e-18   1.4e-15   55.2   0.0   310   391   610   694   601   722 0.83 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479674.1         -           1187 6358at5820           -            578     3e-43  146.6  14.0   1   2   1.9e-45     3e-43  146.6  14.0    35   374   183   506   163   562 0.88 | transcript=PVW1_050012300_t1 | gene=PVW1_050012300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:354186-357749(+) | protein_length=1187 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479674.1         -           1187 6358at5820           -            578     3e-43  146.6  14.0   2   2       2.4   3.8e+02   -2.3   7.1   497   532   865   901   841   938 0.54 | transcript=PVW1_050012300_t1 | gene=PVW1_050012300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:354186-357749(+) | protein_length=1187 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472179.1         -            918 6358at5820           -            578   6.3e-43  145.5  10.1   1   2   1.6e-21   2.5e-19   67.6   0.4    24   193   340   517   320   525 0.82 | transcript=PVW1_140035900_t1 | gene=PVW1_140035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1337528-1340284(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472179.1         -            918 6358at5820           -            578   6.3e-43  145.5  10.1   2   2   1.5e-28   2.4e-26   90.8   3.8   204   402   552   739   547   748 0.91 | transcript=PVW1_140035900_t1 | gene=PVW1_140035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1337528-1340284(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473378.1         -            489 6358at5820           -            578   8.1e-41  138.5   0.1   1   2   2.6e-15   4.1e-13   47.1   0.0    28   191    67   220    57   231 0.84 | transcript=PVW1_120036400_t1 | gene=PVW1_120036400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | transcript_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | location=CAJZCX010000004:1337088-1338557(+) | protein_length=489 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473378.1         -            489 6358at5820           -            578   8.1e-41  138.5   0.1   2   2   7.4e-28   1.2e-25   88.5   0.0   208   434   252   470   243   484 0.83 | transcript=PVW1_120036400_t1 | gene=PVW1_120036400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | transcript_product=ATP-dependent RNA helicase DBP8, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU6] | location=CAJZCX010000004:1337088-1338557(+) | protein_length=489 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473950.1         -            791 6358at5820           -            578   8.4e-39  131.9  12.8   1   2   5.6e-28     9e-26   88.9   4.1    28   195   249   420   225   473 0.83 | transcript=PVW1_120076700_t1 | gene=PVW1_120076700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase MAK5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2B6] | transcript_product=ATP-dependent RNA helicase MAK5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2B6] | location=CAJZCX010000004:3016455-3019247(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473950.1         -            791 6358at5820           -            578   8.4e-39  131.9  12.8   2   2   2.5e-18     4e-16   57.0   1.4   310   442   601   739   589   751 0.86 | transcript=PVW1_120076700_t1 | gene=PVW1_120076700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase MAK5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2B6] | transcript_product=ATP-dependent RNA helicase MAK5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2B6] | location=CAJZCX010000004:3016455-3019247(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479052.1         -            430 6358at5820           -            578   7.5e-36  122.2   4.1   1   1   9.9e-38   1.6e-35  121.1   4.1   102   396   128   409   126   415 0.89 | transcript=PVW1_080024700_t1 | gene=PVW1_080024700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:901653-902945(-) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479034.1         -            761 6358at5820           -            578   2.3e-34  117.3  22.8   1   2   4.9e-09   7.9e-07   26.3   0.1    26    88   261   323   251   333 0.85 | transcript=PVW1_080023900_t1 | gene=PVW1_080023900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | transcript_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | location=CAJZCX010000009:869163-871691(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479034.1         -            761 6358at5820           -            578   2.3e-34  117.3  22.8   2   2   5.6e-29   8.9e-27   92.2  18.6    97   443   375   712   366   729 0.82 | transcript=PVW1_080023900_t1 | gene=PVW1_080023900 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | transcript_product=ATP-dependent RNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWD3] | location=CAJZCX010000009:869163-871691(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471860.1         -            626 6358at5820           -            578   5.6e-33  112.7  14.2   1   1   5.4e-35   8.7e-33  112.0  14.2    30   389   161   511   151   547 0.80 | transcript=PVW1_140014400_t1 | gene=PVW1_140014400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP6, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A1K6] | transcript_product=ATP-dependent RNA helicase DBP6, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A1K6] | location=CAJZCX010000003:443768-445648(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 6358at5820           -            578   4.2e-31  106.5  23.2   1   3   6.2e-26     1e-23   82.1   1.1    23   239    99   311    78   332 0.79 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 6358at5820           -            578   4.2e-31  106.5  23.2   2   3       2.3   3.7e+02   -2.3   0.6   279   338   394   453   372   457 0.84 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472486.1         -            847 6358at5820           -            578   4.2e-31  106.5  23.2   3   3   1.2e-12   1.9e-10   38.3  15.1   341   527   512   707   506   734 0.53 | transcript=PVW1_140065400_t1 | gene=PVW1_140065400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | transcript_product=ATP-dependent RNA helicase DBP9, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A305] | location=CAJZCX010000003:2639809-2642352(-) | protein_length=847 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 6358at5820           -            578   5.6e-30  102.8  28.5   1   3   1.2e-08   1.9e-06   25.1   0.0    32    78    15    61     3    75 0.85 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 6358at5820           -            578   5.6e-30  102.8  28.5   2   3   3.8e-08   6.1e-06   23.4  20.6   102   306   332   565   318   586 0.82 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474855.1         -            816 6358at5820           -            578   5.6e-30  102.8  28.5   3   3   1.7e-18   2.8e-16   57.5   0.5   305   393   605   693   594   735 0.87 | transcript=PVW1_100036300_t1 | gene=PVW1_100036300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1468944-1471394(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473708.1         -            787 6358at5820           -            578   1.4e-28   98.2  13.8   1   3       4.2   6.7e+02   -3.2   2.7   502   536   135   170   104   183 0.47 | transcript=PVW1_120062700_t1 | gene=PVW1_120062700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | transcript_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | location=CAJZCX010000004:2414428-2416791(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473708.1         -            787 6358at5820           -            578   1.4e-28   98.2  13.8   2   3       1.5   2.4e+02   -1.7   2.2   438   500   283   347   268   373 0.46 | transcript=PVW1_120062700_t1 | gene=PVW1_120062700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | transcript_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | location=CAJZCX010000004:2414428-2416791(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473708.1         -            787 6358at5820           -            578   1.4e-28   98.2  13.8   3   3   8.7e-31   1.4e-28   98.2  13.8     5   396   358   762   352   768 0.75 | transcript=PVW1_120062700_t1 | gene=PVW1_120062700 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | transcript_product=ATP-dependent RNA helicase DBP5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHB4] | location=CAJZCX010000004:2414428-2416791(-) | protein_length=787 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481375.1         -            643 6358at5820           -            578   1.1e-26   91.9  15.9   1   4   1.1e-09   1.7e-07   28.5   0.0    39    85   152   198   146   211 0.92 | transcript=PVW1_060013000_t1 | gene=PVW1_060013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:332780-334711(-) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481375.1         -            643 6358at5820           -            578   1.1e-26   91.9  15.9   2   4       7.5   1.2e+03   -4.0   4.2   502   533   216   249   197   267 0.37 | transcript=PVW1_060013000_t1 | gene=PVW1_060013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:332780-334711(-) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481375.1         -            643 6358at5820           -            578   1.1e-26   91.9  15.9   3   4   2.3e-08   3.7e-06   24.1   0.7    94   219   264   385   256   425 0.79 | transcript=PVW1_060013000_t1 | gene=PVW1_060013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:332780-334711(-) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481375.1         -            643 6358at5820           -            578   1.1e-26   91.9  15.9   4   4   7.3e-16   1.2e-13   48.9   0.1   324   403   488   568   469   572 0.86 | transcript=PVW1_060013000_t1 | gene=PVW1_060013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:332780-334711(-) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
