#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474837.1         -            115 14297at5820          -             98   7.5e-57  187.9   6.4   1   1     1e-59   8.7e-57  187.7   6.4     1    98    14   112    14   112 0.98 | transcript=PVW1_100034500_t1 | gene=PVW1_100034500 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein light chain Tctex-type, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH3] | transcript_product=Dynein light chain Tctex-type, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH3] | location=CAJZCX010000005:1373118-1374405(+) | protein_length=115 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485484.1         -            317 14297at5820          -             98       1.9    7.0  12.1   3   3       1.4   1.2e+03   -2.0   0.1    25    47   231   254   214   264 0.56 | transcript=PVW1_000016300_t1 | gene=PVW1_000016300 | organism=Plasmodium_vivax_PvW1 | gene_product=VIR protein [Source:UniProtKB/TrEMBL;Acc:A0A565A5G1] | transcript_product=VIR protein [Source:UniProtKB/TrEMBL;Acc:A0A565A5G1] | location=CAJZCX010000017:524087-525293(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14297at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14297at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14297at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:02 2026
# [ok]
