#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472546.1         -            302 9829at5820           -            272  2.2e-163  540.5  15.9   1   1  5.6e-166  3.4e-163  539.9  15.9     1   272     9   298     9   298 0.97 | transcript=PVW1_140071000_t1 | gene=PVW1_140071000 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidylprolyl isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5W1] | transcript_product=Peptidylprolyl isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5W1] | location=CAJZCX010000003:2825882-2826790(-) | protein_length=302 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484760.1         -           1112 9829at5820           -            272   1.5e-06   26.2   5.5   1   2         5     3e+03   -4.3   1.6   116   159    23    71    17    88 0.66 | transcript=PVW1_010012000_t1 | gene=PVW1_010012000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:367393-370731(+) | protein_length=1112 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484760.1         -           1112 9829at5820           -            272   1.5e-06   26.2   5.5   2   2   2.5e-09   1.5e-06   26.2   5.5   130   248   852   966   835   990 0.87 | transcript=PVW1_010012000_t1 | gene=PVW1_010012000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:367393-370731(+) | protein_length=1112 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482502.1         -            463 9829at5820           -            272   2.1e-05   22.5   3.7   1   2   2.9e-07   0.00018   19.4   0.3   137   218    14    91     2   136 0.80 | transcript=PVW1_040017600_t1 | gene=PVW1_040017600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:560187-562155(+) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482502.1         -            463 9829at5820           -            272   2.1e-05   22.5   3.7   2   2     0.015         9    4.0   0.3   136   200   302   367   285   376 0.88 | transcript=PVW1_040017600_t1 | gene=PVW1_040017600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:560187-562155(+) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479228.1         -           1123 9829at5820           -            272   3.5e-05   21.7   2.7   1   1   1.1e-07   6.7e-05   20.8   2.7   130   201   242   309   222   337 0.84 | transcript=PVW1_080033600_t1 | gene=PVW1_080033600 | organism=Plasmodium_vivax_PvW1 | gene_product=TPR domain containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H628] | transcript_product=TPR domain containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H628] | location=CAJZCX010000009:1265559-1268930(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477712.1         -            682 9829at5820           -            272    0.0031   15.3   8.7   1   2    0.0077       4.7    4.9   0.4   131   171   155   195   143   208 0.80 | transcript=PVW1_110021900_t1 | gene=PVW1_110021900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | location=CAJZCX010000008:734450-736498(-) | protein_length=682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477712.1         -            682 9829at5820           -            272    0.0031   15.3   8.7   2   2   1.5e-05    0.0093   13.8   2.6   162   271   239   343   210   344 0.83 | transcript=PVW1_110021900_t1 | gene=PVW1_110021900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | location=CAJZCX010000008:734450-736498(-) | protein_length=682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473465.1         -            141 9829at5820           -            272     0.013   13.4   1.2   1   1   2.4e-05     0.015   13.1   1.2   147   248     8   106     2   116 0.73 | transcript=PVW1_120043500_t1 | gene=PVW1_120043500 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial fission 1 protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1E6] | transcript_product=Mitochondrial fission 1 protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1E6] | location=CAJZCX010000004:1626312-1626999(-) | protein_length=141 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9829at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9829at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9829at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:47 2026
# [ok]
