#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473780.1         -           1038 1690at5820           -            766         0 1468.3  77.2   1   4    1e-173  1.3e-170  568.0  14.3     1   259     1   259     1   268 0.99 | transcript=PVW1_120066200_t1 | gene=PVW1_120066200 | organism=Plasmodium_vivax_PvW1 | gene_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | transcript_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | location=CAJZCX010000004:2572817-2576368(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475751.1         -           1313 1690at5820           -            766   1.7e-06   25.3  19.6   3   3      0.12   1.5e+02   -1.0   0.4   102   183   535   620   532   663 0.80 | transcript=PVW1_130026700_t1 | gene=PVW1_130026700 | organism=Plasmodium_vivax_PvW1 | gene_product=Coatamer protein, beta subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H375] | transcript_product=Coatamer protein, beta subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H375] | location=CAJZCX010000006:976654-980933(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1690at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1690at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1690at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:09 2026
# [ok]
