#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479891.1         -            231 11576at5820          -            205  3.7e-108  358.3   3.2   1   1  4.9e-111  4.3e-108  358.1   3.2     1   205     7   225     7   225 0.96 | transcript=PVW1_050027300_t1 | gene=PVW1_050027300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP:AMP phosphotransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN5] | transcript_product=GTP:AMP phosphotransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN5] | location=CAJZCX010000010:925796-926491(-) | protein_length=231 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478184.1         -           1685 11576at5820          -            205    0.0035   15.5   0.1   2   2      0.09        78    1.3   0.0    73   103   824   854   788   861 0.81 | transcript=PVW1_110049200_t1 | gene=PVW1_110049200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1871926-1878107(+) | protein_length=1685 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11576at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11576at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11576at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:32 2026
# [ok]
