#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476142.1         -            381 8409at5820           -            316  8.7e-184  608.7  15.5   1   1  4.2e-186    1e-183  608.5  15.5     1   316     8   349     8   349 0.96 | transcript=PVW1_130041400_t1 | gene=PVW1_130041400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | location=CAJZCX010000006:1601914-1603428(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475165.1         -            177 8409at5820           -            316    0.0029   15.7   0.9   1   2   1.8e-05    0.0043   15.1   0.0    46    83     6    43     2    57 0.87 | transcript=PVW1_100056300_t1 | gene=PVW1_100056300 | organism=Plasmodium_vivax_PvW1 | gene_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | transcript_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | location=CAJZCX010000005:2291129-2291662(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475165.1         -            177 8409at5820           -            316    0.0029   15.7   0.9   2   2         2   4.8e+02   -1.5   0.2    90    90   127   127    72   167 0.56 | transcript=PVW1_100056300_t1 | gene=PVW1_100056300 | organism=Plasmodium_vivax_PvW1 | gene_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | transcript_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | location=CAJZCX010000005:2291129-2291662(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483563.1         -            115 8409at5820           -            316     0.015   13.3   0.0   1   1   7.6e-05     0.018   13.0   0.0    40    88    57   105    44   114 0.79 | transcript=PVW1_030027400_t1 | gene=PVW1_030027400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GS72] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GS72] | location=CAJZCX010000014:944796-945434(+) | protein_length=115 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8409at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8409at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8409at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:59 2026
# [ok]
