#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476780.1         -            366 10221at5820          -            271  1.4e-117  390.4   6.9   1   3     1e-37   4.7e-35  119.7   0.5     1   100     8   129     8   151 0.83 | transcript=PVW1_090024200_t1 | gene=PVW1_090024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP2] | transcript_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP2] | location=CAJZCX010000007:866739-867839(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475043.1         -           1569 10221at5820          -            271   7.8e-18   63.3   2.9   1   3       3.3   1.5e+03   -3.3   0.0   195   235   872   913   861   916 0.66 | transcript=PVW1_100049900_t1 | gene=PVW1_100049900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2040043-2044752(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475043.1         -           1569 10221at5820          -            271   7.8e-18   63.3   2.9   2   3     5e-11   2.4e-08   32.2   0.2   197   248  1211  1262  1141  1264 0.74 | transcript=PVW1_100049900_t1 | gene=PVW1_100049900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2040043-2044752(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475043.1         -           1569 10221at5820          -            271   7.8e-18   63.3   2.9   3   3   8.5e-14     4e-11   41.3   0.2   193   269  1240  1316  1236  1318 0.94 | transcript=PVW1_100049900_t1 | gene=PVW1_100049900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2040043-2044752(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481770.1         -            482 10221at5820          -            271   6.3e-17   60.3   0.5   1   3      0.22     1e+02    0.5   0.1   150   220    12    82     6    92 0.77 | transcript=PVW1_060025300_t1 | gene=PVW1_060025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:835079-836920(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481770.1         -            482 10221at5820          -            271   6.3e-17   60.3   0.5   2   3   4.2e-10     2e-07   29.2   0.0   179   256    74   153    48   160 0.83 | transcript=PVW1_060025300_t1 | gene=PVW1_060025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:835079-836920(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481770.1         -            482 10221at5820          -            271   6.3e-17   60.3   0.5   3   3   1.1e-09   5.2e-07   27.8   0.0   198   257   161   220   156   232 0.90 | transcript=PVW1_060025300_t1 | gene=PVW1_060025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:835079-836920(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 10221at5820          -            271   1.5e-15   55.8  10.8   1   4    0.0089       4.1    5.1   0.0   214   259  1205  1250  1194  1255 0.88 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 10221at5820          -            271   1.5e-15   55.8  10.8   2   4     0.047        22    2.8   0.0   195   253  1452  1513  1449  1521 0.70 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 10221at5820          -            271   1.5e-15   55.8  10.8   3   4   1.4e-11   6.3e-09   34.1   2.2   180   261  1608  1690  1562  1697 0.83 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 10221at5820          -            271   1.5e-15   55.8  10.8   4   4   1.5e-05    0.0072   14.2   0.3   190   236  1720  1766  1702  1781 0.89 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479343.1         -            611 10221at5820          -            271   1.1e-11   43.0  10.5   1   4   5.8e-08   2.7e-05   22.1   0.1   195   250    48   104    17   120 0.82 | transcript=PVW1_080042500_t1 | gene=PVW1_080042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | location=CAJZCX010000009:1603314-1606083(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479343.1         -            611 10221at5820          -            271   1.1e-11   43.0  10.5   2   4   1.4e-09   6.6e-07   27.4   0.0   189   252   151   214   136   225 0.93 | transcript=PVW1_080042500_t1 | gene=PVW1_080042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | location=CAJZCX010000009:1603314-1606083(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479343.1         -            611 10221at5820          -            271   1.1e-11   43.0  10.5   3   4       2.3   1.1e+03   -2.8   0.2    65   103   255   291   247   299 0.65 | transcript=PVW1_080042500_t1 | gene=PVW1_080042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | location=CAJZCX010000009:1603314-1606083(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479343.1         -            611 10221at5820          -            271   1.1e-11   43.0  10.5   4   4       5.3   2.5e+03   -4.0   0.3     5    29   518   542   516   545 0.87 | transcript=PVW1_080042500_t1 | gene=PVW1_080042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | location=CAJZCX010000009:1603314-1606083(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479697.1         -            185 10221at5820          -            271   2.1e-10   38.9   5.8   1   2   5.6e-07   0.00026   18.9   1.2   187   266     5    83     1    88 0.88 | transcript=PVW1_050014100_t1 | gene=PVW1_050014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:439620-441063(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479697.1         -            185 10221at5820          -            271   2.1e-10   38.9   5.8   2   2   5.1e-08   2.4e-05   22.3   0.2   187   233   105   151    88   175 0.82 | transcript=PVW1_050014100_t1 | gene=PVW1_050014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:439620-441063(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471953.1         -            400 10221at5820          -            271   5.2e-10   37.6  19.9   1   5   0.00052      0.24    9.2   0.3   167   226     5    67     1    75 0.79 | transcript=PVW1_140021100_t1 | gene=PVW1_140021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:725708-726910(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471953.1         -            400 10221at5820          -            271   5.2e-10   37.6  19.9   2   5   1.1e-10   5.3e-08   31.0   6.6   153   262    65   172    63   181 0.82 | transcript=PVW1_140021100_t1 | gene=PVW1_140021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:725708-726910(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471953.1         -            400 10221at5820          -            271   5.2e-10   37.6  19.9   3   5   5.1e-05     0.024   12.5   0.3   200   246   143   189   139   201 0.77 | transcript=PVW1_140021100_t1 | gene=PVW1_140021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:725708-726910(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471953.1         -            400 10221at5820          -            271   5.2e-10   37.6  19.9   4   5     0.003       1.4    6.7   0.1   204   270   179   248   172   249 0.78 | transcript=PVW1_140021100_t1 | gene=PVW1_140021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:725708-726910(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471953.1         -            400 10221at5820          -            271   5.2e-10   37.6  19.9   5   5       3.3   1.6e+03   -3.3   0.2   116   136   281   301   261   324 0.63 | transcript=PVW1_140021100_t1 | gene=PVW1_140021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:725708-726910(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472185.1         -             92 10221at5820          -            271   2.8e-07   28.7   1.1   1   1   6.7e-10   3.1e-07   28.5   1.1    57   135     4    87     1    90 0.78 | transcript=PVW1_140036500_t1 | gene=PVW1_140036500 | organism=Plasmodium_vivax_PvW1 | gene_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Y7] | transcript_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Y7] | location=CAJZCX010000003:1366504-1366782(+) | protein_length=92 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473512.1         -            641 10221at5820          -            271   8.3e-05   20.6   3.1   1   4    0.0016      0.74    7.6   0.0   215   261    33    79    27    82 0.84 | transcript=PVW1_120046600_t1 | gene=PVW1_120046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1734366-1737130(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473512.1         -            641 10221at5820          -            271   8.3e-05   20.6   3.1   2   4     2e-05    0.0095   13.8   0.0   189   261    73   145    73   151 0.92 | transcript=PVW1_120046600_t1 | gene=PVW1_120046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1734366-1737130(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473512.1         -            641 10221at5820          -            271   8.3e-05   20.6   3.1   3   4     0.023        11    3.8   0.0   195   259   112   176   108   179 0.88 | transcript=PVW1_120046600_t1 | gene=PVW1_120046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1734366-1737130(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473512.1         -            641 10221at5820          -            271   8.3e-05   20.6   3.1   4   4      0.33   1.6e+02   -0.0   1.1   139   184   375   419   369   422 0.77 | transcript=PVW1_120046600_t1 | gene=PVW1_120046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1734366-1737130(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477220.1         -            584 10221at5820          -            271    0.0014   16.5   0.2   1   1   6.1e-06    0.0029   15.5   0.2   161   245    24   111    14   120 0.78 | transcript=PVW1_090047900_t1 | gene=PVW1_090047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | transcript_product=Methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZVC3] | location=CAJZCX010000007:1924664-1926418(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10221at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10221at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10221at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:13 2026
# [ok]
