#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477264.1         -            340 10835at5820          -            259    1e-132  439.7  36.5   1   1  2.1e-135  1.3e-132  439.4  36.5     4   259    73   328    70   328 0.98 | transcript=PVW1_090051600_t1 | gene=PVW1_090051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYE1] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYE1] | location=CAJZCX010000007:2055600-2056622(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 10835at5820          -            259   5.3e-08   31.0  10.5   1   2   8.8e-11   5.3e-08   31.0  10.5    35   137    54   159    47   173 0.71 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 10835at5820          -            259   5.3e-08   31.0  10.5   2   2      0.45   2.7e+02   -0.8   0.5    66   108   253   294   248   320 0.71 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479732.1         -            198 10835at5820          -            259   2.8e-07   28.7   9.9   1   2   2.6e-08   1.6e-05   22.9   3.8   136   219    41   124     9   124 0.78 | transcript=PVW1_050016800_t1 | gene=PVW1_050016800 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein light chain 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF1] | transcript_product=Dynein light chain 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF1] | location=CAJZCX010000010:539634-541511(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479732.1         -            198 10835at5820          -            259   2.8e-07   28.7   9.9   2   2   1.2e-06   0.00071   17.5   2.8   128   206   101   188    97   194 0.70 | transcript=PVW1_050016800_t1 | gene=PVW1_050016800 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein light chain 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF1] | transcript_product=Dynein light chain 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF1] | location=CAJZCX010000010:539634-541511(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480699.1         -            635 10835at5820          -            259   1.1e-05   23.4  21.7   1   2   1.9e-08   1.1e-05   23.4  21.7    61   225    79   200    69   229 0.54 | transcript=PVW1_070035400_t1 | gene=PVW1_070035400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | location=CAJZCX010000011:1288133-1290772(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480699.1         -            635 10835at5820          -            259   1.1e-05   23.4  21.7   2   2        10   6.1e+03   -7.0   6.8   143   143   521   521   457   607 0.51 | transcript=PVW1_070035400_t1 | gene=PVW1_070035400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | location=CAJZCX010000011:1288133-1290772(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480341.1         -            414 10835at5820          -            259   0.00028   18.9   8.7   1   2     0.012       7.1    4.4   0.8    66   136   168   217   139   223 0.46 | transcript=PVW1_070011700_t1 | gene=PVW1_070011700 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAA2] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAA2] | location=CAJZCX010000011:393973-395217(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480341.1         -            414 10835at5820          -            259   0.00028   18.9   8.7   2   2   1.4e-06   0.00084   17.3   1.6    78   135   272   332   267   337 0.83 | transcript=PVW1_070011700_t1 | gene=PVW1_070011700 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAA2] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAA2] | location=CAJZCX010000011:393973-395217(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472352.1         -            438 10835at5820          -            259   0.00037   18.4   8.7   1   1     1e-06   0.00062   17.7   8.7    62   160    25   120     6   149 0.77 | transcript=PVW1_140052600_t1 | gene=PVW1_140052600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5F3] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5F3] | location=CAJZCX010000003:2063592-2065155(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475790.1         -            281 10835at5820          -            259    0.0004   18.3   5.4   1   1   1.1e-06   0.00068   17.6   5.4   136   234    45   150    21   174 0.73 | transcript=PVW1_130028500_t1 | gene=PVW1_130028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIZ4] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIZ4] | location=CAJZCX010000006:1047339-1048184(-) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10835at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10835at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10835at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:23 2026
# [ok]
