#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475900.1         -            520 6148at5820           -            431  1.6e-263  872.5  48.6   1   2  1.2e-231  5.7e-229  758.7  37.5     1   344     1   344     1   355 0.99 | transcript=PVW1_130033100_t1 | gene=PVW1_130033100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | location=CAJZCX010000006:1233244-1235580(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473364.1         -            456 6148at5820           -            431   8.7e-05   19.9   5.0   2   2       3.8   1.8e+03   -4.1   1.4   390   421   123   154    85   185 0.65 | transcript=PVW1_120035100_t1 | gene=PVW1_120035100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1294873-1296243(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477857.1         -             89 6148at5820           -            431   0.00048   17.5   4.1   1   1     1e-06   0.00048   17.5   4.1   312   346    52    87     3    89 0.79 | transcript=PVW1_110030600_t1 | gene=PVW1_110030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Anaphase-promoting complex subunit 11 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZW0] | transcript_product=Anaphase-promoting complex subunit 11 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZW0] | location=CAJZCX010000008:1124830-1125099(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479893.1         -            732 6148at5820           -            431     0.011   13.1   5.4   1   1   3.4e-05     0.016   12.5   5.4   274   342    54   123    30   155 0.81 | transcript=PVW1_050027500_t1 | gene=PVW1_050027500 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN8] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN8] | location=CAJZCX010000010:929908-932106(+) | protein_length=732 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479092.1         -            108 6148at5820           -            431     0.012   12.9   5.8   1   2     0.017       7.7    3.6   0.3   324   344    24    44     5    54 0.79 | transcript=PVW1_080026600_t1 | gene=PVW1_080026600 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBV0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBV0] | location=CAJZCX010000009:976476-976802(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479092.1         -            108 6148at5820           -            431     0.012   12.9   5.8   2   2   4.2e-05      0.02   12.2   0.9   313   336    74    97    58   105 0.89 | transcript=PVW1_080026600_t1 | gene=PVW1_080026600 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBV0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBV0] | location=CAJZCX010000009:976476-976802(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6148at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6148at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6148at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:21 2026
# [ok]
