#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472365.1         -            544 4738at5820           -            464  5.9e-279  923.8  26.3   1   2   5.1e-84   3.9e-81  271.5   0.5     1   136     1   140     1   151 0.95 | transcript=PVW1_140053900_t1 | gene=PVW1_140053900 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | transcript_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | location=CAJZCX010000003:2133513-2135359(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482486.1         -            544 4738at5820           -            464   1.7e-41  140.8  24.6   1   2   3.7e-16   2.8e-13   47.8   0.9    22   144    24   146    11   163 0.84 | transcript=PVW1_040017100_t1 | gene=PVW1_040017100 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit theta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H817] | transcript_product=T-complex protein 1 subunit theta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H817] | location=CAJZCX010000013:539335-541219(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482486.1         -            544 4738at5820           -            464   1.7e-41  140.8  24.6   2   2     8e-31   6.1e-28   96.2  19.2   126   458   154   523   123   526 0.76 | transcript=PVW1_040017100_t1 | gene=PVW1_040017100 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit theta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H817] | transcript_product=T-complex protein 1 subunit theta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H817] | location=CAJZCX010000013:539335-541219(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478107.1         -            543 4738at5820           -            464   1.3e-36  124.8  19.1   1   2     3e-22   2.3e-19   67.9   0.6    22   131    17   130     3   145 0.87 | transcript=PVW1_110046000_t1 | gene=PVW1_110046000 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | transcript_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | location=CAJZCX010000008:1745432-1747242(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478107.1         -            543 4738at5820           -            464   1.3e-36  124.8  19.1   2   2   3.8e-20   2.9e-17   61.0  11.9   155   459   187   534   169   538 0.73 | transcript=PVW1_110046000_t1 | gene=PVW1_110046000 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | transcript_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | location=CAJZCX010000008:1745432-1747242(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4738at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4738at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4738at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:48 2026
# [ok]
