#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473855.1         -            377 7573at5820           -            324  1.2e-213  706.7  37.4   1   2  1.8e-214  2.1e-212  702.6  29.8     3   315    16   329     6   339 0.95 | transcript=PVW1_120071800_t1 | gene=PVW1_120071800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | location=CAJZCX010000004:2806800-2809451(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483417.1         -            529 7573at5820           -            324   2.1e-28   97.9   9.7   1   1   3.3e-30   3.7e-28   97.1   9.7    18   298    61   332    42   344 0.86 | transcript=PVW1_030020500_t1 | gene=PVW1_030020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | transcript_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | location=CAJZCX010000014:680985-682739(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476883.1         -           1607 7573at5820           -            324   9.8e-28   95.7  13.9   1   1   8.7e-30   9.8e-28   95.7  13.9    30   304  1169  1429  1134  1457 0.82 | transcript=PVW1_090028000_t1 | gene=PVW1_090028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1030038-1035762(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483450.1         -            310 7573at5820           -            324   6.2e-27   93.1   8.0   1   1   6.6e-29   7.4e-27   92.9   8.0    26   295     2   260     1   280 0.80 | transcript=PVW1_030022100_t1 | gene=PVW1_030022100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | location=CAJZCX010000014:775312-777159(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471965.1         -            368 7573at5820           -            324   2.2e-26   91.3  10.7   1   1   3.3e-28   3.7e-26   90.5  10.7    24   295   104   361    89   366 0.84 | transcript=PVW1_140022300_t1 | gene=PVW1_140022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | location=CAJZCX010000003:767187-768293(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 7573at5820           -            324   2.3e-24   84.7   2.7   1   2   3.1e-24   3.5e-22   77.5   1.1    13   248     5   237     2   246 0.82 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 7573at5820           -            324   2.3e-24   84.7   2.7   2   2     0.012       1.4    6.5   0.0   233   296   253   310   248   319 0.77 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474809.1         -            288 7573at5820           -            324   1.8e-23   81.7   1.8   1   1     2e-25   2.2e-23   81.4   1.8    25   293     9   267     2   282 0.75 | transcript=PVW1_100032000_t1 | gene=PVW1_100032000 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | location=CAJZCX010000005:1262528-1264777(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475575.1         -            854 7573at5820           -            324   7.7e-23   79.7   0.1   1   1   1.4e-24   1.6e-22   78.6   0.1    68   267   584   773   528   797 0.78 | transcript=PVW1_130019800_t1 | gene=PVW1_130019800 | organism=Plasmodium_vivax_PvW1 | gene_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | transcript_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | location=CAJZCX010000006:663083-666911(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479267.1         -           1607 7573at5820           -            324   3.2e-22   77.6   1.8   1   1   4.1e-24   4.6e-22   77.1   1.8    32   297  1343  1605  1325  1607 0.78 | transcript=PVW1_080036700_t1 | gene=PVW1_080036700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1393748-1399176(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473995.1         -           2433 7573at5820           -            324   5.4e-22   76.9   4.7   1   1   1.2e-23   1.3e-21   75.6   4.7    13   298   103   404    94   421 0.76 | transcript=PVW1_120080600_t1 | gene=PVW1_120080600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3191638-3199719(-) | protein_length=2433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480821.1         -            341 7573at5820           -            324     2e-20   71.7   4.2   1   1   2.3e-22   2.6e-20   71.3   4.2    15   285    20   273     6   313 0.77 | transcript=PVW1_070040400_t1 | gene=PVW1_070040400 | organism=Plasmodium_vivax_PvW1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | location=CAJZCX010000011:1462955-1464722(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476644.1         -            335 7573at5820           -            324   2.3e-20   71.5   7.8   1   2   2.9e-22   3.3e-20   71.0   7.1    26   250    41   252    13   287 0.76 | transcript=PVW1_090014300_t1 | gene=PVW1_090014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | location=CAJZCX010000007:499846-500853(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476644.1         -            335 7573at5820           -            324   2.3e-20   71.5   7.8   2   2       5.5   6.1e+02   -2.2   0.0   268   294   301   327   287   330 0.81 | transcript=PVW1_090014300_t1 | gene=PVW1_090014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | location=CAJZCX010000007:499846-500853(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477699.1         -           4000 7573at5820           -            324   3.1e-20   71.1   2.2   1   1   6.7e-22   7.6e-20   69.8   2.2   103   297  1259  1441  1212  1451 0.82 | transcript=PVW1_110020600_t1 | gene=PVW1_110020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:667058-679060(-) | protein_length=4000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479224.1         -            488 7573at5820           -            324   1.2e-19   69.2   1.7   1   1   1.6e-21   1.8e-19   68.6   1.7    10   245    95   326    86   341 0.78 | transcript=PVW1_080033400_t1 | gene=PVW1_080033400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | location=CAJZCX010000009:1260295-1262736(+) | protein_length=488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482791.1         -           2121 7573at5820           -            324   2.3e-19   68.2   3.9   1   1   4.2e-21   4.7e-19   67.2   3.9    61   295  1728  1953  1714  1969 0.76 | transcript=PVW1_040028500_t1 | gene=PVW1_040028500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:973804-980169(+) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478192.1         -            354 7573at5820           -            324   4.2e-19   67.4   0.7   1   1   4.9e-21   5.5e-19   67.0   0.7    25   295    29   307    14   320 0.79 | transcript=PVW1_110049500_t1 | gene=PVW1_110049500 | organism=Plasmodium_vivax_PvW1 | gene_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | transcript_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | location=CAJZCX010000008:1882409-1883946(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476861.1         -            561 7573at5820           -            324   4.5e-19   67.3  15.1   1   3   4.3e-11   4.9e-09   34.3  10.9     4   181     9   185     7   196 0.78 | transcript=PVW1_090027100_t1 | gene=PVW1_090027100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | location=CAJZCX010000007:990790-992475(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476861.1         -            561 7573at5820           -            324   4.5e-19   67.3  15.1   2   3       9.1     1e+03   -2.9   8.7     5    90   255   340   251   347 0.83 | transcript=PVW1_090027100_t1 | gene=PVW1_090027100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | location=CAJZCX010000007:990790-992475(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476861.1         -            561 7573at5820           -            324   4.5e-19   67.3  15.1   3   3   7.7e-14   8.6e-12   43.3   0.1   196   321   347   472   342   475 0.85 | transcript=PVW1_090027100_t1 | gene=PVW1_090027100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | location=CAJZCX010000007:990790-992475(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479945.1         -            612 7573at5820           -            324   1.7e-17   62.1   8.1   1   2   3.9e-18   4.4e-16   57.5   5.6    24   244   263   479   252   491 0.80 | transcript=PVW1_050032400_t1 | gene=PVW1_050032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1143440-1145278(-) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479945.1         -            612 7573at5820           -            324   1.7e-17   62.1   8.1   2   2     0.038       4.3    4.9   0.0   248   295   522   569   498   575 0.74 | transcript=PVW1_050032400_t1 | gene=PVW1_050032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1143440-1145278(-) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472354.1         -            982 7573at5820           -            324   1.8e-17   62.0   2.9   1   1   2.8e-19   3.1e-17   61.2   2.9    25   273    12   280     4   299 0.71 | transcript=PVW1_140052800_t1 | gene=PVW1_140052800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2070140-2073307(+) | protein_length=982 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 7573at5820           -            324   2.6e-17   61.5  11.6   1   2   3.9e-08   4.4e-06   24.6   7.2    49   167   287   403   258   425 0.80 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 7573at5820           -            324   2.6e-17   61.5  11.6   2   2   2.1e-12   2.4e-10   38.6   0.1   191   296   528   637   506   645 0.86 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473960.1         -           1526 7573at5820           -            324   5.6e-17   60.4   4.6   1   2     5e-19   5.6e-17   60.4   4.6    96   261   583   748   554   796 0.72 | transcript=PVW1_120077400_t1 | gene=PVW1_120077400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3037523-3042254(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473960.1         -           1526 7573at5820           -            324   5.6e-17   60.4   4.6   2   2       8.7   9.8e+02   -2.8   0.9   243   317  1438  1512  1434  1516 0.65 | transcript=PVW1_120077400_t1 | gene=PVW1_120077400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3037523-3042254(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473154.1         -           1736 7573at5820           -            324   2.2e-15   55.1   5.2   1   3       4.4   4.9e+02   -1.9   0.1   147   183   259   292   254   335 0.57 | transcript=PVW1_120020100_t1 | gene=PVW1_120020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:679468-684678(-) | protein_length=1736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473154.1         -           1736 7573at5820           -            324   2.2e-15   55.1   5.2   2   3      0.75        84    0.7   0.1    28    58  1290  1319  1272  1337 0.73 | transcript=PVW1_120020100_t1 | gene=PVW1_120020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:679468-684678(-) | protein_length=1736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473154.1         -           1736 7573at5820           -            324   2.2e-15   55.1   5.2   3   3   2.3e-17   2.6e-15   54.9   0.0   107   253  1528  1679  1525  1720 0.77 | transcript=PVW1_120020100_t1 | gene=PVW1_120020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:679468-684678(-) | protein_length=1736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472118.1         -            517 7573at5820           -            324   2.4e-15   55.1   3.7   1   3   1.6e-06   0.00018   19.3   0.4   107   166   288   346   282   374 0.84 | transcript=PVW1_140030700_t1 | gene=PVW1_140030700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | location=CAJZCX010000003:1120450-1122565(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472118.1         -            517 7573at5820           -            324   2.4e-15   55.1   3.7   2   3      0.87        97    0.4   0.0   255   285   364   394   354   396 0.86 | transcript=PVW1_140030700_t1 | gene=PVW1_140030700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | location=CAJZCX010000003:1120450-1122565(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472118.1         -            517 7573at5820           -            324   2.4e-15   55.1   3.7   3   3     5e-11   5.6e-09   34.1   0.3   159   298   382   513   369   517 0.82 | transcript=PVW1_140030700_t1 | gene=PVW1_140030700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | location=CAJZCX010000003:1120450-1122565(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477698.1         -            288 7573at5820           -            324   3.3e-15   54.6   0.0   1   2   1.8e-16   2.1e-14   52.0   0.0    26   239     2   205     1   220 0.84 | transcript=PVW1_110020500_t1 | gene=PVW1_110020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | location=CAJZCX010000008:664005-665737(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477698.1         -            288 7573at5820           -            324   3.3e-15   54.6   0.0   2   2      0.92     1e+02    0.4   0.0   270   296   259   285   250   287 0.88 | transcript=PVW1_110020500_t1 | gene=PVW1_110020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | location=CAJZCX010000008:664005-665737(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473309.1         -            305 7573at5820           -            324   3.5e-15   54.5   6.5   1   1   1.2e-16   1.3e-14   52.6   6.5    27   245     8   226     4   296 0.73 | transcript=PVW1_120032100_t1 | gene=PVW1_120032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | location=CAJZCX010000004:1203388-1205498(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476709.1         -            708 7573at5820           -            324   4.6e-15   54.1   9.0   1   2   6.5e-15   7.3e-13   46.9   7.4    27   245   372   585   362   599 0.72 | transcript=PVW1_090019900_t1 | gene=PVW1_090019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:703640-707483(+) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476709.1         -            708 7573at5820           -            324   4.6e-15   54.1   9.0   2   2     0.017       1.9    6.1   0.0   267   299   668   700   631   706 0.81 | transcript=PVW1_090019900_t1 | gene=PVW1_090019900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:703640-707483(+) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473946.1         -            877 7573at5820           -            324     9e-15   53.1  14.1   1   2   1.3e-15   1.5e-13   49.2  13.5     4   239   513   774   510   797 0.71 | transcript=PVW1_120076500_t1 | gene=PVW1_120076500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR9] | location=CAJZCX010000004:3009585-3012218(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
