#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477158.1         -            453 6375at5820           -            375  1.5e-235  779.6  16.5   1   1  3.2e-238    2e-235  779.2  16.5     7   375    61   451    57   451 0.96 | transcript=PVW1_090042900_t1 | gene=PVW1_090042900 | organism=Plasmodium_vivax_PvW1 | gene_product=UVB-resistance protein UVR8 homologue [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXZ6] | transcript_product=UVB-resistance protein UVR8 homologue [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXZ6] | location=CAJZCX010000007:1660904-1662265(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479953.1         -           1724 6375at5820           -            375   5.6e-14   50.4   3.1   3   5     6e-05     0.037   11.5   0.0   179   230   655   706   639   719 0.81 | transcript=PVW1_050033200_t1 | gene=PVW1_050033200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1189238-1194412(+) | protein_length=1724 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479953.1         -           1724 6375at5820           -            375   5.6e-14   50.4   3.1   4   5    0.0002      0.12    9.8   0.3   119   165   774   820   760   838 0.79 | transcript=PVW1_050033200_t1 | gene=PVW1_050033200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1189238-1194412(+) | protein_length=1724 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479953.1         -           1724 6375at5820           -            375   5.6e-14   50.4   3.1   5   5      0.27   1.6e+02   -0.5   0.0   138   156  1700  1718  1683  1722 0.79 | transcript=PVW1_050033200_t1 | gene=PVW1_050033200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1189238-1194412(+) | protein_length=1724 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472271.1         -           2755 6375at5820           -            375   3.1e-13   47.9  24.8   1   4       1.5   9.2e+02   -3.0   1.1   297   362    65   133    23   138 0.72 | transcript=PVW1_140044900_t1 | gene=PVW1_140044900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1701072-1709963(+) | protein_length=2755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472271.1         -           2755 6375at5820           -            375   3.1e-13   47.9  24.8   2   4      0.13        77    0.6   0.1   215   231  2077  2093  2072  2106 0.84 | transcript=PVW1_140044900_t1 | gene=PVW1_140044900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1701072-1709963(+) | protein_length=2755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472271.1         -           2755 6375at5820           -            375   3.1e-13   47.9  24.8   3   4   5.7e-15   3.5e-12   44.5   4.2   102   220  2269  2395  2245  2402 0.78 | transcript=PVW1_140044900_t1 | gene=PVW1_140044900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1701072-1709963(+) | protein_length=2755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472271.1         -           2755 6375at5820           -            375   3.1e-13   47.9  24.8   4   4   2.5e-06    0.0015   16.0   1.6   181   292  2396  2517  2394  2533 0.73 | transcript=PVW1_140044900_t1 | gene=PVW1_140044900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1701072-1709963(+) | protein_length=2755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477230.1         -            985 6375at5820           -            375     6e-12   43.7   3.3   1   2   2.1e-11   1.3e-08   32.7   0.6   192   281   239   329   195   380 0.68 | transcript=PVW1_090048700_t1 | gene=PVW1_090048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1955338-1958486(-) | protein_length=985 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477230.1         -            985 6375at5820           -            375     6e-12   43.7   3.3   2   2   0.00011     0.065   10.7   0.1   182   235   434   487   421   532 0.69 | transcript=PVW1_090048700_t1 | gene=PVW1_090048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1955338-1958486(-) | protein_length=985 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480564.1         -           2566 6375at5820           -            375   1.8e-11   42.2  11.7   1   3   7.9e-09   4.8e-06   24.3   0.8   125   228    66   163    55   170 0.81 | transcript=PVW1_070024800_t1 | gene=PVW1_070024800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:890585-898285(-) | protein_length=2566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480564.1         -           2566 6375at5820           -            375   1.8e-11   42.2  11.7   2   3   7.7e-08   4.7e-05   21.0   2.1   126   232   207   315   195   416 0.69 | transcript=PVW1_070024800_t1 | gene=PVW1_070024800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:890585-898285(-) | protein_length=2566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480564.1         -           2566 6375at5820           -            375   1.8e-11   42.2  11.7   3   3       1.5   8.9e+02   -2.9   0.0   111   190  1775  1857  1771  1865 0.73 | transcript=PVW1_070024800_t1 | gene=PVW1_070024800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:890585-898285(-) | protein_length=2566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6375at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6375at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6375at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:13 2026
# [ok]
