#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479343.1         -            611 4261at5820           -            540         0 1038.5  61.0   1   1         0         0 1022.6  61.0     2   535     4   594     3   607 0.93 | transcript=PVW1_080042500_t1 | gene=PVW1_080042500 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC65] | location=CAJZCX010000009:1603314-1606083(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478831.1         -            188 4261at5820           -            540   1.9e-09   35.4   0.9   2   2   4.1e-05     0.015   12.7   0.5    66   103    92   129    87   148 0.71 | transcript=PVW1_080015900_t1 | gene=PVW1_080015900 | organism=Plasmodium_vivax_PvW1 | gene_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | transcript_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | location=CAJZCX010000009:520383-522129(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476832.1         -            289 4261at5820           -            540   2.7e-07   28.3  26.7   1   1   7.6e-10   2.7e-07   28.3  26.7   355   515    85   264    57   272 0.70 | transcript=PVW1_090026200_t1 | gene=PVW1_090026200 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCR4] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCR4] | location=CAJZCX010000007:945236-946855(+) | protein_length=289 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474781.1         -            437 4261at5820           -            540   3.7e-06   24.6  32.9   1   1   3.1e-08   1.1e-05   23.0  32.7   287   490   146   366   132   406 0.58 | transcript=PVW1_100029300_t1 | gene=PVW1_100029300 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYC2] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYC2] | location=CAJZCX010000005:1157884-1160715(-) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481387.1         -           1875 4261at5820           -            540   1.8e-05   22.4   1.9   1   1     8e-08   2.8e-05   21.7   1.9    38   196  1045  1207  1029  1241 0.78 | transcript=PVW1_060013400_t1 | gene=PVW1_060013400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:366202-371829(-) | protein_length=1875 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481612.1         -            281 4261at5820           -            540   5.3e-05   20.8   8.7   1   2       4.6   1.7e+03   -4.0   1.2   187   196    35    44    19    77 0.50 | transcript=PVW1_060019400_t1 | gene=PVW1_060019400 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9V3] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9V3] | location=CAJZCX010000012:623911-626396(+) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481612.1         -            281 4261at5820           -            540   5.3e-05   20.8   8.7   2   2   1.5e-07   5.3e-05   20.8   8.7   378   479   113   226   100   237 0.67 | transcript=PVW1_060019400_t1 | gene=PVW1_060019400 | organism=Plasmodium_vivax_PvW1 | gene_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9V3] | transcript_product=Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9V3] | location=CAJZCX010000012:623911-626396(+) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479697.1         -            185 4261at5820           -            540     6e-05   20.6   4.8   1   2    0.0091       3.3    5.0   0.2   161   212    20    70     7    70 0.80 | transcript=PVW1_050014100_t1 | gene=PVW1_050014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:439620-441063(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479697.1         -            185 4261at5820           -            540     6e-05   20.6   4.8   2   2   6.5e-07   0.00023   18.6   4.4   127   217    56   143    33   165 0.79 | transcript=PVW1_050014100_t1 | gene=PVW1_050014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:439620-441063(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472104.1         -           1010 4261at5820           -            540   8.7e-05   20.1  32.6   1   2   2.4e-07   8.7e-05   20.1  32.6   367   492   127   270    40   290 0.70 | transcript=PVW1_140029700_t1 | gene=PVW1_140029700 | organism=Plasmodium_vivax_PvW1 | gene_product=DHHC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKB7] | transcript_product=DHHC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKB7] | location=CAJZCX010000003:1093592-1097405(+) | protein_length=1010 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472104.1         -           1010 4261at5820           -            540   8.7e-05   20.1  32.6   2   2       3.8   1.4e+03   -3.7   1.0   369   369   915   915   869  1001 0.52 | transcript=PVW1_140029700_t1 | gene=PVW1_140029700 | organism=Plasmodium_vivax_PvW1 | gene_product=DHHC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKB7] | transcript_product=DHHC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKB7] | location=CAJZCX010000003:1093592-1097405(+) | protein_length=1010 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481770.1         -            482 4261at5820           -            540   0.00027   18.4   0.1   1   1   1.8e-06   0.00064   17.2   0.1   151   243    89   180    39   188 0.79 | transcript=PVW1_060025300_t1 | gene=PVW1_060025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:835079-836920(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476780.1         -            366 4261at5820           -            540    0.0037   14.7   0.1   1   1   1.6e-05    0.0057   14.1   0.1    29   209   270   340   256   351 0.57 | transcript=PVW1_090024200_t1 | gene=PVW1_090024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP2] | transcript_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP2] | location=CAJZCX010000007:866739-867839(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4261at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4261at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4261at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:56 2026
# [ok]
