#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475865.1         -            284 11010at5820          -            232  8.6e-139  459.2  26.0   1   1  1.4e-140  1.5e-138  458.4  26.0     1   232    18   279    18   279 0.96 | transcript=PVW1_130031900_t1 | gene=PVW1_130031900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | location=CAJZCX010000006:1185176-1187295(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476861.1         -            561 11010at5820          -            232     2e-21   75.1   5.6   1   2   1.9e-23     2e-21   75.1   5.6     2   157    32   187    31   198 0.81 | transcript=PVW1_090027100_t1 | gene=PVW1_090027100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | location=CAJZCX010000007:990790-992475(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476861.1         -            561 11010at5820          -            232     2e-21   75.1   5.6   2   2      0.26        29    2.6   0.0   170   224   371   429   330   435 0.77 | transcript=PVW1_090027100_t1 | gene=PVW1_090027100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | location=CAJZCX010000007:990790-992475(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 11010at5820          -            232   3.6e-21   74.3  14.8   1   2   4.6e-23   5.1e-21   73.8  12.8    32   145   292   406   279   426 0.86 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 11010at5820          -            232   3.6e-21   74.3  14.8   2   2       2.3   2.5e+02   -0.5   0.0   179   231   582   635   537   636 0.55 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480821.1         -            341 11010at5820          -            232   2.8e-18   64.8   0.6   1   1     4e-20   4.4e-18   64.2   0.6     2   166    30   201    28   278 0.77 | transcript=PVW1_070040400_t1 | gene=PVW1_070040400 | organism=Plasmodium_vivax_PvW1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | location=CAJZCX010000011:1462955-1464722(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473995.1         -           2433 11010at5820          -            232   4.4e-18   64.2   4.9   1   2   5.3e-20   5.9e-18   63.8   2.1    10   144   124   258   116   275 0.86 | transcript=PVW1_120080600_t1 | gene=PVW1_120080600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3191638-3199719(-) | protein_length=2433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473995.1         -           2433 11010at5820          -            232   4.4e-18   64.2   4.9   2   2       1.8     2e+02   -0.2   0.1   170   224   326   390   317   401 0.60 | transcript=PVW1_120080600_t1 | gene=PVW1_120080600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3191638-3199719(-) | protein_length=2433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471965.1         -            368 11010at5820          -            232   6.5e-18   63.6   9.4   1   1     1e-19   1.1e-17   62.8   9.3     3   174   106   286   104   310 0.79 | transcript=PVW1_140022300_t1 | gene=PVW1_140022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | location=CAJZCX010000003:767187-768293(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473855.1         -            377 11010at5820          -            232   7.2e-18   63.5  20.3   1   1   6.5e-20   7.2e-18   63.5  20.3     4   195    41   259    38   309 0.69 | transcript=PVW1_120071800_t1 | gene=PVW1_120071800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | location=CAJZCX010000004:2806800-2809451(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479945.1         -            612 11010at5820          -            232   2.7e-17   61.6   7.2   1   2   6.2e-19   6.8e-17   60.3   4.5     8   169   271   429   264   450 0.82 | transcript=PVW1_050032400_t1 | gene=PVW1_050032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1143440-1145278(-) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479945.1         -            612 11010at5820          -            232   2.7e-17   61.6   7.2   2   2      0.63        69    1.4   0.0   199   228   531   562   502   569 0.77 | transcript=PVW1_050032400_t1 | gene=PVW1_050032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1143440-1145278(-) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479224.1         -            488 11010at5820          -            232   1.1e-16   59.6   4.0   1   1   2.5e-18   2.8e-16   58.3   4.0     4   157   112   266   109   283 0.73 | transcript=PVW1_080033400_t1 | gene=PVW1_080033400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | location=CAJZCX010000009:1260295-1262736(+) | protein_length=488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484650.1         -           1251 11010at5820          -            232   1.3e-16   59.4  13.6   1   4       4.4   4.9e+02   -1.4   0.5    30    47    10    27     3    36 0.76 | transcript=PVW1_010008800_t1 | gene=PVW1_010008800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:215451-219206(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484650.1         -           1251 11010at5820          -            232   1.3e-16   59.4  13.6   2   4       6.1   6.8e+02   -1.9   0.1    30    74   283   325   276   330 0.70 | transcript=PVW1_010008800_t1 | gene=PVW1_010008800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:215451-219206(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484650.1         -           1251 11010at5820          -            232   1.3e-16   59.4  13.6   3   4   1.2e-18   1.3e-16   59.4  13.6     2   154   730   879   729   887 0.89 | transcript=PVW1_010008800_t1 | gene=PVW1_010008800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:215451-219206(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484650.1         -           1251 11010at5820          -            232   1.3e-16   59.4  13.6   4   4       9.8   1.1e+03   -2.5   0.2   170   194  1119  1145  1111  1173 0.74 | transcript=PVW1_010008800_t1 | gene=PVW1_010008800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:215451-219206(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482468.1         -           1639 11010at5820          -            232   1.3e-16   59.4   7.8   1   1   1.2e-18   1.3e-16   59.4   7.8     5   148  1130  1272  1126  1280 0.84 | transcript=PVW1_040016500_t1 | gene=PVW1_040016500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:512437-517356(-) | protein_length=1639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483450.1         -            310 11010at5820          -            232   1.8e-16   58.9   7.4   1   1   3.8e-18   4.2e-16   57.7   7.4    11   168    10   178     1   205 0.75 | transcript=PVW1_030022100_t1 | gene=PVW1_030022100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | location=CAJZCX010000014:775312-777159(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474809.1         -            288 11010at5820          -            232   5.7e-16   57.3   5.0   1   1   9.2e-18     1e-15   56.4   5.0     5   157    12   163     8   263 0.71 | transcript=PVW1_100032000_t1 | gene=PVW1_100032000 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | location=CAJZCX010000005:1262528-1264777(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477699.1         -           4000 11010at5820          -            232   6.8e-16   57.0   2.8   1   1   1.8e-17     2e-15   55.5   2.8    11   227  1193  1431  1184  1439 0.73 | transcript=PVW1_110020600_t1 | gene=PVW1_110020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:667058-679060(-) | protein_length=4000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472118.1         -            517 11010at5820          -            232   9.1e-16   56.6   6.7   1   2   2.5e-12   2.7e-10   38.7   3.8    30   138   237   343   226   351 0.84 | transcript=PVW1_140030700_t1 | gene=PVW1_140030700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | location=CAJZCX010000003:1120450-1122565(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472118.1         -            517 11010at5820          -            232   9.1e-16   56.6   6.7   2   2   5.8e-06   0.00065   17.8   0.0   168   232   442   510   424   510 0.87 | transcript=PVW1_140030700_t1 | gene=PVW1_140030700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | location=CAJZCX010000003:1120450-1122565(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477142.1         -            323 11010at5820          -            232   5.1e-15   54.2   1.7   1   2   5.6e-05    0.0062   14.6   0.1     3    45     7    49     5    60 0.88 | transcript=PVW1_090041900_t1 | gene=PVW1_090041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | transcript_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | location=CAJZCX010000007:1614176-1616597(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477142.1         -            323 11010at5820          -            232   5.1e-15   54.2   1.7   2   2   3.3e-12   3.6e-10   38.3   0.1   110   159   108   158    79   171 0.84 | transcript=PVW1_090041900_t1 | gene=PVW1_090041900 | organism=Plasmodium_vivax_PvW1 | gene_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | transcript_product=Casein kinase I [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD54] | location=CAJZCX010000007:1614176-1616597(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478192.1         -            354 11010at5820          -            232   2.5e-14   51.9   2.7   1   2   8.2e-15     9e-13   46.8   1.3     5   157    32   180    29   190 0.91 | transcript=PVW1_110049500_t1 | gene=PVW1_110049500 | organism=Plasmodium_vivax_PvW1 | gene_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | transcript_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | location=CAJZCX010000008:1882409-1883946(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478192.1         -            354 11010at5820          -            232   2.5e-14   51.9   2.7   2   2     0.083       9.2    4.2   0.0   198   232   270   307   260   307 0.80 | transcript=PVW1_110049500_t1 | gene=PVW1_110049500 | organism=Plasmodium_vivax_PvW1 | gene_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | transcript_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | location=CAJZCX010000008:1882409-1883946(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476699.1         -            575 11010at5820          -            232   1.2e-13   49.7   4.4   1   2   7.8e-13   8.6e-11   40.3   3.4     4   158   171   324   168   334 0.81 | transcript=PVW1_090019200_t1 | gene=PVW1_090019200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | transcript_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | location=CAJZCX010000007:678903-680630(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476699.1         -            575 11010at5820          -            232   1.2e-13   49.7   4.4   2   2    0.0058      0.64    8.0   0.0   196   231   474   511   469   512 0.82 | transcript=PVW1_090019200_t1 | gene=PVW1_090019200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | transcript_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | location=CAJZCX010000007:678903-680630(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485130.1         -            721 11010at5820          -            232   4.1e-12   44.6   1.9   1   2   3.7e-14   4.1e-12   44.6   1.9    14   157   467   604   454   613 0.78 | transcript=PVW1_010023200_t1 | gene=PVW1_010023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR37] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR37] | location=CAJZCX010000016:835802-838807(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485130.1         -            721 11010at5820          -            232   4.1e-12   44.6   1.9   2   2       5.1   5.6e+02   -1.6   0.1   118   134   646   662   607   676 0.53 | transcript=PVW1_010023200_t1 | gene=PVW1_010023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR37] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR37] | location=CAJZCX010000016:835802-838807(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482791.1         -           2121 11010at5820          -            232     9e-12   43.5   3.3   1   1   2.2e-13   2.4e-11   42.1   3.3    31   168  1722  1870  1714  1909 0.75 | transcript=PVW1_040028500_t1 | gene=PVW1_040028500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:973804-980169(+) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473309.1         -            305 11010at5820          -            232   1.7e-11   42.6   7.2   1   1   2.9e-13   3.2e-11   41.7   7.2     3   166     7   177     5   191 0.82 | transcript=PVW1_120032100_t1 | gene=PVW1_120032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | location=CAJZCX010000004:1203388-1205498(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475310.1         -            296 11010at5820          -            232     3e-11   41.8   9.8   1   1   5.4e-12   5.9e-10   37.6   9.8    54   156    71   175    24   274 0.83 | transcript=PVW1_130007500_t1 | gene=PVW1_130007500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A046] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A046] | location=CAJZCX010000006:122002-122892(-) | protein_length=296 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
