#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472083.1         -            783 3852at5820           -            646         0 1194.8  84.0   1   3  4.5e-176  6.8e-173  574.9  48.3     1   322    11   365    11   374 0.94 | transcript=PVW1_140028700_t1 | gene=PVW1_140028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | location=CAJZCX010000003:1041374-1045153(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473586.1         -            803 3852at5820           -            646   1.5e-31  107.9  19.4   1   3         4   6.1e+03  -18.8  24.9    29   254    34   268    24   339 0.64 | transcript=PVW1_120051000_t1 | gene=PVW1_120051000 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | location=CAJZCX010000004:1911128-1914430(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473586.1         -            803 3852at5820           -            646   1.5e-31  107.9  19.4   2   3   9.7e-35   1.5e-31  107.9  19.4   287   568   339   643   322   652 0.74 | transcript=PVW1_120051000_t1 | gene=PVW1_120051000 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | location=CAJZCX010000004:1911128-1914430(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473586.1         -            803 3852at5820           -            646   1.5e-31  107.9  19.4   3   3   1.3e-05      0.02   11.7   3.2   575   635   691   753   669   762 0.78 | transcript=PVW1_120051000_t1 | gene=PVW1_120051000 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | location=CAJZCX010000004:1911128-1914430(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3852at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3852at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3852at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:03 2026
# [ok]
