#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479710.1         -            691 4567at5820           -            584         0 1081.5  67.6   1   1         0         0 1081.1  67.6     5   584    86   691    37   691 0.97 | transcript=PVW1_050015400_t1 | gene=PVW1_050015400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N1] | location=CAJZCX010000010:488999-491074(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484311.1         -            420 4567at5820           -            584   1.3e-06   25.8   1.1   1   2       1.1   4.1e+02   -2.3   0.1   196   216     8    28     4    35 0.78 | transcript=PVW1_020024600_t1 | gene=PVW1_020024600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | location=CAJZCX010000015:884998-887023(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484311.1         -            420 4567at5820           -            584   1.3e-06   25.8   1.1   2   2   4.7e-09   1.8e-06   25.3   0.2    44   123    64   150    58   159 0.82 | transcript=PVW1_020024600_t1 | gene=PVW1_020024600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | location=CAJZCX010000015:884998-887023(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477700.1         -            201 4567at5820           -            584   7.5e-05   19.9   5.3   1   1     3e-07   0.00011   19.3   5.3    61   137     2    80     1   100 0.80 | transcript=PVW1_110020700_t1 | gene=PVW1_110020700 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM3] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM3] | location=CAJZCX010000008:682406-684038(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 4567at5820           -            584   0.00029   18.0   7.8   1   3   3.7e-06    0.0014   15.7   0.0    57    92     4    39     1    55 0.90 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 4567at5820           -            584   0.00029   18.0   7.8   2   3    0.0019      0.74    6.8   0.1    97   124   113   140   100   144 0.91 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 4567at5820           -            584   0.00029   18.0   7.8   3   3       3.2   1.2e+03   -3.9   2.5   249   249   235   235   170   302 0.60 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4567at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4567at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4567at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:13 2026
# [ok]
