#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474874.1         -            701 5024at5820           -            513  1.5e-268  890.1  63.4   1   2    6e-116  6.1e-113  376.7  31.5     9   257    68   315    54   334 0.77 | transcript=PVW1_100037900_t1 | gene=PVW1_100037900 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE36] | location=CAJZCX010000005:1524117-1527029(-) | protein_length=701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472182.1         -            559 5024at5820           -            513   7.8e-05   20.0  25.9   2   4   7.7e-08   7.8e-05   20.0  25.9   199   362   263   436   145   486 0.75 | transcript=PVW1_140036200_t1 | gene=PVW1_140036200 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | location=CAJZCX010000003:1355733-1359106(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472182.1         -            559 5024at5820           -            513   7.8e-05   20.0  25.9   3   4    0.0063       6.4    3.8   0.1   454   485   483   514   468   528 0.76 | transcript=PVW1_140036200_t1 | gene=PVW1_140036200 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | location=CAJZCX010000003:1355733-1359106(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472182.1         -            559 5024at5820           -            513   7.8e-05   20.0  25.9   4   4     0.033        33    1.4   0.2   178   232   503   558   495   559 0.62 | transcript=PVW1_140036200_t1 | gene=PVW1_140036200 | organism=Plasmodium_vivax_PvW1 | gene_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | transcript_product=PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H505] | location=CAJZCX010000003:1355733-1359106(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5024at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5024at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5024at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:04 2026
# [ok]
