#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473546.1         -            620 5842at5820           -            485  2.3e-267  885.7  30.5   1   2   8.6e-10     1e-06   26.0   2.8     1    28     1    28     1    38 0.94 | transcript=PVW1_120048400_t1 | gene=PVW1_120048400 | organism=Plasmodium_vivax_PvW1 | gene_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1G9] | transcript_product=Rab-GAP TBC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1G9] | location=CAJZCX010000004:1820758-1822945(+) | protein_length=620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480347.1         -           1235 5842at5820           -            485   2.5e-08   31.4   9.9   3   4      0.93   1.1e+03   -3.7   3.2   371   395   699   723   661   747 0.51 | transcript=PVW1_070012200_t1 | gene=PVW1_070012200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:407361-411068(+) | protein_length=1235 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480347.1         -           1235 5842at5820           -            485   2.5e-08   31.4   9.9   4   4       4.4   5.3e+03   -6.0   2.1   379   395  1111  1127  1108  1179 0.60 | transcript=PVW1_070012200_t1 | gene=PVW1_070012200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:407361-411068(+) | protein_length=1235 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473457.1         -            547 5842at5820           -            485   3.1e-05   21.2   1.4   1   2   2.5e-08   3.1e-05   21.2   1.4   110   171   318   382   311   414 0.76 | transcript=PVW1_120042800_t1 | gene=PVW1_120042800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1594215-1595858(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473457.1         -            547 5842at5820           -            485   3.1e-05   21.2   1.4   2   2       0.1   1.2e+02   -0.6   5.8   228   296   400   468   383   479 0.87 | transcript=PVW1_120042800_t1 | gene=PVW1_120042800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1594215-1595858(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5842at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5842at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5842at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:42 2026
# [ok]
