#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472118.1         -            517 7216at5820           -            365  1.8e-204  677.0  25.3   1   2   4.6e-34   5.1e-32  109.7   4.9     1    88     1   103     1   111 0.86 | transcript=PVW1_140030700_t1 | gene=PVW1_140030700 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK06] | location=CAJZCX010000003:1120450-1122565(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483417.1         -            529 7216at5820           -            365   2.6e-27   94.2   9.3   1   2   3.4e-13   3.9e-11   41.0   5.5    94   200    96   203    69   210 0.89 | transcript=PVW1_030020500_t1 | gene=PVW1_030020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | transcript_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | location=CAJZCX010000014:680985-682739(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483417.1         -            529 7216at5820           -            365   2.6e-27   94.2   9.3   2   2   1.6e-17   1.8e-15   55.3   0.1   241   359   208   330   203   334 0.85 | transcript=PVW1_030020500_t1 | gene=PVW1_030020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | transcript_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | location=CAJZCX010000014:680985-682739(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479267.1         -           1607 7216at5820           -            365     5e-27   93.3   9.0   1   2   5.4e-16     6e-14   50.2   5.6    89   204  1359  1476  1342  1484 0.89 | transcript=PVW1_080036700_t1 | gene=PVW1_080036700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1393748-1399176(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479267.1         -           1607 7216at5820           -            365     5e-27   93.3   9.0   2   2   1.6e-14   1.8e-12   45.3   0.1   235   361  1477  1606  1473  1607 0.81 | transcript=PVW1_080036700_t1 | gene=PVW1_080036700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1393748-1399176(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472466.1         -            508 7216at5820           -            365   5.7e-27   93.1  17.5   1   4       2.3   2.6e+02   -1.2   0.0   146   173    88   115    67   131 0.76 | transcript=PVW1_140063500_t1 | gene=PVW1_140063500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | location=CAJZCX010000003:2535147-2536673(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472466.1         -            508 7216at5820           -            365   5.7e-27   93.1  17.5   2   4   2.8e-15   3.2e-13   47.9   4.8   101   206   139   245   108   249 0.85 | transcript=PVW1_140063500_t1 | gene=PVW1_140063500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | location=CAJZCX010000003:2535147-2536673(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472466.1         -            508 7216at5820           -            365   5.7e-27   93.1  17.5   3   4   6.9e-17   7.8e-15   53.2   0.2   245   358   247   364   244   370 0.83 | transcript=PVW1_140063500_t1 | gene=PVW1_140063500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | location=CAJZCX010000003:2535147-2536673(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472466.1         -            508 7216at5820           -            365   5.7e-27   93.1  17.5   4   4       1.2   1.3e+02   -0.3   0.3    93   129   369   404   365   413 0.82 | transcript=PVW1_140063500_t1 | gene=PVW1_140063500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | location=CAJZCX010000003:2535147-2536673(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 7216at5820           -            365   4.1e-23   80.4  14.1   1   2   1.3e-11   1.4e-09   35.8   7.6    84   201   283   401   255   417 0.73 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 7216at5820           -            365   4.1e-23   80.4  14.1   2   2   2.2e-15   2.5e-13   48.2   0.4   268   361   533   639   528   642 0.77 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473995.1         -           2433 7216at5820           -            365   1.5e-22   78.6   1.7   1   1   1.1e-22   1.2e-20   72.3   1.7   103   359   154   402   106   405 0.79 | transcript=PVW1_120080600_t1 | gene=PVW1_120080600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3191638-3199719(-) | protein_length=2433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472541.1         -            755 7216at5820           -            365   1.6e-22   78.4   3.5   1   2   1.2e-09   1.4e-07   29.3   4.4    95   201   455   562   439   565 0.89 | transcript=PVW1_140070500_t1 | gene=PVW1_140070500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2813335-2815735(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472541.1         -            755 7216at5820           -            365   1.6e-22   78.4   3.5   2   2   1.1e-14   1.3e-12   45.9   0.0   245   360   566   688   562   691 0.82 | transcript=PVW1_140070500_t1 | gene=PVW1_140070500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2813335-2815735(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478192.1         -            354 7216at5820           -            365   9.7e-20   69.3   2.3   1   2   9.1e-14     1e-11   42.9   0.6    93   201    56   165    45   169 0.89 | transcript=PVW1_110049500_t1 | gene=PVW1_110049500 | organism=Plasmodium_vivax_PvW1 | gene_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | transcript_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | location=CAJZCX010000008:1882409-1883946(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478192.1         -            354 7216at5820           -            365   9.7e-20   69.3   2.3   2   2   2.1e-08   2.4e-06   25.2   0.1   245   358   169   307   164   311 0.72 | transcript=PVW1_110049500_t1 | gene=PVW1_110049500 | organism=Plasmodium_vivax_PvW1 | gene_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | transcript_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | location=CAJZCX010000008:1882409-1883946(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472354.1         -            982 7216at5820           -            365   4.3e-18   63.9   1.1   1   2   2.7e-09   3.1e-07   28.2   0.6   107   199    52   158    42   163 0.81 | transcript=PVW1_140052800_t1 | gene=PVW1_140052800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2070140-2073307(+) | protein_length=982 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472354.1         -            982 7216at5820           -            365   4.3e-18   63.9   1.1   2   2   4.1e-11   4.6e-09   34.2   0.0   231   322   167   258   159   301 0.72 | transcript=PVW1_140052800_t1 | gene=PVW1_140052800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2070140-2073307(+) | protein_length=982 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473855.1         -            377 7216at5820           -            365   2.7e-17   61.3  14.9   1   2   8.2e-06   0.00092   16.7  10.2   106   203    77   181    32   187 0.79 | transcript=PVW1_120071800_t1 | gene=PVW1_120071800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | location=CAJZCX010000004:2806800-2809451(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473855.1         -            377 7216at5820           -            365   2.7e-17   61.3  14.9   2   2   4.8e-15   5.4e-13   47.1   0.1   243   360   185   311   178   316 0.79 | transcript=PVW1_120071800_t1 | gene=PVW1_120071800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | location=CAJZCX010000004:2806800-2809451(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473119.1         -            423 7216at5820           -            365     3e-16   57.8  23.4   1   3   1.7e-09     2e-07   28.8  11.6    94   212    49   166     4   178 0.78 | transcript=PVW1_120016900_t1 | gene=PVW1_120016900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | location=CAJZCX010000004:560451-563752(+) | protein_length=423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473119.1         -            423 7216at5820           -            365     3e-16   57.8  23.4   2   3   4.2e-12   4.7e-10   37.4   0.2   289   360   185   256   172   261 0.92 | transcript=PVW1_120016900_t1 | gene=PVW1_120016900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | location=CAJZCX010000004:560451-563752(+) | protein_length=423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473119.1         -            423 7216at5820           -            365     3e-16   57.8  23.4   3   3       5.7   6.4e+02   -2.5   0.1    49    82   357   392   339   411 0.63 | transcript=PVW1_120016900_t1 | gene=PVW1_120016900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | location=CAJZCX010000004:560451-563752(+) | protein_length=423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 7216at5820           -            365     3e-16   57.8   8.7   1   3   2.2e-11   2.4e-09   35.1   4.9   102   199    52   151    21   156 0.79 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 7216at5820           -            365     3e-16   57.8   8.7   2   3   0.00036     0.041   11.3   0.0   245   305   157   222   152   238 0.68 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 7216at5820           -            365     3e-16   57.8   8.7   3   3    0.0003     0.033   11.6   0.1   324   361   275   312   260   316 0.87 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477699.1         -           4000 7216at5820           -            365   1.4e-15   55.6   7.5   1   2   2.7e-11     3e-09   34.8   5.4   100   206  1218  1327  1201  1330 0.85 | transcript=PVW1_110020600_t1 | gene=PVW1_110020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:667058-679060(-) | protein_length=4000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477699.1         -           4000 7216at5820           -            365   1.4e-15   55.6   7.5   2   2   2.5e-07   2.8e-05   21.7   0.0   246   361  1327  1442  1325  1446 0.87 | transcript=PVW1_110020600_t1 | gene=PVW1_110020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:667058-679060(-) | protein_length=4000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476883.1         -           1607 7216at5820           -            365     3e-15   54.5  14.0   1   2   1.8e-10   2.1e-08   32.0  11.3    93   199  1192  1295  1178  1301 0.85 | transcript=PVW1_090028000_t1 | gene=PVW1_090028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1030038-1035762(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476883.1         -           1607 7216at5820           -            365     3e-15   54.5  14.0   2   2   1.5e-07   1.7e-05   22.5   0.0   244   361  1302  1423  1296  1425 0.81 | transcript=PVW1_090028000_t1 | gene=PVW1_090028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1030038-1035762(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483450.1         -            310 7216at5820           -            365   3.8e-15   54.2   9.3   1   2   3.1e-11   3.5e-09   34.6   6.2    89   199    23   137     3   142 0.79 | transcript=PVW1_030022100_t1 | gene=PVW1_030022100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | location=CAJZCX010000014:775312-777159(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483450.1         -            310 7216at5820           -            365   3.8e-15   54.2   9.3   2   2   4.3e-07   4.9e-05   20.9   0.0   244   349   142   251   138   262 0.78 | transcript=PVW1_030022100_t1 | gene=PVW1_030022100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | location=CAJZCX010000014:775312-777159(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
