#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473396.1         -            522 6047at5820           -            441  7.3e-218  722.0   1.6   1   1  9.4e-220  5.7e-217  719.1   1.6     1   439     1   516     1   518 0.96 | transcript=PVW1_120038000_t1 | gene=PVW1_120038000 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP8] | location=CAJZCX010000004:1381863-1383431(+) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478192.1         -            354 6047at5820           -            441    0.0038   14.4   0.1   1   1   8.9e-06    0.0054   13.9   0.1   266   437   125   301    90   304 0.66 | transcript=PVW1_110049500_t1 | gene=PVW1_110049500 | organism=Plasmodium_vivax_PvW1 | gene_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | transcript_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | location=CAJZCX010000008:1882409-1883946(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474809.1         -            288 6047at5820           -            441    0.0042   14.2   1.6   1   2   1.6e-05    0.0095   13.1   1.3   221   312    63   149    25   162 0.75 | transcript=PVW1_100032000_t1 | gene=PVW1_100032000 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | location=CAJZCX010000005:1262528-1264777(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474809.1         -            288 6047at5820           -            441    0.0042   14.2   1.6   2   2      0.46   2.8e+02   -1.7   0.0   371   433   193   259   186   265 0.49 | transcript=PVW1_100032000_t1 | gene=PVW1_100032000 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | location=CAJZCX010000005:1262528-1264777(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484024.1         -           3309 6047at5820           -            441     0.013   12.7   2.6   1   2   4.3e-05     0.026   11.6   0.7   268   314  3100  3142  3083  3150 0.78 | transcript=PVW1_020015000_t1 | gene=PVW1_020015000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:447185-458437(-) | protein_length=3309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484024.1         -           3309 6047at5820           -            441     0.013   12.7   2.6   2   2      0.16        96   -0.1   0.0   365   440  3222  3297  3217  3298 0.75 | transcript=PVW1_020015000_t1 | gene=PVW1_020015000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:447185-458437(-) | protein_length=3309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6047at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6047at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6047at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:49 2026
# [ok]
