#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473678.1         -           1071 1552at5820           -            902         0 1845.4  35.8   1   3  4.9e-303  4.2e-300  996.3  10.8     1   451    31   490    31   496 0.99 | transcript=PVW1_120059700_t1 | gene=PVW1_120059700 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH85] | location=CAJZCX010000004:2320675-2323890(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472322.1         -           1607 1552at5820           -            902   2.2e-14   50.9  18.0   3   6    0.0045       3.9    3.8   0.0   275   308   621   654   597   675 0.82 | transcript=PVW1_140049600_t1 | gene=PVW1_140049600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1942348-1947685(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472322.1         -           1607 1552at5820           -            902   2.2e-14   50.9  18.0   4   6     5e-06    0.0043   13.5   0.4   377   437   833   894   819   906 0.77 | transcript=PVW1_140049600_t1 | gene=PVW1_140049600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1942348-1947685(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472322.1         -           1607 1552at5820           -            902   2.2e-14   50.9  18.0   5   6      0.18   1.5e+02   -1.5   0.1   540   592   974  1026   965  1029 0.91 | transcript=PVW1_140049600_t1 | gene=PVW1_140049600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1942348-1947685(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472322.1         -           1607 1552at5820           -            902   2.2e-14   50.9  18.0   6   6     1e-09     9e-07   25.7   0.1   524   734  1146  1392  1136  1417 0.72 | transcript=PVW1_140049600_t1 | gene=PVW1_140049600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1942348-1947685(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479660.1         -           1316 1552at5820           -            902   5.2e-08   29.8   3.1   1   3   3.1e-07   0.00027   17.5   0.6    36   197   151   295   144   311 0.79 | transcript=PVW1_050011100_t1 | gene=PVW1_050011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:303846-307796(-) | protein_length=1316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479660.1         -           1316 1552at5820           -            902   5.2e-08   29.8   3.1   2   3     0.021        18    1.5   0.0   415   433   606   624   593   629 0.89 | transcript=PVW1_050011100_t1 | gene=PVW1_050011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:303846-307796(-) | protein_length=1316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479660.1         -           1316 1552at5820           -            902   5.2e-08   29.8   3.1   3   3   0.00055      0.48    6.8   0.0   541   561   922   942   915   955 0.86 | transcript=PVW1_050011100_t1 | gene=PVW1_050011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:303846-307796(-) | protein_length=1316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481798.1         -            886 1552at5820           -            902   1.9e-07   27.9  21.1   1   5      0.11        98   -0.9   0.2   814   872    77   138    67   166 0.68 | transcript=PVW1_060026500_t1 | gene=PVW1_060026500 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | location=CAJZCX010000012:875841-878501(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481798.1         -            886 1552at5820           -            902   1.9e-07   27.9  21.1   2   5   2.3e-06     0.002   14.6   1.8     5    93   188   278   184   340 0.77 | transcript=PVW1_060026500_t1 | gene=PVW1_060026500 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | location=CAJZCX010000012:875841-878501(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481798.1         -            886 1552at5820           -            902   1.9e-07   27.9  21.1   3   5     0.025        21    1.3   0.1   371   434   369   435   351   445 0.81 | transcript=PVW1_060026500_t1 | gene=PVW1_060026500 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | location=CAJZCX010000012:875841-878501(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481798.1         -            886 1552at5820           -            902   1.9e-07   27.9  21.1   4   5   1.6e-09   1.4e-06   25.1   0.1   469   561   440   529   435   550 0.82 | transcript=PVW1_060026500_t1 | gene=PVW1_060026500 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | location=CAJZCX010000012:875841-878501(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481798.1         -            886 1552at5820           -            902   1.9e-07   27.9  21.1   5   5       1.5   1.3e+03   -4.6   0.9   720   786   670   738   614   757 0.63 | transcript=PVW1_060026500_t1 | gene=PVW1_060026500 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | location=CAJZCX010000012:875841-878501(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471958.1         -            123 1552at5820           -            902     0.014   11.8   1.0   1   1   1.9e-05     0.016   11.6   1.0   617   707    15   103     6   115 0.83 | transcript=PVW1_140021600_t1 | gene=PVW1_140021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:747335-747877(-) | protein_length=123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1552at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1552at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1552at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:23 2026
# [ok]
