#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473120.1         -            209 12072at5820          -            169  3.5e-105  347.6   3.7   1   1  8.4e-108  4.2e-105  347.3   3.7     1   169    11   183    11   183 0.97 | transcript=PVW1_120017000_t1 | gene=PVW1_120017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:565209-566229(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473202.1         -            157 12072at5820          -            169   4.6e-09   34.8   0.3   1   1   1.3e-11   6.7e-09   34.3   0.3    35   107    69   142    59   155 0.86 | transcript=PVW1_120024300_t1 | gene=PVW1_120024300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0U1] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0U1] | location=CAJZCX010000004:866676-867768(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476969.1         -            424 12072at5820          -            169   7.8e-07   27.5   0.4   1   1   4.1e-09   2.1e-06   26.1   0.4    33   114    43   134    15   155 0.74 | transcript=PVW1_090032900_t1 | gene=PVW1_090032900 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ8] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ8] | location=CAJZCX010000007:1239892-1243395(+) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473744.1         -            104 12072at5820          -            169     4e-06   25.2   0.1   1   1     9e-09   4.6e-06   25.0   0.1    38   103    21    85    10   102 0.85 | transcript=PVW1_120064500_t1 | gene=PVW1_120064500 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Z2] | transcript_product=Thioredoxin [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Z2] | location=CAJZCX010000004:2496098-2496546(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480510.1         -            179 12072at5820          -            169   4.1e-06   25.2   0.1   1   1   1.1e-08   5.5e-06   24.8   0.1    24   100    75   149    60   173 0.85 | transcript=PVW1_070021100_t1 | gene=PVW1_070021100 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV70] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV70] | location=CAJZCX010000011:748427-749646(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480627.1         -            133 12072at5820          -            169   0.00022   19.6   0.0   1   1   5.2e-07   0.00026   19.3   0.0    38   103    44   108    19   125 0.80 | transcript=PVW1_070030400_t1 | gene=PVW1_070030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | location=CAJZCX010000011:1111647-1112752(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476547.1         -            430 12072at5820          -            169    0.0055   15.0  11.9   1   4      0.14        71    1.6   0.1    13    74    39    98    20   105 0.72 | transcript=PVW1_090010300_t1 | gene=PVW1_090010300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | location=CAJZCX010000007:322205-323628(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476547.1         -            430 12072at5820          -            169    0.0055   15.0  11.9   2   4      0.15        77    1.5   0.4    71   112   156   199   143   215 0.76 | transcript=PVW1_090010300_t1 | gene=PVW1_090010300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | location=CAJZCX010000007:322205-323628(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476547.1         -            430 12072at5820          -            169    0.0055   15.0  11.9   3   4   0.00062      0.31    9.3   0.8    62   107   198   243   183   260 0.73 | transcript=PVW1_090010300_t1 | gene=PVW1_090010300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | location=CAJZCX010000007:322205-323628(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476547.1         -            430 12072at5820          -            169    0.0055   15.0  11.9   4   4    0.0015      0.78    8.0   0.2    72   120   344   392   332   403 0.89 | transcript=PVW1_090010300_t1 | gene=PVW1_090010300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | location=CAJZCX010000007:322205-323628(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480558.1         -            518 12072at5820          -            169     0.012   13.9   0.6   1   2   8.5e-05     0.043   12.1   0.3    48    98    75   126    24   188 0.82 | transcript=PVW1_070024300_t1 | gene=PVW1_070024300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL0] | transcript_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL0] | location=CAJZCX010000011:876283-878205(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480558.1         -            518 12072at5820          -            169     0.012   13.9   0.6   2   2      0.87   4.4e+02   -1.0   0.0    42    78   423   465   407   484 0.68 | transcript=PVW1_070024300_t1 | gene=PVW1_070024300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL0] | transcript_product=Protein disulfide isomerase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL0] | location=CAJZCX010000011:876283-878205(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12072at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12072at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12072at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:35 2026
# [ok]
