#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474805.1         -            329 9479at5820           -            296    4e-158  523.9  18.2   1   1  1.1e-160  5.7e-158  523.4  18.2     1   296    12   329    12   329 0.95 | transcript=PVW1_100031600_t1 | gene=PVW1_100031600 | organism=Plasmodium_vivax_PvW1 | gene_product=ANAPC4_WD40 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDW4] | transcript_product=ANAPC4_WD40 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDW4] | location=CAJZCX010000005:1251258-1252247(+) | protein_length=329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 9479at5820           -            296   2.4e-06   25.7   4.5   2   3       1.1   5.7e+02   -1.8   0.1    48    98   365   419   352   462 0.55 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 9479at5820           -            296   2.4e-06   25.7   4.5   3   3   3.5e-05     0.018   13.0   0.1    21   118   466   565   450   575 0.78 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474907.1         -           1236 9479at5820           -            296   1.4e-05   23.2  10.6   1   3    0.0013      0.66    7.8   3.1    44   150   903  1011   884  1014 0.71 | transcript=PVW1_100039400_t1 | gene=PVW1_100039400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1599715-1603425(-) | protein_length=1236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474907.1         -           1236 9479at5820           -            296   1.4e-05   23.2  10.6   2   3     1e-06   0.00052   18.0   0.9    21   121  1010  1114  1002  1120 0.88 | transcript=PVW1_100039400_t1 | gene=PVW1_100039400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1599715-1603425(-) | protein_length=1236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474907.1         -           1236 9479at5820           -            296   1.4e-05   23.2  10.6   3   3      0.24   1.2e+02    0.4   0.0   219   289  1133  1206  1122  1212 0.74 | transcript=PVW1_100039400_t1 | gene=PVW1_100039400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1599715-1603425(-) | protein_length=1236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 9479at5820           -            296   3.5e-05   21.8   3.3   1   3    0.0056       2.8    5.7   0.1    11    80   260   330   254   344 0.82 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 9479at5820           -            296   3.5e-05   21.8   3.3   2   3   8.2e-06    0.0042   15.0   0.2    12    83   349   417   341   449 0.84 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479273.1         -            498 9479at5820           -            296   3.5e-05   21.8   3.3   3   3      0.48   2.4e+02   -0.6   0.0    33    75   452   494   434   497 0.79 | transcript=PVW1_080037300_t1 | gene=PVW1_080037300 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | transcript_product=Pre-mRNA-processing factor 19 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWR0] | location=CAJZCX010000009:1415215-1416711(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473182.1         -            363 9479at5820           -            296   5.7e-05   21.1   8.3   1   3   1.8e-05    0.0089   13.9   2.4     8   123    20   146    17   149 0.73 | transcript=PVW1_120022400_t1 | gene=PVW1_120022400 | organism=Plasmodium_vivax_PvW1 | gene_product=WD repeat-containing protein 92, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG73] | transcript_product=WD repeat-containing protein 92, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG73] | location=CAJZCX010000004:786242-788486(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473182.1         -            363 9479at5820           -            296   5.7e-05   21.1   8.3   2   3    0.0021       1.1    7.1   0.1   177   205   222   250   193   265 0.73 | transcript=PVW1_120022400_t1 | gene=PVW1_120022400 | organism=Plasmodium_vivax_PvW1 | gene_product=WD repeat-containing protein 92, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG73] | transcript_product=WD repeat-containing protein 92, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG73] | location=CAJZCX010000004:786242-788486(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473182.1         -            363 9479at5820           -            296   5.7e-05   21.1   8.3   3   3      0.14        69    1.2   0.0    19    42   278   301   261   313 0.77 | transcript=PVW1_120022400_t1 | gene=PVW1_120022400 | organism=Plasmodium_vivax_PvW1 | gene_product=WD repeat-containing protein 92, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG73] | transcript_product=WD repeat-containing protein 92, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG73] | location=CAJZCX010000004:786242-788486(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 9479at5820           -            296    0.0028   15.6   1.4   1   2         1   5.1e+02   -1.7   0.0    20    43   163   186   154   195 0.78 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 9479at5820           -            296    0.0028   15.6   1.4   2   2   1.3e-05    0.0067   14.4   0.6    96   154   332   391   262   430 0.73 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472377.1         -            763 9479at5820           -            296    0.0066   14.4   9.0   1   3      0.89   4.5e+02   -1.5   0.1    48    81     9    42     6    48 0.80 | transcript=PVW1_140055200_t1 | gene=PVW1_140055200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein transport protein SEC13, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5B4] | transcript_product=Protein transport protein SEC13, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5B4] | location=CAJZCX010000003:2181575-2183866(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472377.1         -            763 9479at5820           -            296    0.0066   14.4   9.0   2   3    0.0041       2.1    6.2   0.1    15    78    67   133    55   149 0.78 | transcript=PVW1_140055200_t1 | gene=PVW1_140055200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein transport protein SEC13, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5B4] | transcript_product=Protein transport protein SEC13, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5B4] | location=CAJZCX010000003:2181575-2183866(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472377.1         -            763 9479at5820           -            296    0.0066   14.4   9.0   3   3   7.7e-05     0.039   11.8   1.3    21   107   197   295   193   305 0.79 | transcript=PVW1_140055200_t1 | gene=PVW1_140055200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein transport protein SEC13, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5B4] | transcript_product=Protein transport protein SEC13, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5B4] | location=CAJZCX010000003:2181575-2183866(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481336.1         -            725 9479at5820           -            296    0.0081   14.1   0.1   1   2    0.0022       1.1    7.1   0.0     6    49   433   473   428   505 0.83 | transcript=PVW1_060011800_t1 | gene=PVW1_060011800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:287740-289917(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481336.1         -            725 9479at5820           -            296    0.0081   14.1   0.1   2   2     0.021        11    3.8   0.1     9    77   625   693   595   702 0.73 | transcript=PVW1_060011800_t1 | gene=PVW1_060011800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:287740-289917(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 9479at5820           -            296     0.024   12.5  23.5   1   6   0.00042      0.21    9.4   0.0     7    35    10    38     3    50 0.85 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 9479at5820           -            296     0.024   12.5  23.5   2   6     0.093        47    1.7   0.2    50   120    92   165    50   176 0.55 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 9479at5820           -            296     0.024   12.5  23.5   3   6   0.00014     0.072   11.0   0.9    46   135   242   335   234   340 0.71 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 9479at5820           -            296     0.024   12.5  23.5   4   6     0.015       7.8    4.3   0.4    12    98   340   428   335   439 0.81 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 9479at5820           -            296     0.024   12.5  23.5   5   6      0.69   3.5e+02   -1.1   0.2   145   170   596   621   589   670 0.72 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 9479at5820           -            296     0.024   12.5  23.5   6   6       3.3   1.7e+03   -3.4   0.4   229   280  1074  1126  1056  1137 0.71 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9479at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9479at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9479at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:17 2026
# [ok]
