#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9484932.1         -            686 4340at5820           -            495  1.1e-267  887.0  37.8   1   4   4.4e-97   4.4e-94  314.4   0.3     1   153     2   155     2   162 0.97 | transcript=PVW1_010016100_t1 | gene=PVW1_010016100 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6C1] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6C1] | location=CAJZCX010000016:520137-522197(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477100.1         -            962 4340at5820           -            495   6.5e-19   66.5  15.4   3   3   6.5e-07   0.00066   17.0   2.7   257   373   330   438   316   482 0.77 | transcript=PVW1_090040500_t1 | gene=PVW1_090040500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1554582-1557652(-) | protein_length=962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477701.1         -            479 4340at5820           -            495   1.1e-17   62.4  16.4   1   4   7.6e-05     0.077   10.1   0.1    71   120    48    97    44   107 0.74 | transcript=PVW1_110020800_t1 | gene=PVW1_110020800 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | location=CAJZCX010000008:686394-687833(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477701.1         -            479 4340at5820           -            495   1.1e-17   62.4  16.4   2   4   2.5e-08   2.6e-05   21.6   0.4   264   315   119   170    92   183 0.81 | transcript=PVW1_110020800_t1 | gene=PVW1_110020800 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | location=CAJZCX010000008:686394-687833(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477701.1         -            479 4340at5820           -            495   1.1e-17   62.4  16.4   3   4   2.6e-06    0.0026   15.0   1.8   275   348   207   272   179   285 0.74 | transcript=PVW1_110020800_t1 | gene=PVW1_110020800 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | location=CAJZCX010000008:686394-687833(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477701.1         -            479 4340at5820           -            495   1.1e-17   62.4  16.4   4   4   6.6e-09   6.6e-06   23.5   0.2    39   294   307   386   284   399 0.55 | transcript=PVW1_110020800_t1 | gene=PVW1_110020800 | organism=Plasmodium_vivax_PvW1 | gene_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | transcript_product=Regulator of chromosome condensation, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZS0] | location=CAJZCX010000008:686394-687833(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 4340at5820           -            495   1.1e-14   52.6  12.1   1   6   2.9e-05     0.029   11.5   0.0   303   347   220   264   213   281 0.70 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 4340at5820           -            495   1.1e-14   52.6  12.1   2   6   4.9e-07    0.0005   17.4   1.0   235   346   340   452   321   480 0.77 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 4340at5820           -            495   1.1e-14   52.6  12.1   3   6     0.036        36    1.3   0.0    93   121   628   656   625   668 0.85 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 4340at5820           -            495   1.1e-14   52.6  12.1   4   6   3.1e-05     0.032   11.4   0.1   264   336   680   750   650   755 0.77 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 4340at5820           -            495   1.1e-14   52.6  12.1   5   6    0.0024       2.4    5.2   0.0   284   346   774   837   756   845 0.71 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475035.1         -           2236 4340at5820           -            495   1.1e-14   52.6  12.1   6   6   8.6e-05     0.087   10.0   0.1     6   252   779  1016   776  1037 0.72 | transcript=PVW1_100049500_t1 | gene=PVW1_100049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2023357-2030067(+) | protein_length=2236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477230.1         -            985 4340at5820           -            495   5.5e-07   27.1   9.1   1   2   3.8e-08   3.8e-05   21.0   0.6   258   346   230   327   190   363 0.76 | transcript=PVW1_090048700_t1 | gene=PVW1_090048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1955338-1958486(-) | protein_length=985 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477230.1         -            985 4340at5820           -            495   5.5e-07   27.1   9.1   2   2    0.0001       0.1    9.7   2.3   256   305   434   483   420   514 0.71 | transcript=PVW1_090048700_t1 | gene=PVW1_090048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1955338-1958486(-) | protein_length=985 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4340at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4340at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4340at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:09 2026
# [ok]
