#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481690.1         -           1224 1632at5820           -            958         0 2045.7  27.9   1   4   2.2e-25   1.6e-22   77.6   0.7     1    58     4    69     4    79 0.91 | transcript=PVW1_060021700_t1 | gene=PVW1_060021700 | organism=Plasmodium_vivax_PvW1 | gene_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | transcript_product=Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ3] | location=CAJZCX010000012:703413-707759(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479253.1         -           2080 1632at5820           -            958     2e-40  136.9  18.3   1   3   2.2e-31   1.7e-28   97.5   2.5   300   489   404   606   394   613 0.84 | transcript=PVW1_080035500_t1 | gene=PVW1_080035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1331440-1337682(+) | protein_length=2080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479253.1         -           2080 1632at5820           -            958     2e-40  136.9  18.3   2   3   5.3e-14   4.1e-11   39.9   1.3   498   680   716   895   685   902 0.76 | transcript=PVW1_080035500_t1 | gene=PVW1_080035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1331440-1337682(+) | protein_length=2080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479253.1         -           2080 1632at5820           -            958     2e-40  136.9  18.3   3   3   9.4e-05     0.072    9.3   0.8   696   763   973  1040   954  1047 0.86 | transcript=PVW1_080035500_t1 | gene=PVW1_080035500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1331440-1337682(+) | protein_length=2080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1632at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1632at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1632at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:47 2026
# [ok]
