#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481813.1         -            441 4771at5820           -            726   6.5e-06   23.1  13.3   1   1   4.3e-08   8.6e-06   22.7  13.3   421   536   245   354   119   363 0.52 | transcript=PVW1_060027000_t1 | gene=PVW1_060027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:895199-896524(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480582.1         -           1586 4771at5820           -            726       2.1    4.9  28.1   1   3       2.1   4.2e+02   -2.7   0.0   489   558   223   294   208   304 0.59 | transcript=PVW1_070026500_t1 | gene=PVW1_070026500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:959028-963899(+) | protein_length=1586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480582.1         -           1586 4771at5820           -            726       2.1    4.9  28.1   2   3       5.1     1e+03   -4.0   0.0   537   552  1203  1218  1195  1219 0.77 | transcript=PVW1_070026500_t1 | gene=PVW1_070026500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:959028-963899(+) | protein_length=1586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480582.1         -           1586 4771at5820           -            726       2.1    4.9  28.1   3   3     0.013       2.6    4.6  26.7   390   531  1430  1583  1392  1586 0.47 | transcript=PVW1_070026500_t1 | gene=PVW1_070026500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:959028-963899(+) | protein_length=1586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472338.1         -            643 4771at5820           -            726       2.1    4.9  26.2   1   2     0.027       5.5    3.5  23.4   375   538     6   181     1   185 0.47 | transcript=PVW1_140051200_t1 | gene=PVW1_140051200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2005587-2007518(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472338.1         -            643 4771at5820           -            726       2.1    4.9  26.2   2   2     0.093        19    1.8   0.0   580   631   374   421   368   427 0.76 | transcript=PVW1_140051200_t1 | gene=PVW1_140051200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2005587-2007518(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474932.1         -            155 4771at5820           -            726       2.4    4.7  18.8   1   1     0.013       2.6    4.6  18.8   399   460    74   134    28   148 0.43 | transcript=PVW1_100041400_t1 | gene=PVW1_100041400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1681178-1681961(-) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479641.1         -            216 4771at5820           -            726       2.6    4.6  28.4   1   1     0.017       3.4    4.2  28.4   387   534    17   171     5   183 0.42 | transcript=PVW1_050010200_t1 | gene=PVW1_050010200 | organism=Plasmodium_vivax_PvW1 | gene_product=Coiled-coil domain-containing protein 124, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GT62] | transcript_product=Coiled-coil domain-containing protein 124, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GT62] | location=CAJZCX010000010:267953-269656(-) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472519.1         -            205 4771at5820           -            726       2.7    4.5  35.9   1   1     0.018       3.6    4.1  35.9   395   535    54   172    18   201 0.29 | transcript=PVW1_140068300_t1 | gene=PVW1_140068300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2734847-2735812(+) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472296.1         -            193 4771at5820           -            726         3    4.4  14.1   1   1     0.018       3.7    4.1  14.1   421   519     9   109     2   130 0.35 | transcript=PVW1_140047200_t1 | gene=PVW1_140047200 | organism=Plasmodium_vivax_PvW1 | gene_product=Glideosome-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKJ2] | transcript_product=Glideosome-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKJ2] | location=CAJZCX010000003:1840738-1841319(+) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481818.1         -            343 4771at5820           -            726       3.8    4.0  20.7   1   2      0.94   1.9e+02   -1.6   0.3   417   434    48    66    25   120 0.37 | transcript=PVW1_060027200_t1 | gene=PVW1_060027200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:901952-902983(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481818.1         -            343 4771at5820           -            726       3.8    4.0  20.7   2   2   0.00093      0.19    8.4  14.8   359   523   134   302   123   323 0.33 | transcript=PVW1_060027200_t1 | gene=PVW1_060027200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:901952-902983(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482782.1         -            370 4771at5820           -            726         4    4.0  49.6   1   1     0.027       5.4    3.5  48.8   375   540   137   319    97   327 0.33 | transcript=PVW1_040027900_t1 | gene=PVW1_040027900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein MAK16 homolog [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8D6] | transcript_product=Protein MAK16 homolog [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8D6] | location=CAJZCX010000013:960789-962143(+) | protein_length=370 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479897.1         -            435 4771at5820           -            726       4.5    3.8  22.5   1   2    0.0013      0.27    7.9  17.0   385   496    54   166    39   188 0.48 | transcript=PVW1_050027900_t1 | gene=PVW1_050027900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:947645-949142(-) | protein_length=435 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479897.1         -            435 4771at5820           -            726       4.5    3.8  22.5   2   2         1   2.1e+02   -1.7   0.2   468   483   411   426   326   435 0.58 | transcript=PVW1_050027900_t1 | gene=PVW1_050027900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:947645-949142(-) | protein_length=435 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476018.1         -            228 4771at5820           -            726       4.6    3.8  23.6   1   1     0.027       5.4    3.5  23.6   419   534    33   150     4   179 0.40 | transcript=PVW1_130037600_t1 | gene=PVW1_130037600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1392291-1393842(-) | protein_length=228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483112.1         -            380 4771at5820           -            726       5.6    3.5  14.3   1   1     0.038       7.8    3.0  14.3   397   517   112   221    77   235 0.42 | transcript=PVW1_030007800_t1 | gene=PVW1_030007800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:152324-153605(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476786.1         -            316 4771at5820           -            726       7.1    3.1  16.0   1   1     0.048       9.7    2.7  16.0   367   500   173   303   169   314 0.40 | transcript=PVW1_090024500_t1 | gene=PVW1_090024500 | organism=Plasmodium_vivax_PvW1 | gene_product=Splicing factor U2AF small subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ6] | transcript_product=Splicing factor U2AF small subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ6] | location=CAJZCX010000007:873038-873988(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472345.1         -            893 4771at5820           -            726       7.3    3.1  24.6   1   1     0.054        11    2.5  24.6   386   477    53   135    16   148 0.33 | transcript=PVW1_140051900_t1 | gene=PVW1_140051900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2032998-2035679(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4771at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4771at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4771at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:58 2026
# [ok]
