#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477670.1         -            367 7557at5820           -            335  6.3e-221  730.6   7.0   1   1  9.5e-224  7.2e-221  730.4   7.0     1   335     1   351     1   351 0.97 | transcript=PVW1_110018500_t1 | gene=PVW1_110018500 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF10] | transcript_product=GTP-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF10] | location=CAJZCX010000008:590712-593838(+) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475600.1         -            499 7557at5820           -            335    0.0079   13.7   0.0   1   1   2.5e-05     0.019   12.4   0.0    63   145   106   195   102   211 0.67 | transcript=PVW1_130020600_t1 | gene=PVW1_130020600 | organism=Plasmodium_vivax_PvW1 | gene_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | transcript_product=Era-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIJ3] | location=CAJZCX010000006:703073-704572(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7557at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7557at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7557at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:03 2026
# [ok]
