#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478162.1         -           1915 841at5820            -            990         0 1435.5  68.4   1  10  3.4e-153    1e-149  498.6   8.3     1   294     1   330     1   337 0.90 | transcript=PVW1_110048200_t1 | gene=PVW1_110048200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1825011-1830969(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473487.1         -            303 841at5820            -            990      0.15    8.2   0.8   2   2     0.065     2e+02   -2.2   0.0   218   246   244   272   237   280 0.87 | transcript=PVW1_120045400_t1 | gene=PVW1_120045400 | organism=Plasmodium_vivax_PvW1 | gene_product=Glideosome associated protein with multiple membrane spans 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU2] | transcript_product=Glideosome associated protein with multiple membrane spans 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGU2] | location=CAJZCX010000004:1703530-1704916(-) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/841at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/841at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/841at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:02 2026
# [ok]
