#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472474.1         -            896 3459at5820           -            642         0 1305.2  27.6   1   4   6.4e-08   1.7e-05   21.7   2.6     1    43    13    56    13    59 0.92 | transcript=PVW1_140064300_t1 | gene=PVW1_140064300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | location=CAJZCX010000003:2572319-2575009(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 3459at5820           -            642   5.7e-95  317.3   0.2   2   2   9.1e-52   2.4e-49  166.5   0.0   115   349   792  1022   779  1027 0.92 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 3459at5820           -            642   9.5e-67  224.1   4.8   1   4   2.7e-05     0.007   13.0   0.0    99   175   325   402   319   406 0.72 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 3459at5820           -            642   9.5e-67  224.1   4.8   2   4   1.5e-20   3.9e-18   63.5   0.4   211   349   496   626   476   646 0.92 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 3459at5820           -            642   9.5e-67  224.1   4.8   3   4   3.4e-45   8.9e-43  144.8   0.1   118   309   766   953   758   964 0.87 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 3459at5820           -            642   9.5e-67  224.1   4.8   4   4      0.13        35    0.8   0.0   319   345  1091  1117  1082  1125 0.88 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472560.1         -            424 3459at5820           -            642   1.4e-57  193.8   0.4   1   1   7.3e-60   1.9e-57  193.3   0.4   117   363   166   409   154   421 0.94 | transcript=PVW1_140072500_t1 | gene=PVW1_140072500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5W3] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5W3] | location=CAJZCX010000003:2878631-2879905(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471851.1         -            393 3459at5820           -            642   1.7e-57  193.5   0.3   1   2      0.57   1.5e+02   -1.3   1.8   574   611     9    47     2    66 0.64 | transcript=PVW1_140013500_t1 | gene=PVW1_140013500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H453] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H453] | location=CAJZCX010000003:405987-407168(-) | protein_length=393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471851.1         -            393 3459at5820           -            642   1.7e-57  193.5   0.3   2   2   6.5e-60   1.7e-57  193.5   0.3   105   363   126   379   118   387 0.94 | transcript=PVW1_140013500_t1 | gene=PVW1_140013500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H453] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H453] | location=CAJZCX010000003:405987-407168(-) | protein_length=393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471929.1         -            420 3459at5820           -            642   8.6e-57  191.2   0.0   1   1   4.5e-59   1.2e-56  190.7   0.0   116   368   159   409   148   415 0.94 | transcript=PVW1_140018700_t1 | gene=PVW1_140018700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK13] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK13] | location=CAJZCX010000003:612748-614241(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 3459at5820           -            642   9.5e-57  191.0   0.9   1   2   1.7e-07   4.5e-05   20.3   0.0   155   339   245   413   234   446 0.70 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 3459at5820           -            642   9.5e-57  191.0   0.9   2   2   4.7e-52   1.3e-49  167.5   0.5   106   345   560   795   527   815 0.86 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478777.1         -            447 3459at5820           -            642   9.5e-57  191.0   0.1   1   1   5.7e-59   1.5e-56  190.3   0.1   118   362   191   433   183   439 0.95 | transcript=PVW1_080013400_t1 | gene=PVW1_080013400 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW49] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW49] | location=CAJZCX010000009:415093-416725(-) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479867.1         -            392 3459at5820           -            642   3.5e-56  189.1   0.4   1   1   2.3e-58   6.2e-56  188.3   0.4   115   355   134   372   112   389 0.92 | transcript=PVW1_050025300_t1 | gene=PVW1_050025300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H907] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H907] | location=CAJZCX010000010:849428-850791(-) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477003.1         -            441 3459at5820           -            642   5.1e-56  188.6   0.1   1   2       4.2   1.1e+03   -4.1   1.6   507   538    29    60    12    72 0.43 | transcript=PVW1_090035700_t1 | gene=PVW1_090035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXS1] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXS1] | location=CAJZCX010000007:1346540-1347865(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477003.1         -            441 3459at5820           -            642   5.1e-56  188.6   0.1   2   2   1.9e-58   5.1e-56  188.6   0.1   118   348   187   415   170   434 0.92 | transcript=PVW1_090035700_t1 | gene=PVW1_090035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXS1] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXS1] | location=CAJZCX010000007:1346540-1347865(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 3459at5820           -            642   5.3e-43  145.6   1.9   1   3       2.3     6e+02   -3.3   0.0   301   325   149   173   145   178 0.86 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 3459at5820           -            642   5.3e-43  145.6   1.9   2   3   3.4e-43   9.1e-41  138.2   0.3   145   341   282   488   255   511 0.86 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 3459at5820           -            642   5.3e-43  145.6   1.9   3   3    0.0033      0.88    6.1   0.0   154   222   572   641   561   653 0.89 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473737.1         -            439 3459at5820           -            642     3e-34  116.7   0.1   1   1   7.2e-36   1.9e-33  114.0   0.0    97   339    95   349    74   359 0.82 | transcript=PVW1_120064200_t1 | gene=PVW1_120064200 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | transcript_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | location=CAJZCX010000004:2477498-2478817(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485084.1         -           1157 3459at5820           -            642   2.8e-33  113.5   0.0   1   2   1.4e-25   3.7e-23   80.0   0.0   154   255   583   687   555   701 0.89 | transcript=PVW1_010021100_t1 | gene=PVW1_010021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:731614-735087(-) | protein_length=1157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485084.1         -           1157 3459at5820           -            642   2.8e-33  113.5   0.0   2   2   9.6e-11   2.5e-08   31.0   0.0   258   307   774   823   753   832 0.89 | transcript=PVW1_010021100_t1 | gene=PVW1_010021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:731614-735087(-) | protein_length=1157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483251.1         -            700 3459at5820           -            642   2.7e-30  103.6   0.1   1   2       4.4   1.2e+03   -4.2   2.2   608   628   303   323   275   384 0.58 | transcript=PVW1_030014300_t1 | gene=PVW1_030014300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | location=CAJZCX010000014:464156-466258(-) | protein_length=700 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483251.1         -            700 3459at5820           -            642   2.7e-30  103.6   0.1   2   2     1e-32   2.7e-30  103.6   0.1   133   333   439   636   411   643 0.81 | transcript=PVW1_030014300_t1 | gene=PVW1_030014300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | location=CAJZCX010000014:464156-466258(-) | protein_length=700 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485019.1         -            988 3459at5820           -            642     1e-08   32.3   0.0   1   2     0.027       7.2    3.1   0.0   304   336   550   582   534   587 0.77 | transcript=PVW1_010018900_t1 | gene=PVW1_010018900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:618725-621864(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485019.1         -            988 3459at5820           -            642     1e-08   32.3   0.0   2   2   1.7e-09   4.6e-07   26.9   0.0   149   281   743   885   738   892 0.72 | transcript=PVW1_010018900_t1 | gene=PVW1_010018900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:618725-621864(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484747.1         -            665 3459at5820           -            642   1.3e-08   32.0   0.0   1   1   4.8e-11   1.3e-08   32.0   0.0   152   316   343   503   299   513 0.78 | transcript=PVW1_010011700_t1 | gene=PVW1_010011700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:353132-355129(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477176.1         -            627 3459at5820           -            642   2.7e-07   27.6   0.0   1   1   1.5e-09     4e-07   27.0   0.0    58   304   240   511   237   571 0.70 | transcript=PVW1_090044700_t1 | gene=PVW1_090044700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | location=CAJZCX010000007:1774383-1777184(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478226.1         -            483 3459at5820           -            642     3e-07   27.4   0.0   1   1   1.3e-08   3.4e-06   24.0   0.0   134   294   236   416   227   430 0.75 | transcript=PVW1_110051600_t1 | gene=PVW1_110051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | transcript_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | location=CAJZCX010000008:1981119-1982570(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483234.1         -            321 3459at5820           -            642    0.0011   15.7   0.1   1   1   6.8e-06    0.0018   15.0   0.1    93   166    27    97    17   111 0.91 | transcript=PVW1_030013500_t1 | gene=PVW1_030013500 | organism=Plasmodium_vivax_PvW1 | gene_product=Methyltransf_11 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRU5] | transcript_product=Methyltransf_11 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRU5] | location=CAJZCX010000014:434335-435444(+) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477922.1         -            273 3459at5820           -            642         1    5.9   5.0   1   1    0.0048       1.3    5.6   5.0    13   107     8   102     1   116 0.81 | transcript=PVW1_110036500_t1 | gene=PVW1_110036500 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFR7] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFR7] | location=CAJZCX010000008:1357455-1359319(+) | protein_length=273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3459at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3459at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3459at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:54 2026
# [ok]
