#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473405.1         -            334 11160at5820          -            250  9.1e-116  384.3  34.1   1   3       2.9   8.1e+02   -2.0   0.3     1     9     1     9     1    13 0.89 | transcript=PVW1_120038700_t1 | gene=PVW1_120038700 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGN3] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGN3] | location=CAJZCX010000004:1403851-1405959(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478715.1         -            723 11160at5820          -            250   3.4e-15   54.9   2.7   1   3   1.2e-17   3.4e-15   54.9   2.7    15    82     6    77     3    97 0.83 | transcript=PVW1_080010600_t1 | gene=PVW1_080010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:297773-299944(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478715.1         -            723 11160at5820          -            250   3.4e-15   54.9   2.7   2   3       1.3   3.7e+02   -0.9   0.7    90   121   204   235   192   284 0.68 | transcript=PVW1_080010600_t1 | gene=PVW1_080010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:297773-299944(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478715.1         -            723 11160at5820          -            250   3.4e-15   54.9   2.7   3   3       5.5   1.5e+03   -2.9   1.9    37    59   622   644   609   688 0.73 | transcript=PVW1_080010600_t1 | gene=PVW1_080010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:297773-299944(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477148.1         -            381 11160at5820          -            250   3.6e-15   54.8  11.5   1   3      0.48   1.3e+02    0.5   2.9    55   109    33    89     6   100 0.77 | transcript=PVW1_090042200_t1 | gene=PVW1_090042200 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD76] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD76] | location=CAJZCX010000007:1632013-1633769(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477148.1         -            381 11160at5820          -            250   3.6e-15   54.8  11.5   2   3   1.3e-17   3.6e-15   54.8  11.5     9   152   104   244    97   257 0.81 | transcript=PVW1_090042200_t1 | gene=PVW1_090042200 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD76] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD76] | location=CAJZCX010000007:1632013-1633769(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477148.1         -            381 11160at5820          -            250   3.6e-15   54.8  11.5   3   3       7.6   2.1e+03   -3.4   1.4    81    81   335   335   279   377 0.59 | transcript=PVW1_090042200_t1 | gene=PVW1_090042200 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD76] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD76] | location=CAJZCX010000007:1632013-1633769(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479710.1         -            691 11160at5820          -            250   9.1e-15   53.5   5.8   1   2   3.3e-17   9.1e-15   53.5   5.8    16    87   141   211   117   283 0.78 | transcript=PVW1_050015400_t1 | gene=PVW1_050015400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N1] | location=CAJZCX010000010:488999-491074(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479710.1         -            691 11160at5820          -            250   9.1e-15   53.5   5.8   2   2       5.6   1.6e+03   -3.0   0.8    75    83   556   564   505   602 0.51 | transcript=PVW1_050015400_t1 | gene=PVW1_050015400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N1] | location=CAJZCX010000010:488999-491074(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485005.1         -            853 11160at5820          -            250   1.6e-14   52.7   0.1   1   1   1.1e-16   3.1e-14   51.8   0.1    16    81   298   362   294   434 0.90 | transcript=PVW1_010018400_t1 | gene=PVW1_010018400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:600405-602966(+) | protein_length=853 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483282.1         -            654 11160at5820          -            250   2.1e-14   52.3   0.5   1   1   1.4e-16   3.7e-14   51.5   0.4    10    82    77   147    69   191 0.89 | transcript=PVW1_030015800_t1 | gene=PVW1_030015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:522664-524628(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476142.1         -            381 11160at5820          -            250   2.1e-14   52.3   3.1   1   1   1.5e-16   4.2e-14   51.3   3.1    14    81    52   117    45   134 0.89 | transcript=PVW1_130041400_t1 | gene=PVW1_130041400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | location=CAJZCX010000006:1601914-1603428(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 11160at5820          -            250   2.2e-13   49.0   3.2   1   3         3   8.1e+02   -2.0   0.1    73    98   126   151   118   181 0.55 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 11160at5820          -            250   2.2e-13   49.0   3.2   2   3   7.9e-16   2.2e-13   49.0   3.2    14    93   188   265   177   279 0.89 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 11160at5820          -            250   2.2e-13   49.0   3.2   3   3         2   5.5e+02   -1.5   3.8   109   151   343   388   293   503 0.60 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472027.1         -            720 11160at5820          -            250   5.1e-13   47.7   0.0   1   1   5.8e-15   1.6e-12   46.1   0.0     3    81   115   192   112   198 0.86 | transcript=PVW1_140026000_t1 | gene=PVW1_140026000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:913807-915969(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480555.1         -            378 11160at5820          -            250     1e-11   43.5   1.4   1   1   8.8e-14   2.4e-11   42.3   1.4    14    80    50   114    42   130 0.88 | transcript=PVW1_070024000_t1 | gene=PVW1_070024000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | location=CAJZCX010000011:865899-867834(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 11160at5820          -            250   5.2e-09   34.6  11.7   1   3   3.3e-10   9.1e-08   30.5   0.0    17    73     8    66     2    84 0.78 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 11160at5820          -            250   5.2e-09   34.6  11.7   2   3    0.0008      0.22    9.6   2.8    53   103   112   161   101   251 0.79 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 11160at5820          -            250   5.2e-09   34.6  11.7   3   3       3.1   8.4e+02   -2.1   0.3    43    70   296   323   256   337 0.56 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477700.1         -            201 11160at5820          -            250   1.7e-06   26.4  10.1   1   1   1.1e-08     3e-06   25.6  10.1    17    97     2    83     1   138 0.69 | transcript=PVW1_110020700_t1 | gene=PVW1_110020700 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM3] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM3] | location=CAJZCX010000008:682406-684038(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483563.1         -            115 11160at5820          -            250     5e-05   21.6   0.1   1   1   2.3e-07   6.3e-05   21.3   0.1     7    48    55    96    48   107 0.91 | transcript=PVW1_030027400_t1 | gene=PVW1_030027400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GS72] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GS72] | location=CAJZCX010000014:944796-945434(+) | protein_length=115 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475165.1         -            177 11160at5820          -            250   0.00022   19.4   1.7   1   1   9.8e-07   0.00027   19.2   0.8    17    51     8    42     3   109 0.75 | transcript=PVW1_100056300_t1 | gene=PVW1_100056300 | organism=Plasmodium_vivax_PvW1 | gene_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | transcript_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | location=CAJZCX010000005:2291129-2291662(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477897.1         -            358 11160at5820          -            250   0.00061   18.0   4.4   1   1   3.4e-06   0.00093   17.4   4.4    13   118    67   167    55   199 0.85 | transcript=PVW1_110034400_t1 | gene=PVW1_110034400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFF8] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFF8] | location=CAJZCX010000008:1277243-1278319(+) | protein_length=358 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11160at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11160at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11160at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:31 2026
# [ok]
