#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481752.1         -            512 5626at5820           -            398  3.2e-227  752.6  20.0   1   2  8.1e-212  4.9e-209  692.7  17.7     1   350    44   395    44   403 0.99 | transcript=PVW1_060024600_t1 | gene=PVW1_060024600 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein HPR1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ1] | transcript_product=Heptatricopeptide repeat-containing protein HPR1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUJ1] | location=CAJZCX010000012:804272-805810(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481290.1         -            779 5626at5820           -            398   3.8e-05   21.3   6.5   1   2    0.0024       1.5    6.2   0.1   139   183   290   334   273   362 0.81 | transcript=PVW1_060010400_t1 | gene=PVW1_060010400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:219470-221809(-) | protein_length=779 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481290.1         -            779 5626at5820           -            398   3.8e-05   21.3   6.5   2   2   1.5e-06    0.0009   16.8   2.4    87   196   493   608   478   653 0.68 | transcript=PVW1_060010400_t1 | gene=PVW1_060010400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:219470-221809(-) | protein_length=779 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474769.1         -            927 5626at5820           -            398   0.00017   19.2  20.6   1   2   8.6e-05     0.052   11.0   7.1    40   178   186   252   143   272 0.55 | transcript=PVW1_100028200_t1 | gene=PVW1_100028200 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW02] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW02] | location=CAJZCX010000005:1120295-1123209(+) | protein_length=927 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474769.1         -            927 5626at5820           -            398   0.00017   19.2  20.6   2   2   2.3e-05     0.014   12.8   5.5    49   186   327   469   302   510 0.61 | transcript=PVW1_100028200_t1 | gene=PVW1_100028200 | organism=Plasmodium_vivax_PvW1 | gene_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW02] | transcript_product=Heptatricopeptide repeat-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZW02] | location=CAJZCX010000005:1120295-1123209(+) | protein_length=927 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472135.1         -            943 5626at5820           -            398   0.00048   17.7   9.5   1   2     8e-07   0.00048   17.7   9.5    18   218   280   479   265   497 0.74 | transcript=PVW1_140031600_t1 | gene=PVW1_140031600 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | location=CAJZCX010000003:1151081-1153912(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472135.1         -            943 5626at5820           -            398   0.00048   17.7   9.5   2   2       1.2   7.4e+02   -2.7   0.6   277   305   698   730   685   744 0.78 | transcript=PVW1_140031600_t1 | gene=PVW1_140031600 | organism=Plasmodium_vivax_PvW1 | gene_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | transcript_product=RAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A565A2S8] | location=CAJZCX010000003:1151081-1153912(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478738.1         -            892 5626at5820           -            398    0.0016   16.0  11.7   1   3   2.6e-06    0.0016   16.0  11.7    65   179   123   237    93   250 0.88 | transcript=PVW1_080011400_t1 | gene=PVW1_080011400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:324671-327349(-) | protein_length=892 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478738.1         -            892 5626at5820           -            398    0.0016   16.0  11.7   2   3    0.0015      0.92    6.9   0.5   119   190   214   285   205   319 0.82 | transcript=PVW1_080011400_t1 | gene=PVW1_080011400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:324671-327349(-) | protein_length=892 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478738.1         -            892 5626at5820           -            398    0.0016   16.0  11.7   3   3      0.49     3e+02   -1.4   1.7   111   153   496   542   471   588 0.68 | transcript=PVW1_080011400_t1 | gene=PVW1_080011400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:324671-327349(-) | protein_length=892 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473410.1         -           1043 5626at5820           -            398     0.033   11.6   5.6   1   3     0.022        14    3.0   0.0   128   192   113   177   100   182 0.84 | transcript=PVW1_120039200_t1 | gene=PVW1_120039200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1413122-1416253(-) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473410.1         -           1043 5626at5820           -            398     0.033   11.6   5.6   2   3       1.1   6.8e+02   -2.6   0.1    48   108   258   319   251   329 0.73 | transcript=PVW1_120039200_t1 | gene=PVW1_120039200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1413122-1416253(-) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473410.1         -           1043 5626at5820           -            398     0.033   11.6   5.6   3   3   0.00014     0.088   10.2   0.7   111   187   440   516   434   534 0.82 | transcript=PVW1_120039200_t1 | gene=PVW1_120039200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1413122-1416253(-) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5626at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5626at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5626at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:38 2026
# [ok]
