#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474784.1         -            934 2524at5820           -            799         0 1618.3  77.2   1   2         0         0 1255.0  47.9     1   589     1   608     1   622 0.97 | transcript=PVW1_100029600_t1 | gene=PVW1_100029600 | organism=Plasmodium_vivax_PvW1 | gene_product=AP complex subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYC6] | transcript_product=AP complex subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYC6] | location=CAJZCX010000005:1171229-1175079(+) | protein_length=934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2524at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2524at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2524at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:33 2026
# [ok]
