#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472238.1         -           1079 4909at5820           -            586    7e-301  997.4  92.5   1   6   5.1e-23   3.1e-20   70.7   1.0     1    69    18   106    18   114 0.85 | transcript=PVW1_140041900_t1 | gene=PVW1_140041900 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | location=CAJZCX010000003:1566482-1569721(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475500.1         -            245 4909at5820           -            586   2.3e-07   28.2   0.6   2   2    0.0023       1.4    5.8   0.3   157   204    44    89    40    96 0.80 | transcript=PVW1_130017400_t1 | gene=PVW1_130017400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIN1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIN1] | location=CAJZCX010000006:572281-573923(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 4909at5820           -            586     6e-07   26.8   1.7   1   4   6.5e-07    0.0004   17.5   0.0    86   121     5    40     2    54 0.88 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 4909at5820           -            586     6e-07   26.8   1.7   2   4     2e-06    0.0012   15.9   0.6   127   188    84   145    72   165 0.81 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 4909at5820           -            586     6e-07   26.8   1.7   3   4      0.26   1.6e+02   -1.0   0.7   122   152   165   196   149   203 0.67 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 4909at5820           -            586     6e-07   26.8   1.7   4   4        10   6.1e+03   -9.6  13.0   434   535   208   318   163   337 0.61 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473405.1         -            334 4909at5820           -            586   2.7e-06   24.7   0.3   1   2   3.1e-07   0.00019   18.6   0.0    89   123    43    77    39    84 0.90 | transcript=PVW1_120038700_t1 | gene=PVW1_120038700 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGN3] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGN3] | location=CAJZCX010000004:1403851-1405959(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473405.1         -            334 4909at5820           -            586   2.7e-06   24.7   0.3   2   2    0.0061       3.7    4.4   0.1   156   185    80   109    77   113 0.91 | transcript=PVW1_120038700_t1 | gene=PVW1_120038700 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGN3] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGN3] | location=CAJZCX010000004:1403851-1405959(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477148.1         -            381 4909at5820           -            586   3.9e-06   24.1   0.9   1   2   6.5e-09   3.9e-06   24.1   0.9    81   125   105   148    83   170 0.78 | transcript=PVW1_090042200_t1 | gene=PVW1_090042200 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD76] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD76] | location=CAJZCX010000007:1632013-1633769(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477148.1         -            381 4909at5820           -            586   3.9e-06   24.1   0.9   2   2        10   6.1e+03   -7.6  13.3   229   287   288   356   150   378 0.70 | transcript=PVW1_090042200_t1 | gene=PVW1_090042200 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD76] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD76] | location=CAJZCX010000007:1632013-1633769(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475165.1         -            177 4909at5820           -            586   1.7e-05   22.0   0.1   1   2   2.8e-08   1.7e-05   22.0   0.1    87   124     6    43     2    58 0.86 | transcript=PVW1_100056300_t1 | gene=PVW1_100056300 | organism=Plasmodium_vivax_PvW1 | gene_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | transcript_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | location=CAJZCX010000005:2291129-2291662(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475165.1         -            177 4909at5820           -            586   1.7e-05   22.0   0.1   2   2      0.65     4e+02   -2.3   0.0   277   299   109   133   101   139 0.70 | transcript=PVW1_100056300_t1 | gene=PVW1_100056300 | organism=Plasmodium_vivax_PvW1 | gene_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | transcript_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | location=CAJZCX010000005:2291129-2291662(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482512.1         -            328 4909at5820           -            586    0.0002   18.5   2.2   1   1   1.2e-06   0.00071   16.7   2.2    89   135     4    50     2    74 0.73 | transcript=PVW1_040018000_t1 | gene=PVW1_040018000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSR6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSR6] | location=CAJZCX010000013:567066-568396(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485005.1         -            853 4909at5820           -            586    0.0015   15.6   0.9   1   2   3.8e-05     0.023   11.7   0.1    89   122   299   332   293   336 0.91 | transcript=PVW1_010018400_t1 | gene=PVW1_010018400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:600405-602966(+) | protein_length=853 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485005.1         -            853 4909at5820           -            586    0.0015   15.6   0.9   2   2      0.03        18    2.1   0.1   157   182   336   361   332   366 0.89 | transcript=PVW1_010018400_t1 | gene=PVW1_010018400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:600405-602966(+) | protein_length=853 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483563.1         -            115 4909at5820           -            586      0.01   12.9   0.1   1   1   2.1e-05     0.013   12.5   0.1    89   134    65   109    50   113 0.85 | transcript=PVW1_030027400_t1 | gene=PVW1_030027400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GS72] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GS72] | location=CAJZCX010000014:944796-945434(+) | protein_length=115 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4909at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4909at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4909at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:37 2026
# [ok]
