#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481623.1         -            272 10294at5820          -            246  7.6e-140  463.0  26.0   1   1  1.6e-142  8.7e-140  462.8  26.0     1   246    10   270    10   270 0.96 | transcript=PVW1_060019700_t1 | gene=PVW1_060019700 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | location=CAJZCX010000012:634555-635373(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479092.1         -            108 10294at5820          -            246    0.0033   15.5   1.5   1   2      0.17        93    0.9   1.1   190   209    28    47    23    55 0.80 | transcript=PVW1_080026600_t1 | gene=PVW1_080026600 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBV0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBV0] | location=CAJZCX010000009:976476-976802(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479092.1         -            108 10294at5820          -            246    0.0033   15.5   1.5   2   2     6e-06    0.0033   15.5   1.5   203   238    65   100    59   106 0.87 | transcript=PVW1_080026600_t1 | gene=PVW1_080026600 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBV0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBV0] | location=CAJZCX010000009:976476-976802(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477857.1         -             89 10294at5820          -            246    0.0097   14.0   7.8   1   1   3.1e-05     0.017   13.1   7.8   192   237    23    79     4    84 0.72 | transcript=PVW1_110030600_t1 | gene=PVW1_110030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Anaphase-promoting complex subunit 11 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZW0] | transcript_product=Anaphase-promoting complex subunit 11 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZW0] | location=CAJZCX010000008:1124830-1125099(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479893.1         -            732 10294at5820          -            246     0.024   12.7   2.2   1   1   8.1e-05     0.045   11.8   2.2   190   239    75   121    27   126 0.72 | transcript=PVW1_050027500_t1 | gene=PVW1_050027500 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN8] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN8] | location=CAJZCX010000010:929908-932106(+) | protein_length=732 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477804.1         -            519 10294at5820          -            246     0.032   12.2   5.5   1   1    0.0001     0.056   11.4   5.5   194   243   363   409   359   412 0.89 | transcript=PVW1_110027800_t1 | gene=PVW1_110027800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1010996-1012555(+) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10294at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10294at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10294at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:28 2026
# [ok]
