#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478694.1         -            748 5031at5820           -            588  4.1e-286  948.6  17.6   1   2  1.5e-146  1.5e-143  477.8   8.7    37   305   131   407    99   415 0.90 | transcript=PVW1_080010000_t1 | gene=PVW1_080010000 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBC0] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBC0] | location=CAJZCX010000009:277878-280124(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479242.1         -           1298 5031at5820           -            588     0.039   10.8   0.1   1   2    0.0012       1.2    5.9   0.1    82   192   282   402   249   419 0.70 | transcript=PVW1_080034600_t1 | gene=PVW1_080034600 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC66] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC66] | location=CAJZCX010000009:1310257-1314292(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479242.1         -           1298 5031at5820           -            588     0.039   10.8   0.1   2   2     0.011        12    2.7   0.0   378   424   923   970   917   985 0.83 | transcript=PVW1_080034600_t1 | gene=PVW1_080034600 | organism=Plasmodium_vivax_PvW1 | gene_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC66] | transcript_product=Valine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC66] | location=CAJZCX010000009:1310257-1314292(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5031at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5031at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5031at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:06 2026
# [ok]
