#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472483.1         -            259 11969at5820          -            217  6.8e-113  373.9  16.1   1   2   3.7e-57   2.5e-54  182.5   1.0     1   107     1   116     1   127 0.91 | transcript=PVW1_140065200_t1 | gene=PVW1_140065200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | location=CAJZCX010000003:2633772-2635544(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477463.1         -            494 11969at5820          -            217     2e-08   32.4   3.2   2   5      0.15     1e+02    0.7   0.0   180   208   215   243   199   252 0.75 | transcript=PVW1_110008700_t1 | gene=PVW1_110008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | location=CAJZCX010000008:172928-174412(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477463.1         -            494 11969at5820          -            217     2e-08   32.4   3.2   3   5     0.052        35    2.2   0.0     4    31   294   321   291   332 0.83 | transcript=PVW1_110008700_t1 | gene=PVW1_110008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | location=CAJZCX010000008:172928-174412(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477463.1         -            494 11969at5820          -            217     2e-08   32.4   3.2   4   5   3.6e-05     0.025   12.5   0.2    37   113   359   441   341   453 0.77 | transcript=PVW1_110008700_t1 | gene=PVW1_110008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | location=CAJZCX010000008:172928-174412(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477463.1         -            494 11969at5820          -            217     2e-08   32.4   3.2   5   5   0.00038      0.26    9.2   0.1    32    67   457   492   442   494 0.84 | transcript=PVW1_110008700_t1 | gene=PVW1_110008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | location=CAJZCX010000008:172928-174412(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483243.1         -            380 11969at5820          -            217   2.8e-08   32.0  21.0   1   3     0.012       8.4    4.2   1.2    71   109     5    42     1    87 0.57 | transcript=PVW1_030013900_t1 | gene=PVW1_030013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | location=CAJZCX010000014:443294-444773(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483243.1         -            380 11969at5820          -            217   2.8e-08   32.0  21.0   2   3     3e-09     2e-06   25.9   8.1    35   170    82   243    69   291 0.63 | transcript=PVW1_030013900_t1 | gene=PVW1_030013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | location=CAJZCX010000014:443294-444773(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483243.1         -            380 11969at5820          -            217   2.8e-08   32.0  21.0   3   3    0.0049       3.3    5.6   0.3    29    60   345   376   334   379 0.79 | transcript=PVW1_030013900_t1 | gene=PVW1_030013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | location=CAJZCX010000014:443294-444773(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475316.1         -            323 11969at5820          -            217   6.2e-08   30.8   4.0   1   2     9e-08   6.1e-05   21.1   0.3    35   107    81   158    27   176 0.80 | transcript=PVW1_130008100_t1 | gene=PVW1_130008100 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial phosphate carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2V5] | transcript_product=Mitochondrial phosphate carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2V5] | location=CAJZCX010000006:140006-140977(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475316.1         -            323 11969at5820          -            217   6.2e-08   30.8   4.0   2   2     0.074        50    1.7   0.5     9    27   236   254   169   307 0.59 | transcript=PVW1_130008100_t1 | gene=PVW1_130008100 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial phosphate carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2V5] | transcript_product=Mitochondrial phosphate carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2V5] | location=CAJZCX010000006:140006-140977(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479709.1         -            318 11969at5820          -            217   8.3e-08   30.4   1.4   1   3   4.8e-05     0.032   12.1   0.0   147   200    36    96    19   111 0.72 | transcript=PVW1_050015300_t1 | gene=PVW1_050015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | transcript_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | location=CAJZCX010000010:486145-487101(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479709.1         -            318 11969at5820          -            217   8.3e-08   30.4   1.4   2   3    0.0011      0.72    7.7   0.1   167   208    96   142    90   151 0.67 | transcript=PVW1_050015300_t1 | gene=PVW1_050015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | transcript_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | location=CAJZCX010000010:486145-487101(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479709.1         -            318 11969at5820          -            217   8.3e-08   30.4   1.4   3   3   0.00034      0.23    9.3   0.1    37   105   187   254   173   269 0.84 | transcript=PVW1_050015300_t1 | gene=PVW1_050015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | transcript_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | location=CAJZCX010000010:486145-487101(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481845.1         -            301 11969at5820          -            217   4.6e-07   28.0   3.6   1   4    0.0054       3.6    5.4   0.1     5    36    11    42     7    66 0.82 | transcript=PVW1_060028200_t1 | gene=PVW1_060028200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | transcript_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | location=CAJZCX010000012:948074-948979(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481845.1         -            301 11969at5820          -            217   4.6e-07   28.0   3.6   2   4    0.0032       2.2    6.2   0.0     5    32   117   144   112   162 0.81 | transcript=PVW1_060028200_t1 | gene=PVW1_060028200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | transcript_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | location=CAJZCX010000012:948074-948979(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481845.1         -            301 11969at5820          -            217   4.6e-07   28.0   3.6   3   4   5.3e-05     0.036   12.0   0.0    36   105   173   242   156   248 0.86 | transcript=PVW1_060028200_t1 | gene=PVW1_060028200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | transcript_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | location=CAJZCX010000012:948074-948979(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481845.1         -            301 11969at5820          -            217   4.6e-07   28.0   3.6   4   4      0.12        82    1.0   0.0   168   203   248   284   243   298 0.69 | transcript=PVW1_060028200_t1 | gene=PVW1_060028200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | transcript_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | location=CAJZCX010000012:948074-948979(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480367.1         -            515 11969at5820          -            217   7.4e-06   24.0  11.5   1   5    0.0014      0.97    7.3   0.6   143   198    91   148    85   168 0.63 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480367.1         -            515 11969at5820          -            217   7.4e-06   24.0  11.5   2   5     0.019        13    3.7   0.1    96   156   130   188   125   212 0.75 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480367.1         -            515 11969at5820          -            217   7.4e-06   24.0  11.5   3   5   5.2e-05     0.035   12.0   0.7   142   210   216   288   205   295 0.70 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480367.1         -            515 11969at5820          -            217   7.4e-06   24.0  11.5   4   5      0.14        94    0.8   0.0    11   105   423   445   409   468 0.63 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480367.1         -            515 11969at5820          -            217   7.4e-06   24.0  11.5   5   5    0.0019       1.3    6.9   0.1    33    65   476   508   468   514 0.83 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11969at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11969at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11969at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:15 2026
# [ok]
