#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473652.1         -            350 10858at5820          -            253  5.5e-123  407.9  60.4   1   3   7.3e-09   8.8e-06   23.9   5.9     1    38     1    41     1    51 0.70 | transcript=PVW1_120057400_t1 | gene=PVW1_120057400 | organism=Plasmodium_vivax_PvW1 | gene_product=Zinc finger protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH65] | transcript_product=Zinc finger protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH65] | location=CAJZCX010000004:2208758-2210187(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480648.1         -           1239 10858at5820          -            253    0.0012   16.8   5.9   2   2     0.021        25    2.7   0.2    46    70    74    98    63   108 0.83 | transcript=PVW1_070032200_t1 | gene=PVW1_070032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1191202-1195867(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10858at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10858at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10858at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:32 2026
# [ok]
