#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480627.1         -            133 14603at5820          -             96   1.3e-58  193.6   0.7   1   1   3.9e-61   1.6e-58  193.3   0.7     1    96    21   116    21   116 0.99 | transcript=PVW1_070030400_t1 | gene=PVW1_070030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | location=CAJZCX010000011:1111647-1112752(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478742.1         -            193 14603at5820          -             96   0.00043   18.8   0.0   1   2         2     8e+02   -1.3   0.9    42    66    34    57    14    70 0.58 | transcript=PVW1_080011600_t1 | gene=PVW1_080011600 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW02] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW02] | location=CAJZCX010000009:329405-329986(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478742.1         -            193 14603at5820          -             96   0.00043   18.8   0.0   2   2   1.1e-06   0.00043   18.8   0.0     4    95    74   165    71   166 0.96 | transcript=PVW1_080011600_t1 | gene=PVW1_080011600 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW02] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW02] | location=CAJZCX010000009:329405-329986(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473553.1         -            543 14603at5820          -             96    0.0024   16.4   0.0   1   1   2.5e-05      0.01   14.4   0.0     8    49   406   448   400   494 0.80 | transcript=PVW1_120048900_t1 | gene=PVW1_120048900 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | location=CAJZCX010000004:1833960-1836136(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476547.1         -            430 14603at5820          -             96    0.0035   15.9   0.9   1   2      0.17        67    2.2   0.1    15    70    53   109    34   118 0.66 | transcript=PVW1_090010300_t1 | gene=PVW1_090010300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | location=CAJZCX010000007:322205-323628(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476547.1         -            430 14603at5820          -             96    0.0035   15.9   0.9   2   2   0.00022      0.09   11.4   0.1    42    90   192   240   181   245 0.78 | transcript=PVW1_090010300_t1 | gene=PVW1_090010300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCA3] | location=CAJZCX010000007:322205-323628(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478916.1         -            206 14603at5820          -             96    0.0057   15.2   0.0   1   1   2.3e-05    0.0094   14.5   0.0    26    81    81   140    58   152 0.72 | transcript=PVW1_080019100_t1 | gene=PVW1_080019100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:650906-652030(+) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480318.1         -            282 14603at5820          -             96    0.0086   14.6   2.5   1   2   0.00018     0.072   11.7   0.3    16    89   142   216   126   222 0.75 | transcript=PVW1_070009900_t1 | gene=PVW1_070009900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:280354-281202(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480318.1         -            282 14603at5820          -             96    0.0086   14.6   2.5   2   2      0.19        77    2.0   0.1    42    64   251   273   227   280 0.84 | transcript=PVW1_070009900_t1 | gene=PVW1_070009900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:280354-281202(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479339.1         -            179 14603at5820          -             96     0.017   13.7   0.0   1   1   9.2e-05     0.037   12.6   0.0     8    62    38    89    31    97 0.79 | transcript=PVW1_080042300_t1 | gene=PVW1_080042300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin-like_fold domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q962L4] | transcript_product=Thioredoxin-like_fold domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q962L4] | location=CAJZCX010000009:1594800-1595339(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477585.1         -           2173 14603at5820          -             96      0.18   10.4   7.7   1   3       7.9   3.2e+03   -3.2   0.2    55    74    11    31     9    37 0.79 | transcript=PVW1_110014600_t1 | gene=PVW1_110014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:385570-392235(-) | protein_length=2173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477585.1         -           2173 14603at5820          -             96      0.18   10.4   7.7   2   3     0.013       5.1    5.7   0.0    18    59  1021  1062  1013  1067 0.85 | transcript=PVW1_110014600_t1 | gene=PVW1_110014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:385570-392235(-) | protein_length=2173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477585.1         -           2173 14603at5820          -             96      0.18   10.4   7.7   3   3    0.0057       2.3    6.8   1.3    50    76  1614  1640  1609  1648 0.87 | transcript=PVW1_110014600_t1 | gene=PVW1_110014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:385570-392235(-) | protein_length=2173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14603at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14603at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14603at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:55 2026
# [ok]
