#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9471851.1         -            393 7097at5820           -            386  1.7e-263  872.1   9.2   1   1  6.9e-266  1.9e-263  871.9   9.2     1   386     1   393     1   393 0.99 | transcript=PVW1_140013500_t1 | gene=PVW1_140013500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H453] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H453] | location=CAJZCX010000003:405987-407168(-) | protein_length=393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 7097at5820           -            386   1.5e-60  204.0   4.5   1   2   5.6e-07   0.00016   19.6   0.1   105   346   191   411   148   419 0.70 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 7097at5820           -            386   1.5e-60  204.0   4.5   2   2   3.8e-57     1e-54  184.8   1.6   125   359   568   800   524   806 0.90 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472474.1         -            896 7097at5820           -            386     5e-55  185.8   0.1   1   1   2.9e-57     8e-55  185.2   0.1   126   373   157   406   140   415 0.93 | transcript=PVW1_140064300_t1 | gene=PVW1_140064300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | location=CAJZCX010000003:2572319-2575009(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473644.1         -            702 7097at5820           -            386     1e-53  181.5   2.0   1   2       8.3   2.3e+03   -4.0   0.0   265   298    21    51    15    61 0.65 | transcript=PVW1_120056700_t1 | gene=PVW1_120056700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | location=CAJZCX010000004:2176508-2178616(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473644.1         -            702 7097at5820           -            386     1e-53  181.5   2.0   2   2   3.8e-56     1e-53  181.5   0.8   125   348   245   464   227   493 0.93 | transcript=PVW1_120056700_t1 | gene=PVW1_120056700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | location=CAJZCX010000004:2176508-2178616(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476794.1         -            950 7097at5820           -            386   3.2e-45  153.6   0.1   1   1   1.9e-47   5.1e-45  152.9   0.1   114   353   387   631   367   654 0.84 | transcript=PVW1_090024800_t1 | gene=PVW1_090024800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:886169-889021(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 7097at5820           -            386     1e-43  148.6   2.9   1   2   1.3e-42   3.5e-40  137.0   0.6   124   345   246   483   224   499 0.82 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 7097at5820           -            386     1e-43  148.6   2.9   2   2   0.00015     0.042   11.6   0.1   166   236   572   643   537   732 0.76 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483251.1         -            700 7097at5820           -            386   8.9e-37  125.8   0.7   1   1   5.3e-39   1.5e-36  125.0   0.7   122   351   416   645   401   667 0.85 | transcript=PVW1_030014300_t1 | gene=PVW1_030014300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | location=CAJZCX010000014:464156-466258(-) | protein_length=700 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473737.1         -            439 7097at5820           -            386   4.8e-36  123.4   0.0   1   2     6e-38   1.7e-35  121.6   0.0   122   313   110   296    95   302 0.89 | transcript=PVW1_120064200_t1 | gene=PVW1_120064200 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | transcript_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | location=CAJZCX010000004:2477498-2478817(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473737.1         -            439 7097at5820           -            386   4.8e-36  123.4   0.0   2   2       1.7   4.6e+02   -1.7   0.0   320   351   321   352   318   363 0.81 | transcript=PVW1_120064200_t1 | gene=PVW1_120064200 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | transcript_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | location=CAJZCX010000004:2477498-2478817(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485084.1         -           1157 7097at5820           -            386     5e-21   73.9   0.0   1   2   3.8e-17   1.1e-14   53.1   0.0   165   275   582   697   541   702 0.89 | transcript=PVW1_010021100_t1 | gene=PVW1_010021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:731614-735087(-) | protein_length=1157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485084.1         -           1157 7097at5820           -            386     5e-21   73.9   0.0   2   2   1.2e-06   0.00033   18.5   0.0   270   315   776   821   752   833 0.83 | transcript=PVW1_010021100_t1 | gene=PVW1_010021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:731614-735087(-) | protein_length=1157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477176.1         -            627 7097at5820           -            386   2.5e-14   51.9   0.3   1   2   2.3e-16   6.4e-14   50.5   0.1   154   327   335   524   315   534 0.77 | transcript=PVW1_090044700_t1 | gene=PVW1_090044700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | location=CAJZCX010000007:1774383-1777184(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477176.1         -            627 7097at5820           -            386   2.5e-14   51.9   0.3   2   2         2   5.4e+02   -1.9   0.0   324   351   552   579   522   591 0.67 | transcript=PVW1_090044700_t1 | gene=PVW1_090044700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | location=CAJZCX010000007:1774383-1777184(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485019.1         -            988 7097at5820           -            386   8.7e-13   46.8   0.0   1   2       1.7   4.8e+02   -1.7   0.0   154   326   548   563   536   585 0.63 | transcript=PVW1_010018900_t1 | gene=PVW1_010018900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:618725-621864(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485019.1         -            988 7097at5820           -            386   8.7e-13   46.8   0.0   2   2   1.1e-14   3.1e-12   45.0   0.0   163   264   745   848   740   897 0.84 | transcript=PVW1_010018900_t1 | gene=PVW1_010018900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:618725-621864(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484747.1         -            665 7097at5820           -            386   9.5e-13   46.7   0.0   1   1   9.3e-15   2.6e-12   45.2   0.0   165   304   344   483   330   500 0.71 | transcript=PVW1_010011700_t1 | gene=PVW1_010011700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:353132-355129(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478226.1         -            483 7097at5820           -            386   1.6e-09   36.0   0.0   1   2   0.00017     0.048   11.4   0.0   156   200   246   290   230   305 0.83 | transcript=PVW1_110051600_t1 | gene=PVW1_110051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | transcript_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | location=CAJZCX010000008:1981119-1982570(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478226.1         -            483 7097at5820           -            386   1.6e-09   36.0   0.0   2   2   8.3e-08   2.3e-05   22.4   0.0   256   303   368   415   359   428 0.91 | transcript=PVW1_110051600_t1 | gene=PVW1_110051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | transcript_product=Mitochondrial chaperone BCS1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I8] | location=CAJZCX010000008:1981119-1982570(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473665.1         -            742 7097at5820           -            386     9e-06   23.7   0.1   1   2      0.14        39    1.8   0.0   160   199   519   558   510   568 0.84 | transcript=PVW1_120058700_t1 | gene=PVW1_120058700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH74] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH74] | location=CAJZCX010000004:2266185-2268413(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473665.1         -            742 7097at5820           -            386     9e-06   23.7   0.1   2   2   6.6e-07   0.00018   19.4   0.0   200   235   639   674   625   718 0.87 | transcript=PVW1_120058700_t1 | gene=PVW1_120058700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH74] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH74] | location=CAJZCX010000004:2266185-2268413(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7097at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7097at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7097at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:51 2026
# [ok]
