#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479972.1         -            649 6657at5820           -            535  4.6e-276  915.0  47.2   1   1    7e-277  3.9e-274  908.6  47.2     1   534     1   648     1   649 0.94 | transcript=PVW1_050034700_t1 | gene=PVW1_050034700 | organism=Plasmodium_vivax_PvW1 | gene_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H973] | transcript_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H973] | location=CAJZCX010000010:1266235-1268184(+) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478828.1         -            381 6657at5820           -            535       7.5    3.4  24.8   1   1     0.021        11    2.8  24.8   361   506   106   252    35   267 0.45 | transcript=PVW1_080015800_t1 | gene=PVW1_080015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:517891-519976(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472519.1         -            205 6657at5820           -            535       8.2    3.3  34.8   1   1     0.019        10    2.9  34.8   329   486    41   193    23   201 0.37 | transcript=PVW1_140068300_t1 | gene=PVW1_140068300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2734847-2735812(+) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472562.1         -            400 6657at5820           -            535       8.8    3.2  24.7   1   2      0.03        16    2.3   3.3   371   438    66   133    14   181 0.60 | transcript=PVW1_140072700_t1 | gene=PVW1_140072700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2885109-2886834(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472562.1         -            400 6657at5820           -            535       8.8    3.2  24.7   2   2    0.0012      0.69    6.8  13.5   358   435   241   320   216   366 0.52 | transcript=PVW1_140072700_t1 | gene=PVW1_140072700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2885109-2886834(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6657at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6657at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6657at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:04 2026
# [ok]
