#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475034.1         -            264 14730at5820          -            238   1.5e-98  327.6  29.0   1   1  3.3e-101   1.8e-98  327.3  29.0     1   236     1   246     1   249 0.73 | transcript=PVW1_100049400_t1 | gene=PVW1_100049400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2021791-2022585(-) | protein_length=264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472228.1         -            404 14730at5820          -            238       1.9    6.4  22.8   1   1    0.0061       3.4    5.6  22.8   131   216   176   259   163   279 0.30 | transcript=PVW1_140040800_t1 | gene=PVW1_140040800 | organism=Plasmodium_vivax_PvW1 | gene_product=Radial spoke head protein 9, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Y6] | transcript_product=Radial spoke head protein 9, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Y6] | location=CAJZCX010000003:1532676-1533890(+) | protein_length=404 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 14730at5820          -            238       7.7    4.5  14.5   1   2   0.00078      0.43    8.6   8.2   128   191    32    92     8   139 0.50 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 14730at5820          -            238       7.7    4.5  14.5   2   2      0.95   5.2e+02   -1.5   0.4    39    60   407   428   402   442 0.74 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14730at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14730at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14730at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:15 2026
# [ok]
