#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476733.1         -            468 6772at5820           -            379  7.9e-229  757.7   2.3   1   1  2.1e-231  9.1e-229  757.5   2.3     1   379     1   443     1   443 0.98 | transcript=PVW1_090021600_t1 | gene=PVW1_090021600 | organism=Plasmodium_vivax_PvW1 | gene_product=Guanine nucleotide-exchange factor SEC12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK6] | transcript_product=Guanine nucleotide-exchange factor SEC12, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK6] | location=CAJZCX010000007:768362-769768(-) | protein_length=468 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483278.1         -            499 6772at5820           -            379   0.00042   18.0   2.3   1   2   0.00086      0.37    8.3   0.0   287   332    88   134    55   143 0.68 | transcript=PVW1_030015600_t1 | gene=PVW1_030015600 | organism=Plasmodium_vivax_PvW1 | gene_product=DDB1- and CUL4-associated factor 13 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW2] | transcript_product=DDB1- and CUL4-associated factor 13 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW2] | location=CAJZCX010000014:515905-517404(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483278.1         -            499 6772at5820           -            379   0.00042   18.0   2.3   2   2     0.009       3.9    5.0   0.1   156   226   333   397   318   397 0.80 | transcript=PVW1_030015600_t1 | gene=PVW1_030015600 | organism=Plasmodium_vivax_PvW1 | gene_product=DDB1- and CUL4-associated factor 13 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW2] | transcript_product=DDB1- and CUL4-associated factor 13 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW2] | location=CAJZCX010000014:515905-517404(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 6772at5820           -            379     0.002   15.8   0.5   1   2       0.2        86    0.5   0.1   173   192   286   305   260   313 0.77 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 6772at5820           -            379     0.002   15.8   0.5   2   2   3.9e-05     0.017   12.7   0.1   118   191   335   403   310   448 0.66 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472452.1         -            503 6772at5820           -            379    0.0025   15.5   1.7   1   2   5.4e-05     0.023   12.3   0.6   155   204   275   325   268   335 0.82 | transcript=PVW1_140062100_t1 | gene=PVW1_140062100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2485626-2487456(+) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472452.1         -            503 6772at5820           -            379    0.0025   15.5   1.7   2   2     0.053        23    2.4   0.1   169   191   333   355   318   382 0.61 | transcript=PVW1_140062100_t1 | gene=PVW1_140062100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2485626-2487456(+) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472377.1         -            763 6772at5820           -            379    0.0026   15.4   4.4   1   2   1.2e-05    0.0054   14.4   0.5   158   190    10    42     3    70 0.91 | transcript=PVW1_140055200_t1 | gene=PVW1_140055200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein transport protein SEC13, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5B4] | transcript_product=Protein transport protein SEC13, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5B4] | location=CAJZCX010000003:2181575-2183866(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472377.1         -            763 6772at5820           -            379    0.0026   15.4   4.4   2   2     0.072        31    2.0   0.1   126   187   198   261   187   283 0.75 | transcript=PVW1_140055200_t1 | gene=PVW1_140055200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein transport protein SEC13, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5B4] | transcript_product=Protein transport protein SEC13, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5B4] | location=CAJZCX010000003:2181575-2183866(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472601.1         -            565 6772at5820           -            379      0.01   13.5   1.4   1   2   4.2e-05     0.018   12.6   0.4   122   191    87   157    71   177 0.85 | transcript=PVW1_140074800_t1 | gene=PVW1_140074800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2971842-2973941(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472601.1         -            565 6772at5820           -            379      0.01   13.5   1.4   2   2      0.62   2.7e+02   -1.1   0.0    97   140   200   248   173   262 0.67 | transcript=PVW1_140074800_t1 | gene=PVW1_140074800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2971842-2973941(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478126.1         -            361 6772at5820           -            379     0.019   12.6   1.0   1   2   9.5e-05     0.041   11.5   0.2   156   202   188   234   175   263 0.77 | transcript=PVW1_110046900_t1 | gene=PVW1_110046900 | organism=Plasmodium_vivax_PvW1 | gene_product=Diphthine methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0C1] | transcript_product=Diphthine methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0C1] | location=CAJZCX010000008:1767316-1769879(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478126.1         -            361 6772at5820           -            379     0.019   12.6   1.0   2   2      0.39   1.7e+02   -0.4   0.1   130   171   301   342   232   360 0.52 | transcript=PVW1_110046900_t1 | gene=PVW1_110046900 | organism=Plasmodium_vivax_PvW1 | gene_product=Diphthine methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0C1] | transcript_product=Diphthine methyltransferase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0C1] | location=CAJZCX010000008:1767316-1769879(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6772at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6772at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6772at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:31 2026
# [ok]
