#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481466.1         -            181 13164at5820          -            130   4.1e-74  245.5   3.0   1   1   1.5e-76   5.4e-74  245.1   3.0     8   130    57   181    53   181 0.97 | transcript=PVW1_060015800_t1 | gene=PVW1_060015800 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU96] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU96] | location=CAJZCX010000012:489855-490400(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481390.1         -           1527 13164at5820          -            130   0.00078   18.2   1.1   1   2   6.8e-05     0.024   13.4   0.6     5    93   308   391   305   412 0.83 | transcript=PVW1_060013500_t1 | gene=PVW1_060013500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:379938-384651(+) | protein_length=1527 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481390.1         -           1527 13164at5820          -            130   0.00078   18.2   1.1   2   2      0.15        53    2.6   0.0    64   100   472   508   431   521 0.71 | transcript=PVW1_060013500_t1 | gene=PVW1_060013500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:379938-384651(+) | protein_length=1527 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484253.1         -            531 13164at5820          -            130    0.0029   16.4   5.2   1   2    0.0002     0.073   11.8   1.4     9    95   231   322   217   338 0.67 | transcript=PVW1_020022200_t1 | gene=PVW1_020022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:768511-771226(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484253.1         -            531 13164at5820          -            130    0.0029   16.4   5.2   2   2      0.03        11    4.8   0.1    53   101   413   461   393   466 0.85 | transcript=PVW1_020022200_t1 | gene=PVW1_020022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:768511-771226(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479862.1         -            269 13164at5820          -            130     0.003   16.3   2.0   1   2       2.8     1e+03   -1.6   0.1    51    65    63    77    41   105 0.66 | transcript=PVW1_050024900_t1 | gene=PVW1_050024900 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | transcript_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | location=CAJZCX010000010:840499-842671(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479862.1         -            269 13164at5820          -            130     0.003   16.3   2.0   2   2   1.2e-05    0.0041   15.9   0.2    27    95   188   256   167   262 0.75 | transcript=PVW1_050024900_t1 | gene=PVW1_050024900 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | transcript_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | location=CAJZCX010000010:840499-842671(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473942.1         -            786 13164at5820          -            130     0.012   14.4   1.9   1   2   5.3e-05     0.019   13.7   0.2    26   101    28   103     8   114 0.73 | transcript=PVW1_120076300_t1 | gene=PVW1_120076300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR1] | location=CAJZCX010000004:2999228-3002288(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473942.1         -            786 13164at5820          -            130     0.012   14.4   1.9   2   2       3.6   1.3e+03   -1.9   0.1    42    85   443   485   436   496 0.71 | transcript=PVW1_120076300_t1 | gene=PVW1_120076300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR1] | location=CAJZCX010000004:2999228-3002288(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478049.1         -            234 13164at5820          -            130     0.022   13.5   0.5   1   2       2.5   8.9e+02   -1.4   0.1    88   107    31    50    20    72 0.63 | transcript=PVW1_110042500_t1 | gene=PVW1_110042500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1590683-1591387(-) | protein_length=234 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478049.1         -            234 13164at5820          -            130     0.022   13.5   0.5   2   2   6.2e-05     0.022   13.5   0.5    39   101   167   229   155   234 0.85 | transcript=PVW1_110042500_t1 | gene=PVW1_110042500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1590683-1591387(-) | protein_length=234 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477759.1         -            670 13164at5820          -            130     0.059   12.1   6.5   1   3      0.66   2.4e+02    0.5   0.3    53    97    54    98    35   120 0.72 | transcript=PVW1_110025600_t1 | gene=PVW1_110025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:895470-897482(-) | protein_length=670 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477759.1         -            670 13164at5820          -            130     0.059   12.1   6.5   2   3    0.0002     0.071   11.9   0.1    30    89   134   194   122   205 0.84 | transcript=PVW1_110025600_t1 | gene=PVW1_110025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:895470-897482(-) | protein_length=670 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477759.1         -            670 13164at5820          -            130     0.059   12.1   6.5   3   3      0.52   1.9e+02    0.8   0.1   104   126   454   476   445   480 0.84 | transcript=PVW1_110025600_t1 | gene=PVW1_110025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:895470-897482(-) | protein_length=670 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13164at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13164at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13164at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:56 2026
# [ok]
