#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476044.1         -            677 4511at5820           -            508    1e-280  930.1  23.1   1   3   2.5e-48     3e-45  153.3   0.7    19   121    52   158    43   165 0.89 | transcript=PVW1_130038500_t1 | gene=PVW1_130038500 | organism=Plasmodium_vivax_PvW1 | gene_product=AA_TRNA_LIGASE_II domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT9] | transcript_product=AA_TRNA_LIGASE_II domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT9] | location=CAJZCX010000006:1460087-1462120(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4511at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4511at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4511at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:02 2026
# [ok]
