#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478967.1         -            580 4457at5820           -            537         0 1213.3  26.6   1   1         0         0 1213.1  26.6     1   537    33   580    33   580 0.99 | transcript=PVW1_080021000_t1 | gene=PVW1_080021000 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | transcript_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | location=CAJZCX010000009:744901-746910(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478107.1         -            543 4457at5820           -            537   7.5e-08   29.8   3.7   1   2   9.2e-09     8e-06   23.1   0.2    19   148    28   159    13   210 0.78 | transcript=PVW1_110046000_t1 | gene=PVW1_110046000 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | transcript_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | location=CAJZCX010000008:1745432-1747242(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478107.1         -            543 4457at5820           -            537   7.5e-08   29.8   3.7   2   2    0.0005      0.43    7.5   0.3   386   512   393   525   382   540 0.78 | transcript=PVW1_110046000_t1 | gene=PVW1_110046000 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | transcript_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | location=CAJZCX010000008:1745432-1747242(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4457at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4457at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4457at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:44 2026
# [ok]
