#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477726.1         -           1006 3360at5820           -            790         0 1416.0 153.6   1   6    5e-152  7.6e-149  495.7  14.4     1   228     1   228     1   241 0.99 | transcript=PVW1_110023000_t1 | gene=PVW1_110023000 | organism=Plasmodium_vivax_PvW1 | gene_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | transcript_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | location=CAJZCX010000008:771633-774873(+) | protein_length=1006 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476970.1         -            293 3360at5820           -            790   0.00011   18.9   4.5   1   1     1e-07   0.00015   18.5   4.5   209   292    32   114    21   133 0.89 | transcript=PVW1_090033000_t1 | gene=PVW1_090033000 | organism=Plasmodium_vivax_PvW1 | gene_product=CRAL-TRIO domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ2] | transcript_product=CRAL-TRIO domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ2] | location=CAJZCX010000007:1245489-1247737(+) | protein_length=293 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3360at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3360at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3360at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:36 2026
# [ok]
