#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9471929.1         -            420 6354at5820           -            285  7.5e-200  660.5   2.4   1   1  3.4e-202  9.1e-200  660.2   2.4     1   285     8   295     8   295 0.99 | transcript=PVW1_140018700_t1 | gene=PVW1_140018700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK13] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK13] | location=CAJZCX010000003:612748-614241(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 6354at5820           -            285   6.3e-31  106.2   0.2   2   3       1.6   4.1e+02   -1.5   0.0   242   262   493   513   477   518 0.75 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 6354at5820           -            285   6.3e-31  106.2   0.2   3   3   3.5e-26   9.2e-24   82.7   0.0   145   284   760   896   737   897 0.87 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473644.1         -            702 6354at5820           -            285   1.6e-30  104.9   0.1   1   1   1.4e-32   3.8e-30  103.6   0.1   145   282   243   376   232   379 0.89 | transcript=PVW1_120056700_t1 | gene=PVW1_120056700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH54] | location=CAJZCX010000004:2176508-2178616(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 6354at5820           -            285   6.5e-30  102.9   0.1   1   2    0.0025      0.66    7.7   0.0   189   264   245   322   219   326 0.82 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472141.1         -           1070 6354at5820           -            285   6.5e-30  102.9   0.1   2   2   3.1e-29   8.3e-27   92.7   0.1   134   273   555   696   531   705 0.87 | transcript=PVW1_140032300_t1 | gene=PVW1_140032300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | transcript_product=AAA family ATPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK52] | location=CAJZCX010000003:1173694-1176906(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472474.1         -            896 6354at5820           -            285   6.3e-27   93.1   0.0   1   1   4.1e-29   1.1e-26   92.3   0.0   149   285   158   295   151   295 0.91 | transcript=PVW1_140064300_t1 | gene=PVW1_140064300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | location=CAJZCX010000003:2572319-2575009(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473737.1         -            439 6354at5820           -            285     1e-24   85.8   0.0   1   1   6.1e-27   1.6e-24   85.2   0.0   144   272   110   237    99   249 0.90 | transcript=PVW1_120064200_t1 | gene=PVW1_120064200 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | transcript_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | location=CAJZCX010000004:2477498-2478817(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476794.1         -            950 6354at5820           -            285   2.9e-24   84.4   0.0   1   1   1.7e-26   4.5e-24   83.7   0.0   145   285   395   536   383   536 0.91 | transcript=PVW1_090024800_t1 | gene=PVW1_090024800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:886169-889021(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483251.1         -            700 6354at5820           -            285     3e-19   67.9   0.0   1   1   1.7e-21   4.6e-19   67.3   0.0   142   281   414   552   387   556 0.87 | transcript=PVW1_030014300_t1 | gene=PVW1_030014300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRV6] | location=CAJZCX010000014:464156-466258(-) | protein_length=700 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 6354at5820           -            285   1.3e-17   62.5   0.0   1   2   6.3e-17   1.7e-14   52.3   0.0   179   279   282   391   246   397 0.76 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479352.1         -            785 6354at5820           -            285   1.3e-17   62.5   0.0   2   2    0.0024      0.64    7.8   0.0   188   227   572   611   539   646 0.75 | transcript=PVW1_080042900_t1 | gene=PVW1_080042900 | organism=Plasmodium_vivax_PvW1 | gene_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | transcript_product=Vesicle-fusing ATPase [Source:UniProtKB/TrEMBL;Acc:Q962M0] | location=CAJZCX010000009:1623199-1625556(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485084.1         -           1157 6354at5820           -            285   3.2e-15   54.7   0.0   1   1   1.9e-17   5.1e-15   54.0   0.0   188   283   583   679   572   685 0.85 | transcript=PVW1_010021100_t1 | gene=PVW1_010021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:731614-735087(-) | protein_length=1157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485019.1         -            988 6354at5820           -            285   2.3e-08   32.2   0.0   1   1   1.6e-10   4.3e-08   31.3   0.0   184   271   744   832   739   846 0.90 | transcript=PVW1_010018900_t1 | gene=PVW1_010018900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:618725-621864(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484747.1         -            665 6354at5820           -            285   3.8e-08   31.5   0.0   1   2       3.1   8.3e+02   -2.5   0.0   229   249    35    55    31    60 0.86 | transcript=PVW1_010011700_t1 | gene=PVW1_010011700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:353132-355129(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484747.1         -            665 6354at5820           -            285   3.8e-08   31.5   0.0   2   2   5.1e-10   1.4e-07   29.7   0.0   187   271   344   430   339   440 0.80 | transcript=PVW1_010011700_t1 | gene=PVW1_010011700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:353132-355129(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477176.1         -            627 6354at5820           -            285   8.9e-05   20.4   0.0   1   1   5.3e-07   0.00014   19.8   0.0   178   261   337   437   315   462 0.61 | transcript=PVW1_090044700_t1 | gene=PVW1_090044700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDB1] | location=CAJZCX010000007:1774383-1777184(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476252.1         -           1226 6354at5820           -            285   0.00016   19.6   0.0   1   2   0.00041      0.11   10.3   0.0   224   264   559   599   505   612 0.81 | transcript=PVW1_130048700_t1 | gene=PVW1_130048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1930393-1934073(-) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476252.1         -           1226 6354at5820           -            285   0.00016   19.6   0.0   2   2    0.0063       1.7    6.4   0.0   179   226   858   910   797   954 0.64 | transcript=PVW1_130048700_t1 | gene=PVW1_130048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1930393-1934073(-) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480349.1         -            824 6354at5820           -            285   0.00024   19.0   0.1   1   2   1.2e-05     0.003   15.4   0.0   185   242   432   491   403   505 0.75 | transcript=PVW1_070012400_t1 | gene=PVW1_070012400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent protease ATPase subunit ClpY, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA84] | transcript_product=ATP-dependent protease ATPase subunit ClpY, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA84] | location=CAJZCX010000011:414043-416517(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480349.1         -            824 6354at5820           -            285   0.00024   19.0   0.1   2   2      0.35        92    0.7   0.0   245   277   628   663   611   669 0.66 | transcript=PVW1_070012400_t1 | gene=PVW1_070012400 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent protease ATPase subunit ClpY, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA84] | transcript_product=ATP-dependent protease ATPase subunit ClpY, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA84] | location=CAJZCX010000011:414043-416517(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473665.1         -            742 6354at5820           -            285    0.0024   15.7   0.0   1   2         2   5.4e+02   -1.8   0.0   177   200   514   537   508   547 0.84 | transcript=PVW1_120058700_t1 | gene=PVW1_120058700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH74] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH74] | location=CAJZCX010000004:2266185-2268413(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473665.1         -            742 6354at5820           -            285    0.0024   15.7   0.0   2   2   4.1e-05     0.011   13.6   0.0   212   256   629   673   620   689 0.84 | transcript=PVW1_120058700_t1 | gene=PVW1_120058700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH74] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH74] | location=CAJZCX010000004:2266185-2268413(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6354at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6354at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6354at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:04 2026
# [ok]
