#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475475.1         -           1005 3536at5820           -            688         0 1156.3 105.9   1   5   8.8e-18   1.3e-14   51.9   3.2    18    69    67   121    54   124 0.85 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473586.1         -            803 3536at5820           -            688   9.2e-38  128.5  67.2   2   2    0.0021       3.2    4.4   1.6   615   668   686   740   671   763 0.75 | transcript=PVW1_120051000_t1 | gene=PVW1_120051000 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | location=CAJZCX010000004:1911128-1914430(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3536at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3536at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3536at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:19 2026
# [ok]
